"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.221,0.209,0.231,0.136,0.174,0.277,0.326,0.226,0.24,0.207,0.117,0.362,0.216
"A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.163,0.154,0.171,0.151,0.156,0.164,0.186,0.172,0.149,0.17,0.079,0.231,0.191
"A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.132,0.118,0.143,0.107,0.122,0.15,0.153,0.099,0.108,0.158,0.065,0.205,0.167
"A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.199,0.194,0.204,0.192,0.211,0.205,0.18,0.218,0.198,0.195,0.417,0.029,0.158
"A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.105,0.106,0.105,0.118,0.139,0.082,0.06,0.084,0.099,0.117,0.206,0.035,0.086
"A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.092,0.137,0.054,0.179,0.104,0.05,0.032,0.134,0.097,0.076,0.038,0.101,0.073
"Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.027,0.024,0.029,0.031,0.04,0.015,0.014,0.01,0.028,0.031,0.02,0.004,0.021
"A Luis Zamora por Autodeterminación y Libertad",0.03,0.032,0.029,0.059,0.024,0.022,0.019,0.024,0.039,0.025,0.03,0.011,0.038
"En blanco",0.01,0.01,0.01,0.009,0.013,0.008,0.007,0.006,0.014,0.007,0.011,0.005,0.006
"No sabe",0.021,0.016,0.024,0.018,0.017,0.027,0.023,0.027,0.028,0.014,0.017,0.017,0.044
