"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"A Jorge Macri por Juntos por el Cambio",0.199,0.165,0.227,0.121,0.145,0.244,0.317,0.171,0.232,0.184,0.065,0.356,0.195
"A Martín Lousteau por Juntos por el Cambio",0.157,0.154,0.159,0.102,0.164,0.175,0.18,0.158,0.155,0.158,0.098,0.213,0.222
"A Ricardo López Murphy por Juntos por el Cambio",0.129,0.143,0.118,0.082,0.12,0.153,0.167,0.097,0.094,0.165,0.068,0.21,0.134
"A Leandro Santoro por el Frente de Todos",0.224,0.222,0.225,0.184,0.255,0.247,0.185,0.178,0.22,0.24,0.479,0.029,0.194
"A Matías Lammens por el Frente de Todos",0.055,0.049,0.061,0.103,0.058,0.029,0.032,0.079,0.05,0.052,0.092,0.031,0.035
"A Ramiro Marra por La Libertad Avanza",0.085,0.125,0.051,0.165,0.1,0.04,0.028,0.109,0.08,0.081,0.035,0.097,0.081
"Al candidato del Frente de Izquierda",0.023,0.025,0.022,0.017,0.037,0.02,0.008,0.016,0.024,0.024,0.019,0.008,0.013
"A Luis Zamora por Autodeterminación y Libertad",0.036,0.045,0.029,0.06,0.036,0.026,0.025,0.053,0.038,0.03,0.038,0.015,0.037
"En blanco",0.029,0.026,0.032,0.061,0.031,0.014,0.011,0.041,0.032,0.023,0.033,0.008,0.032
"No sabe",0.063,0.046,0.076,0.105,0.054,0.052,0.047,0.098,0.075,0.043,0.073,0.033,0.057
