"var","categoria","A Daniel Scioli","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Siempre",0.284,0.198,0.172,0.17
"P04","Casi siempre",0.277,0.378,0.385,0.42
"P04","Casi nunca",0.343,0.363,0.395,0.34
"P04","Nunca, pero esta es una excepción",0.096,0.061,0.048,0.07
"P07","A Daniel Scioli",0.723,0.068,0.085,0.097
"P07","A Sergio Massa",0.08,0.805,0.143,0.085
"P07","A algún candidato del peronismo",0.153,0.026,0.626,0.034
"P07","A algún candidato del kirchnerismo",0.044,0.101,0.146,0.784
"P10","Leandro Santoro por el Frente de Todos",0.646,0.613,0.47,0.796
"P10","Jorge Macri por Juntos por el Cambio",0.091,0.039,0.13,0.007
"P10","Martín Lousteau por Juntos por el Cambio",0.147,0.209,0.126,0.023
"P10","Ramiro Marra por La Libertad Avanza",0.026,0.013,0.087,0.001
"P10","Al candidato del Frente de Izquierda",0.011,0.04,0.034,0.011
"P10","A Luis Zamora por Autodeterminación y Libertad",0.016,0.017,0.018,0.029
"P10","En blanco",0.02,0.006,0.033,0.035
"P10","No sabe",0.043,0.063,0.102,0.098
"P11","María Eugenia Vidal por Juntos por el Cambio",0.057,0.095,0.117,0.049
"P11","Martín Lousteau por Juntos por el Cambio",0.145,0.222,0.127,0.049
"P11","Leandro Santoro por el Frente de Todos",0.723,0.561,0.476,0.774
"P11","Ramiro Marra por La Libertad Avanza",0.028,0.006,0.093,0.002
"P11","Al candidato del Frente de Izquierda",0,0.022,0.036,0.012
"P11","A Luis Zamora por Autodeterminación y Libertad",0,0.013,0.019,0.03
"P11","En blanco",0.021,0.007,0.022,0.023
"P11","No sabe",0.026,0.074,0.11,0.061
"P12","A Jorge Macri por Juntos por el Cambio",0.019,0.016,0.08,0.007
"P12","A Martín Lousteau por Juntos por el Cambio",0.144,0.107,0.105,0.022
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.05,0.102,0.165,0.029
"P12","A Leandro Santoro por el Frente de Todos",0.584,0.464,0.443,0.698
"P12","A Matías Lammens por el Frente de Todos",0.127,0.178,0.063,0.108
"P12","A Ramiro Marra por La Libertad Avanza",0.021,0.011,0.02,0.014
"P12","Al candidato del Frente de Izquierda",0.021,0.008,0.021,0.009
"P12","A Luis Zamora por Autodeterminación y Libertad",0,0.052,0.061,0.022
"P12","En blanco",0.017,0.01,0.013,0.031
"P12","No sabe",0.017,0.052,0.029,0.06
"P13","A Martín Lousteau por Juntos por el Cambio",0.062,0.138,0.106,0.021
"P13","A Jorge Macri por Juntos por el Cambio",0.15,0.029,0.159,0.041
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.066,0.019,0.161,0.002
"P13","A Leandro Santoro por el Frente de Todos",0.558,0.547,0.421,0.67
"P13","A Pedro Rosemblat por el Frente de Todos",0.103,0.156,0.034,0.171
"P13","A Ramiro Marra por La Libertad Avanza",0.04,0.007,0.022,0.002
"P13","Al candidato del Frente de Izquierda",0.009,0.01,0.039,0.011
"P13","A Luis Zamora por Autodeterminación y Libertad",0,0.034,0.013,0.029
"P13","En blanco",0.012,0,0.025,0.023
"P13","No sabe",0,0.06,0.02,0.03
"P14","A Leandro Santoro por el Frente de Todos",0.595,0.522,0.433,0.668
"P14","A Pedro Rosemblat por el Frente de Todos",0.161,0.144,0.023,0.184
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.083,0.031,0.125,0.029
"P14","A Martín Lousteau por Juntos por el Cambio",0.094,0.182,0.127,0.032
"P14","A Ramiro Marra por La Libertad Avanza",0.062,0.046,0.134,0.007
"P14","Al candidato del Frente de Izquierda",0,0.008,0.032,0.006
"P14","A Luis Zamora por Autodeterminación y Libertad",0,0.015,0.098,0.031
"P14","En blanco",0,0.025,0,0.016
"P14","No sabe",0.005,0.027,0.028,0.027
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.696,0.669,0.499,0.879
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.105,0.027,0.141,0.019
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.108,0.225,0.088,0.013
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.06,0.018,0.074,0.01
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.02,0.012,0.102,0.009
"P15","A Luis Zamora por Autodeterminación y Libertad",0,0.003,0.056,0.028
"P15","En blanco",0.006,0.004,0.025,0.015
"P15","No sabe",0.005,0.042,0.015,0.027
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.699,0.709,0.525,0.899
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.018,0.016,0.174,0.01
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.215,0.191,0.082,0.015
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.06,0,0.131,0.005
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0,0.047,0.026,0.015
"P16","A Luis Zamora por Autodeterminación y Libertad",0,0.011,0.02,0.025
"P16","En blanco",0,0.007,0.035,0.008
"P16","No sabe",0.008,0.019,0.007,0.023
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.11,0.214,0.118,0.063
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.052,0.106,0.107,0.009
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.093,0.062,0.146,0.032
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.576,0.353,0.334,0.55
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.112,0.213,0.206,0.286
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.036,0.004,0.017,0.003
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0,0.006,0.042,0.01
"P17","A Luis Zamora por Autodeterminación y Libertad",0,0.02,0.022,0.03
"P17","En blanco",0,0,0.008,0.001
"P17","No sabe",0.021,0.022,0,0.016
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.574,0.552,0.279,0.519
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.159,0.19,0.193,0.325
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.121,0.033,0.184,0.039
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.079,0.124,0.132,0.041
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.061,0.008,0.134,0.018
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0,0.003,0.044,0.009
"P18","A Luis Zamora por Autodeterminación y Libertad",0,0.004,0.026,0.034
"P18","En blanco",0,0.045,0,0.004
"P18","No sabe",0.006,0.041,0.008,0.011
"P19","A Martín Lousteau por Juntos por el Cambio",0.237,0.171,0.187,0.017
"P19","A Ramiro Marra por La Libertad Avanza",0.103,0.004,0.176,0.012
"P19","A Leandro Santoro por el Frente de Todos",0.598,0.654,0.505,0.882
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0,0.003,0.027,0.018
"P19","A Luis Zamora por Autodeterminación y Libertad",0.011,0.034,0.028,0.031
"P19","En blanco",0,0.044,0.031,0.011
"P19","No sabe",0.051,0.09,0.046,0.029
"P22","A Leandro Santoro por el Frente de Todos",0.617,0.71,0.333,0.809
"P22","A Jorge Macri por Juntos por el Cambio",0.226,0.077,0.293,0.029
"P22","A Ramiro Marra por La Libertad Avanza",0.123,0.064,0.154,0.067
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.008,0.099,0.116,0.019
"P22","A Luis Zamora por Autodeterminación y Libertad",0.011,0.005,0.03,0.031
"P22","En blanco",0,0.018,0.018,0.011
"P22","No sabe",0.015,0.027,0.056,0.034
"P25","A Leandro Santoro por el Frente de Todos",0.688,0.682,0.478,0.835
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.107,0.132,0.224,0.041
"P25","A Ramiro Marra por La Libertad Avanza",0.18,0.019,0.194,0.027
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.006,0.052,0.02,0.018
"P25","A Luis Zamora por Autodeterminación y Libertad",0,0.01,0.03,0.039
"P25","En blanco",0,0.074,0.022,0.01
"P25","No sabe",0.019,0.031,0.032,0.03
"P28","A Pedro Rosemblat por el Frente de Todos",0.388,0.393,0.463,0.653
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.183,0.088,0.224,0.06
"P28","A Ramiro Marra por La Libertad Avanza",0.16,0.181,0.09,0.03
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.03,0.072,0.032,0.028
"P28","A Luis Zamora por Autodeterminación y Libertad",0,0.054,0.044,0.058
"P28","En blanco",0.086,0.076,0.081,0.054
"P28","No sabe",0.153,0.136,0.066,0.117
"P31","Lo votaría",0.497,0.639,0.422,0.772
"P31","Puede que lo vote",0.215,0.252,0.155,0.162
"P31","Nunca lo votaría",0.198,0.102,0.414,0.034
"P31","No sabe",0.09,0.007,0.009,0.032
"P32","Lo votaría",0.245,0.391,0.216,0.458
"P32","Puede que lo vote",0.288,0.233,0.178,0.301
"P32","Nunca lo votaría",0.339,0.243,0.55,0.141
"P32","No sabe",0.128,0.133,0.056,0.1
"P33","Lo votaría",0.396,0.465,0.214,0.33
"P33","Puede que lo vote",0.234,0.2,0.128,0.405
"P33","Nunca lo votaría",0.294,0.306,0.551,0.176
"P33","No sabe",0.076,0.029,0.107,0.089
"P34","Lo votaría",0.165,0.198,0.225,0.037
"P34","Puede que lo vote",0.134,0.084,0.046,0.051
"P34","Nunca lo votaría",0.657,0.66,0.71,0.885
"P34","No sabe",0.044,0.058,0.019,0.027
"P35","Lo votaría",0.047,0.141,0.107,0.031
"P35","Puede que lo vote",0.283,0.288,0.269,0.063
"P35","Nunca lo votaría",0.621,0.549,0.606,0.88
"P35","No sabe",0.049,0.022,0.018,0.026
"P36","Lo votaría",0.033,0.072,0.21,0.014
"P36","Puede que lo vote",0.18,0.124,0.265,0.024
"P36","Nunca lo votaría",0.749,0.79,0.46,0.949
"P36","No sabe",0.038,0.014,0.065,0.013
"P37","Lo votaría",0.113,0.103,0.171,0.106
"P37","Puede que lo vote",0.186,0.353,0.131,0.393
"P37","Nunca lo votaría",0.548,0.507,0.609,0.445
"P37","No sabe",0.153,0.037,0.089,0.056
"P38","Lo votaría",0.068,0.04,0.149,0.038
"P38","Puede que lo vote",0.136,0.178,0.124,0.045
"P38","Nunca lo votaría",0.746,0.759,0.706,0.902
"P38","No sabe",0.05,0.023,0.021,0.015
"P39","Si",0.46,0.569,0.597,0.568
"P39","No",0.54,0.431,0.403,0.432
