"var","categoria","A Jorge Macri por Juntos por el Cambio","A Martín Lousteau por Juntos por el Cambio","A Ricardo López Murphy por Juntos por el Cambio","A Leandro Santoro por el Frente de Todos","A Matías Lammens por el Frente de Todos","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.217,0.155,0.148,0.183,0.194,0.177,0.097,0.155,0.104,0.159
"P04","Casi siempre",0.442,0.458,0.459,0.402,0.436,0.327,0.466,0.354,0.374,0.34
"P04","Casi nunca",0.277,0.323,0.322,0.352,0.266,0.333,0.384,0.415,0.346,0.389
"P04","Nunca, pero esta es una excepción",0.064,0.064,0.071,0.063,0.104,0.163,0.053,0.076,0.176,0.112
"P06","Del Frente de Todos y el peronismo",0.024,0.101,0.115,0.827,0.633,0.045,0.148,0.23,0.244,0.244
"P06","De Cambiemos",0.798,0.598,0.613,0.035,0.248,0.054,0.045,0.064,0.054,0.153
"P06","De los Liberales libertarios",0.122,0.173,0.208,0.029,0.026,0.822,0.083,0.187,0.222,0.112
"P06","De la Izquierda",0.009,0.015,0.019,0.048,0.056,0.043,0.6,0.219,0.09,0.012
"P06","No sabe",0.047,0.113,0.045,0.061,0.037,0.036,0.124,0.3,0.39,0.479
"P07","A Daniel Scioli",0.309,0.248,0.096,0.147,0.143,0.131,0.348,0.167,0.061,0.08
"P07","A Sergio Massa",0.162,0.387,0.35,0.169,0.28,0.18,0.113,0.397,0.083,0.213
"P07","A algún candidato del peronismo",0.414,0.19,0.198,0.077,0.059,0.227,0.106,0.052,0.078,0.051
"P07","A algún candidato del kirchnerismo",0.115,0.175,0.356,0.607,0.518,0.462,0.433,0.384,0.778,0.656
"P08","A Daniel Scioli",0.11,0.243,0.082,0.083,0.098,0.131,0.177,0,0.06,0.029
"P08","A Sergio Massa",0.153,0.299,0.279,0.11,0.229,0.108,0.113,0.276,0.061,0.147
"P08","A algún candidato del peronismo",0.461,0.18,0.278,0.065,0.05,0.124,0.179,0.199,0.05,0.051
"P08","A Cristina Fernández de Kirchner",0.276,0.278,0.361,0.742,0.623,0.637,0.531,0.525,0.829,0.773
"P09","A Horacio Rodriguez Larreta",0.246,0.424,0.191,0.41,0.376,0,0.727,0,0.573,0.454
"P09","A Patricia Bullrich",0.729,0.455,0.749,0.156,0.406,0.762,0.273,0.276,0.063,0.348
"P09","A Facundo Manes",0.011,0.042,0.029,0.397,0.168,0,0,0.485,0.18,0.075
"P09","A Gerardo Morales",0.014,0.079,0.031,0.037,0.05,0.238,0,0.239,0.184,0.123
"P10","Leandro Santoro por el Frente de Todos",0.014,0.035,0.089,0.905,0.51,0.009,0.018,0.033,0.049,0.068
"P10","Jorge Macri por Juntos por el Cambio",0.861,0.106,0.373,0.01,0.098,0.047,0.006,0.045,0.083,0.035
