"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Santander",0.197,0.21,0.183,0.184,0.222,0.184,0.174,0.165,0.216,0.197,0.196,0.15,0.199,0.234,0.339,0.324,0.272,0.024,0.127,0.091
"Galicia",0.231,0.215,0.25,0.327,0.22,0.221,0.176,0.196,0.244,0.24,0.278,0.204,0.185,0.304,0.099,0.101,0.259,0.321,0.279,0.187
"Macro",0.105,0.118,0.09,0.058,0.117,0.099,0.132,0.11,0.105,0.101,0.035,0.202,0.04,0.045,0,0.103,0.034,0.27,0.311,0.033
"Frances",0.11,0.128,0.089,0.084,0.135,0.124,0.059,0.11,0.102,0.12,0.142,0.05,0.156,0.126,0.059,0.102,0.12,0.072,0.073,0.161
"ICBC",0.062,0.077,0.046,0.072,0.073,0.053,0.04,0.071,0.065,0.054,0.081,0.016,0.091,0.062,0.22,0.042,0.047,0.103,0.072,0.07
"Patagonia",0.046,0.034,0.059,0.031,0.046,0.057,0.044,0.036,0.042,0.055,0.05,0.023,0.038,0.042,0,0.031,0.053,0.008,0.023,0.208
"No sabe",0.249,0.218,0.283,0.244,0.187,0.262,0.375,0.312,0.226,0.233,0.218,0.355,0.291,0.187,0.283,0.297,0.215,0.202,0.115,0.25
