"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"1",0.304,0.307,0.302,0.222,0.32,0.341,0.352,0.289,0.293,0.342,0.326,0.3,0.311,0.291,0.35,0.298,0.319,0.315,0.265,0.31
"2",0.168,0.168,0.167,0.217,0.154,0.14,0.159,0.199,0.17,0.124,0.135,0.174,0.156,0.148,0.1,0.159,0.147,0.253,0.241,0.115
"3",0.039,0.04,0.038,0.03,0.04,0.046,0.043,0.03,0.039,0.05,0.037,0.043,0.039,0.048,0.036,0.032,0.046,0.03,0.033,0.026
"4",0.024,0.021,0.026,0.031,0.02,0.025,0.017,0.01,0.029,0.031,0.026,0.024,0.017,0.026,0.018,0.007,0.034,0.016,0.023,0.04
"5",0.13,0.131,0.129,0.142,0.136,0.12,0.107,0.094,0.138,0.163,0.142,0.123,0.132,0.147,0.178,0.144,0.126,0.097,0.111,0.131
"6",0.024,0.024,0.025,0.022,0.024,0.027,0.024,0.022,0.023,0.028,0.018,0.022,0.03,0.028,0.036,0.015,0.024,0.011,0.036,0.026
"7",0.021,0.023,0.02,0.031,0.019,0.018,0.018,0.014,0.023,0.028,0.023,0.02,0.033,0.027,0.039,0.012,0.021,0.007,0.01,0.034
"8",0.034,0.037,0.031,0.046,0.026,0.031,0.038,0.025,0.034,0.047,0.041,0.033,0.041,0.029,0.028,0.036,0.03,0.028,0.024,0.062
"9",0.256,0.249,0.262,0.259,0.261,0.252,0.242,0.317,0.251,0.187,0.252,0.261,0.241,0.256,0.215,0.297,0.253,0.243,0.257,0.256
