"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"CFK","Positiva",0.446,0.384,0.504,0.341,0.496,0.465,0.491,0.513,0.41,0.384
"CFK","Neutra",0.09,0.091,0.089,0.123,0.073,0.068,0.105,0.1,0.091,0.064
"CFK","Negativa",0.442,0.495,0.392,0.497,0.413,0.454,0.391,0.372,0.463,0.548
"CFK","No sabe",0.022,0.03,0.015,0.039,0.018,0.013,0.013,0.015,0.036,0.004
"Alberto Fernandez","Positiva",0.375,0.292,0.454,0.33,0.397,0.387,0.395,0.442,0.371,0.233
"Alberto Fernandez","Neutra",0.186,0.243,0.132,0.139,0.203,0.19,0.232,0.204,0.182,0.157
"Alberto Fernandez","Negativa",0.42,0.453,0.388,0.494,0.386,0.415,0.36,0.341,0.428,0.576
"Alberto Fernandez","No sabe",0.019,0.012,0.026,0.037,0.014,0.008,0.013,0.013,0.019,0.034
"Horacio Rodriguez Larreta","Positiva",0.323,0.317,0.329,0.363,0.298,0.335,0.287,0.326,0.306,0.36
"Horacio Rodriguez Larreta","Neutra",0.241,0.21,0.271,0.275,0.218,0.229,0.257,0.251,0.269,0.147
"Horacio Rodriguez Larreta","Negativa",0.387,0.421,0.353,0.277,0.461,0.379,0.421,0.387,0.349,0.484
"Horacio Rodriguez Larreta","No sabe",0.049,0.052,0.047,0.085,0.023,0.057,0.035,0.036,0.076,0.009
"Javier Milei","Positiva",0.294,0.353,0.237,0.449,0.248,0.236,0.185,0.207,0.358,0.328
"Javier Milei","Neutra",0.188,0.138,0.237,0.078,0.225,0.263,0.198,0.196,0.2,0.139
"Javier Milei","Negativa",0.441,0.437,0.444,0.345,0.467,0.455,0.548,0.498,0.36,0.518
"Javier Milei","No sabe",0.077,0.072,0.082,0.128,0.06,0.046,0.069,0.099,0.082,0.015
"Sergio Massa","Positiva",0.282,0.265,0.298,0.175,0.291,0.335,0.4,0.367,0.235,0.215
"Sergio Massa","Neutra",0.25,0.244,0.255,0.286,0.29,0.191,0.151,0.235,0.281,0.201
"Sergio Massa","Negativa",0.424,0.467,0.385,0.454,0.409,0.431,0.397,0.381,0.409,0.562
"Sergio Massa","No sabe",0.044,0.024,0.062,0.085,0.01,0.043,0.052,0.017,0.075,0.022
"Patricia Bullrich","Positiva",0.272,0.324,0.222,0.287,0.252,0.269,0.302,0.275,0.235,0.364
"Patricia Bullrich","Neutra",0.188,0.196,0.181,0.23,0.195,0.153,0.135,0.184,0.222,0.109
"Patricia Bullrich","Negativa",0.496,0.444,0.545,0.377,0.545,0.535,0.547,0.521,0.466,0.517
"Patricia Bullrich","No sabe",0.044,0.036,0.052,0.106,0.008,0.043,0.016,0.02,0.077,0.01
"Mauricio Macri","Positiva",0.207,0.236,0.179,0.237,0.182,0.187,0.247,0.223,0.189,0.218
"Mauricio Macri","Neutra",0.115,0.105,0.124,0.148,0.085,0.13,0.105,0.094,0.12,0.145
"Mauricio Macri","Negativa",0.645,0.621,0.668,0.54,0.718,0.665,0.628,0.663,0.639,0.622
"Mauricio Macri","No sabe",0.033,0.038,0.029,0.075,0.015,0.018,0.02,0.02,0.052,0.015
