"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.066,0.084,0.048,0.077,0.051,0.06,0.094,0.081,0.064,0.028,6
"Buena",0.099,0.094,0.104,0.101,0.108,0.067,0.12,0.113,0.083,0.108,6
"Ni buena ni mala",0.348,0.337,0.358,0.315,0.327,0.441,0.34,0.308,0.372,0.387,6
"Mala",0.127,0.14,0.115,0.104,0.157,0.116,0.104,0.113,0.137,0.133,6
"Muy mala",0.113,0.141,0.088,0.118,0.148,0.068,0.071,0.1,0.102,0.182,6
"No sabe",0.247,0.204,0.287,0.285,0.209,0.248,0.271,0.285,0.242,0.162,6
"Positiva",0.165,0.178,0.152,0.178,0.159,0.127,0.214,0.194,0.147,0.136,4
"Neutra",0.348,0.337,0.358,0.315,0.327,0.441,0.34,0.308,0.372,0.387,4
"Negativa",0.24,0.281,0.203,0.222,0.305,0.184,0.175,0.213,0.239,0.315,4
"No sabe",0.247,0.204,0.287,0.285,0.209,0.248,0.271,0.285,0.242,0.162,4
