"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.068,0.069,0.066,0.125,0.043,0.044,0.047,0.089,0.068,0.016,6
"Buena",0.08,0.082,0.079,0.087,0.093,0.058,0.063,0.085,0.072,0.093,6
"Ni buena ni mala",0.341,0.317,0.365,0.163,0.445,0.407,0.337,0.307,0.371,0.344,6
"Mala",0.071,0.089,0.053,0.09,0.064,0.058,0.066,0.054,0.071,0.111,6
"Muy mala",0.081,0.105,0.057,0.118,0.088,0.043,0.035,0.091,0.064,0.102,6
"No sabe",0.359,0.338,0.38,0.417,0.267,0.39,0.452,0.374,0.354,0.334,6
"Positiva",0.148,0.151,0.145,0.212,0.136,0.102,0.11,0.174,0.14,0.109,4
"Neutra",0.341,0.317,0.365,0.163,0.445,0.407,0.337,0.307,0.371,0.344,4
"Negativa",0.152,0.194,0.11,0.208,0.152,0.101,0.101,0.145,0.135,0.213,4
"No sabe",0.359,0.338,0.38,0.417,0.267,0.39,0.452,0.374,0.354,0.334,4
