"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.033,0.058,0.009,0.047,0.037,0.017,0.015,0.044,0.029,0.018,6
"Buena",0.043,0.037,0.05,0.059,0.053,0.008,0.04,0.054,0.047,0.009,6
"Ni buena ni mala",0.359,0.309,0.406,0.216,0.421,0.461,0.323,0.301,0.403,0.377,6
"Mala",0.074,0.094,0.056,0.121,0.06,0.035,0.076,0.091,0.066,0.055,6
"Muy mala",0.088,0.111,0.065,0.146,0.086,0.034,0.051,0.1,0.063,0.126,6
"No sabe",0.403,0.391,0.414,0.411,0.343,0.445,0.495,0.41,0.392,0.415,6
"Positiva",0.076,0.095,0.059,0.106,0.09,0.025,0.055,0.098,0.076,0.027,4
"Neutra",0.359,0.309,0.406,0.216,0.421,0.461,0.323,0.301,0.403,0.377,4
"Negativa",0.162,0.205,0.121,0.267,0.146,0.069,0.127,0.191,0.129,0.181,4
"No sabe",0.403,0.391,0.414,0.411,0.343,0.445,0.495,0.41,0.392,0.415,4
