"var","categoria","Julieta Corroza por Comunidad","Sergio Soto por el MPN","Luis Bertolini por Desarrollo Ciudadano","Andrés Peressini por Iguales","Karina Ortiz por el PJ"
"P05","Mucho",0.348,0.255,0.412,0.189,0.326
"P05","Bastante",0.326,0.276,0.136,0.401,0.308
"P05","Poco",0.224,0.161,0.323,0.145,0.08
"P05","Nada",0.083,0.245,0.047,0.176,0.148
"P05","No sabe",0.019,0.063,0.082,0.089,0.138
"P06","Comunidad",0.527,0.112,0.199,0.129,0.11
"P06","MPN",0.05,0.355,0.111,0.219,0.026
"P06","Desarrollo Ciudadano",0.027,0.011,0.274,0,0.046
"P06","Partido Justicialista",0.028,0.064,0.004,0.067,0.273
"P06","Iguales",0.015,0.017,0.031,0.165,0.05
"P06","Otro",0.115,0.105,0.138,0.121,0.114
"P06","No sabe",0.238,0.336,0.243,0.299,0.381
"P11_imputadas","Julieta Corroza por Comunidad",0.581,0.285,0.389,0.318,0.255
"P11_imputadas","Sergio Soto por el MPN",0.066,0.302,0.064,0.227,0.204
"P11_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.078,0.137,0.432,0.051,0.122
"P11_imputadas","Andrés Peressini por Iguales",0.242,0.082,0.089,0.364,0.142
"P11_imputadas","Karina Ortiz por el PJ",0.033,0.194,0.026,0.04,0.277
"P15","Lo votaría",0.65,0.118,0.104,0.108,0.069
"P15","Puede que lo vote",0.144,0.266,0.208,0.174,0.242
"P15","Nunca lo votaría",0.104,0.267,0.438,0.37,0.367
"P15","No sabe",0.102,0.349,0.25,0.348,0.322
"P16","Lo votaría",0.096,0.391,0.024,0.188,0.095
"P16","Puede que lo vote",0.076,0.083,0.088,0.034,0.121
"P16","Nunca lo votaría",0.685,0.262,0.689,0.507,0.571
"P16","No sabe",0.143,0.264,0.199,0.271,0.213
"P17","Lo votaría",0.02,0.139,0.295,0.037,0.108
"P17","Puede que lo vote",0.198,0.178,0.126,0.092,0.104
"P17","Nunca lo votaría",0.541,0.419,0.284,0.534,0.467
"P17","No sabe",0.241,0.264,0.295,0.337,0.321
"P18","Lo votaría",0.073,0.153,0.116,0.3,0.13
"P18","Puede que lo vote",0.194,0.109,0.131,0.185,0.193
"P18","Nunca lo votaría",0.518,0.347,0.624,0.245,0.534
"P18","No sabe",0.215,0.391,0.129,0.27,0.143
"P19","Lo votaría",0.085,0.076,0.076,0.047,0.326
"P19","Puede que lo vote",0.07,0.177,0.115,0.068,0.268
"P19","Nunca lo votaría",0.62,0.358,0.627,0.417,0.199
"P19","No sabe",0.225,0.389,0.182,0.468,0.207
"P20","Si",0.434,0.324,0.222,0.184,0.24
"P20","No",0.566,0.676,0.778,0.816,0.76
