"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure"
"Julieta Corroza por Comunidad",0.253,0.272,0.234,0.309,0.247,0.198,0.181,0.217,0.285,0.242,0.306,0.269,0.046,0.267,0.163,0.169
"Sergio Soto por el MPN",0.113,0.1,0.126,0.112,0.116,0.107,0.119,0.141,0.104,0.093,0.056,0.313,0.043,0.111,0.054,0.272
"Luis Bertolini por Desarrollo Ciudadano",0.102,0.123,0.081,0.026,0.15,0.114,0.137,0.121,0.097,0.083,0.152,0.018,0.024,0.052,0.075,0.077
"Andrés Peressini por Iguales",0.103,0.128,0.079,0.073,0.096,0.154,0.15,0.101,0.118,0.078,0.101,0.109,0.218,0.094,0.036,0
"Karina Ortiz por el PJ",0.055,0.044,0.066,0.07,0.045,0.072,0.008,0.09,0.036,0.044,0.052,0.028,0.153,0,0.036,0.056
"No sabe",0.374,0.333,0.414,0.41,0.346,0.355,0.405,0.33,0.36,0.46,0.333,0.263,0.516,0.476,0.636,0.426
