"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure"
"Mucho",0.327,0.406,0.248,0.328,0.324,0.345,0.295,0.36,0.316,0.3,0.403,0.16,0.185,0.266,0.351,0.408
"Bastante",0.255,0.208,0.301,0.255,0.261,0.283,0.169,0.199,0.301,0.243,0.213,0.438,0.217,0.17,0.251,0.234
"Poco",0.197,0.182,0.212,0.186,0.241,0.158,0.111,0.109,0.239,0.238,0.188,0.161,0.297,0.291,0.14,0.198
"Nada",0.147,0.161,0.133,0.132,0.108,0.191,0.3,0.22,0.094,0.149,0.124,0.175,0.16,0.22,0.192,0.142
"No sabe",0.074,0.043,0.106,0.099,0.066,0.023,0.125,0.112,0.05,0.07,0.072,0.066,0.141,0.053,0.066,0.018
