"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure"
"Julieta Corroza por Comunidad",0.395,0.356,0.433,0.444,0.394,0.358,0.28,0.283,0.422,0.495,0.419,0.37,0.238,0.463,0.593,0.213
"Sergio Soto por el MPN",0.151,0.131,0.171,0.156,0.154,0.129,0.159,0.145,0.162,0.137,0.066,0.439,0.105,0.111,0.074,0.33
"Luis Bertolini por Desarrollo Ciudadano",0.19,0.235,0.145,0.158,0.226,0.138,0.256,0.235,0.187,0.136,0.259,0.018,0.097,0.113,0.139,0.321
"Andrés Peressini por Iguales",0.176,0.199,0.153,0.145,0.141,0.271,0.264,0.186,0.193,0.128,0.161,0.137,0.37,0.313,0.158,0
"Karina Ortiz por el PJ",0.088,0.079,0.098,0.097,0.085,0.104,0.041,0.151,0.036,0.104,0.095,0.036,0.19,0,0.036,0.136
