"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure"
"Si",0.3,0.312,0.287,0.263,0.301,0.466,0.083,0.203,0.369,0.293,0.342,0.285,0.178,0.199,0.02,0.588
"No",0.7,0.688,0.713,0.737,0.699,0.534,0.917,0.797,0.631,0.707,0.658,0.715,0.822,0.801,0.98,0.412
