"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure"
"Julieta Corroza por Comunidad",0.199,0.23,0.169,0.221,0.194,0.182,0.18,0.214,0.2,0.178,0.305,0.091,0.115,0.062,0,0
"Sergio Soto por el MPN",0.123,0.136,0.11,0.149,0.127,0.084,0.088,0.187,0.102,0.078,0.067,0.254,0.176,0.092,0.034,0.343
"Luis Bertolini por Desarrollo Ciudadano",0.17,0.18,0.16,0.165,0.156,0.205,0.182,0.096,0.242,0.132,0.239,0.072,0.043,0.195,0.068,0.126
"Andrés Peressini por Iguales",0.079,0.075,0.083,0.04,0.084,0.148,0.063,0.037,0.09,0.115,0.067,0.114,0.107,0.024,0.106,0.056
"Karina Ortiz por el PJ",0.07,0.069,0.071,0.011,0.101,0.104,0.072,0.061,0.073,0.075,0.056,0.096,0.137,0.077,0,0.081
"No sabe",0.359,0.31,0.407,0.414,0.338,0.277,0.415,0.405,0.293,0.422,0.266,0.373,0.422,0.55,0.792,0.394
