"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure"
"Julieta Corroza por Comunidad",0.255,0.278,0.233,0.247,0.278,0.227,0.239,0.284,0.24,0.247,0.356,0.144,0.134,0.3,0.082,0
"Sergio Soto por el MPN",0.205,0.247,0.162,0.3,0.168,0.14,0.145,0.343,0.136,0.148,0.143,0.283,0.233,0.265,0.293,0.366
"Luis Bertolini por Desarrollo Ciudadano",0.285,0.253,0.318,0.351,0.232,0.263,0.33,0.185,0.361,0.275,0.333,0.119,0.192,0.253,0.379,0.379
"Andrés Peressini por Iguales",0.15,0.124,0.175,0.091,0.166,0.227,0.136,0.078,0.166,0.216,0.091,0.334,0.186,0.105,0.205,0.097
"Karina Ortiz por el PJ",0.105,0.098,0.112,0.011,0.156,0.143,0.15,0.11,0.097,0.114,0.077,0.12,0.255,0.077,0.041,0.158
