"var","categoria","Julieta Corroza por Comunidad","Sergio Soto por el MPN","Luis Bertolini por Desarrollo Ciudadano","Andrés Peressini por Iguales","Karina Ortiz por el PJ"
"P05","Mucho",0.359,0.201,0.521,0.288,0.1
"P05","Bastante",0.282,0.419,0.237,0.243,0.162
"P05","Poco",0.234,0.182,0.148,0.256,0.222
"P05","Nada",0.095,0.144,0.064,0.169,0.295
"P05","No sabe",0.03,0.054,0.03,0.044,0.221
"P06","Comunidad",0.36,0.061,0.325,0.22,0.013
"P06","MPN",0.11,0.477,0.045,0.151,0.044
"P06","Desarrollo Ciudadano",0.099,0.023,0.202,0.059,0.074
"P06","Partido Justicialista",0.057,0.066,0.03,0.077,0.087
"P06","Iguales",0.025,0.07,0,0.12,0.044
"P06","Otro",0.13,0.092,0.066,0.141,0.031
"P06","No sabe",0.219,0.211,0.332,0.232,0.707
"P07_imputadas","Julieta Corroza por Comunidad",0.389,0.115,0.108,0.363,0.099
"P07_imputadas","Sergio Soto por el MPN",0.143,0.396,0.142,0.092,0.433
"P07_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.279,0.12,0.643,0.142,0.082
"P07_imputadas","Andrés Peressini por Iguales",0.124,0.233,0.042,0.321,0.07
"P07_imputadas","Karina Ortiz por el PJ",0.065,0.136,0.065,0.082,0.316
"P15","Lo votaría",0.398,0.128,0.161,0.25,0.013
"P15","Puede que lo vote",0.184,0.44,0.159,0.107,0.128
"P15","Nunca lo votaría",0.221,0.26,0.415,0.357,0.313
"P15","No sabe",0.197,0.172,0.265,0.286,0.546
"P16","Lo votaría",0.134,0.445,0.016,0.087,0.126
"P16","Puede que lo vote",0.053,0.192,0.04,0.084,0.062
"P16","Nunca lo votaría",0.605,0.221,0.778,0.657,0.286
"P16","No sabe",0.208,0.142,0.166,0.172,0.526
"P17","Lo votaría",0.085,0.063,0.348,0.064,0.065
"P17","Puede que lo vote",0.054,0.185,0.309,0.217,0.02
"P17","Nunca lo votaría",0.522,0.432,0.196,0.509,0.481
"P17","No sabe",0.339,0.32,0.147,0.21,0.434
"P18","Lo votaría",0.139,0.042,0.148,0.243,0.096
"P18","Puede que lo vote",0.116,0.184,0.165,0.248,0.107
"P18","Nunca lo votaría",0.537,0.484,0.583,0.28,0.282
"P18","No sabe",0.208,0.29,0.104,0.229,0.515
"P19","Lo votaría",0.129,0.104,0.04,0.062,0.149
"P19","Puede que lo vote",0.083,0.093,0.156,0.163,0.216
"P19","Nunca lo votaría",0.549,0.375,0.599,0.547,0.093
"P19","No sabe",0.239,0.428,0.205,0.228,0.542
"P20","Si",0.346,0.241,0.381,0.225,0.133
"P20","No",0.654,0.759,0.619,0.775,0.867
