"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Comunidad",0.316,0.223,0.198,0.146,0.066
"P06","MPN",0.104,0.251,0.191,0.074,0.107
"P06","Desarrollo Ciudadano",0.092,0.062,0.161,0.01,0.038
"P06","Partido Justicialista",0.074,0.085,0,0.096,0
"P06","Iguales",0.038,0.042,0.068,0.017,0.075
"P06","Otro",0.195,0.083,0.106,0.106,0.204
"P06","No sabe",0.181,0.254,0.276,0.551,0.51
"P07","Julieta Corroza por Comunidad",0.233,0.262,0.193,0.08,0.036
"P07","Sergio Soto por el MPN",0.089,0.18,0.091,0.21,0
"P07","Luis Bertolini por Desarrollo Ciudadano",0.177,0.129,0.254,0.06,0.241
"P07","Andrés Peressini por Iguales",0.069,0.1,0.054,0.093,0.096
"P07","Karina Ortiz por el PJ",0.086,0.077,0.023,0.091,0.071
"P07","No sabe",0.346,0.252,0.385,0.466,0.556
"P11","Julieta Corroza por Comunidad",0.235,0.328,0.274,0.174,0.08
"P11","Sergio Soto por el MPN",0.072,0.171,0.089,0.128,0.13
"P11","Luis Bertolini por Desarrollo Ciudadano",0.133,0.121,0.059,0.091,0
"P11","Andrés Peressini por Iguales",0.096,0.079,0.124,0.126,0.146
"P11","Karina Ortiz por el PJ",0.016,0.047,0.029,0.117,0.295
"P11","No sabe",0.448,0.254,0.425,0.364,0.349
"P15","Lo votaría",0.266,0.356,0.212,0.141,0.047
"P15","Puede que lo vote",0.145,0.29,0.255,0.097,0.105
"P15","Nunca lo votaría",0.409,0.247,0.201,0.248,0.302
"P15","No sabe",0.18,0.107,0.332,0.514,0.546
"P16","Lo votaría",0.116,0.263,0.063,0.208,0
"P16","Puede que lo vote",0.058,0.084,0.12,0.076,0.022
"P16","Nunca lo votaría",0.72,0.541,0.542,0.275,0.423
"P16","No sabe",0.106,0.112,0.275,0.441,0.555
"P17","Lo votaría",0.173,0.11,0.174,0.032,0
"P17","Puede que lo vote",0.153,0.197,0.103,0.177,0
"P17","Nunca lo votaría",0.505,0.47,0.343,0.37,0.421
"P17","No sabe",0.169,0.223,0.38,0.421,0.579
"P18","Lo votaría",0.117,0.143,0.196,0.124,0.15
"P18","Puede que lo vote",0.178,0.17,0.156,0.097,0.12
"P18","Nunca lo votaría",0.597,0.508,0.384,0.304,0.198
"P18","No sabe",0.108,0.179,0.264,0.475,0.532
"P19","Lo votaría",0.105,0.103,0.077,0.14,0
"P19","Puede que lo vote",0.102,0.09,0.192,0.199,0
"P19","Nunca lo votaría",0.674,0.512,0.415,0.179,0.281
"P19","No sabe",0.119,0.295,0.316,0.482,0.719
"P20","Si",0.38,0.337,0.252,0.199,0
"P20","No",0.62,0.663,0.748,0.801,1
