"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P05","Tengo trabajo estable",0.446,0.704,0.676,0.656
"P05","Realizo changas o trabajos de vez en cuando",0.267,0.159,0.077,0.09
"P05","No tengo trabajo",0.183,0.039,0.083,0.057
"P05","Soy jubilado o pensionado",0.104,0.098,0.164,0.197
"P06","1",0.417,0.188,0.217,0.097
"P06","2",0.077,0.113,0.06,0.038
"P06","3",0.021,0.018,0.03,0.014
"P06","4",0.021,0.068,0.103,0.029
"P06","5",0.051,0.168,0.179,0.148
"P06","6",0.019,0.152,0.054,0.087
"P06","7",0.118,0.125,0.203,0.214
"P06","8",0.067,0.044,0.044,0.138
"P06","9",0.209,0.124,0.11,0.235
"P07","1",0.539,0.232,0.31,0.52
"P07","2",0.147,0.087,0.041,0.088
"P07","3",0.053,0.108,0.099,0.102
"P07","4",0.02,0.08,0.058,0.062
"P07","5",0.046,0.199,0.129,0.105
"P07","6",0.041,0.082,0.032,0.013
"P07","7",0.022,0.061,0.119,0.027
"P07","8",0.009,0.04,0.052,0.03
"P07","9",0.123,0.111,0.16,0.053
"P08","1",0.608,0.528,0.513,0.801
"P08","2",0.013,0.047,0.074,0.041
"P08","3",0.013,0.029,0.018,0.035
"P08","4",0.016,0.017,0.013,0.011
"P08","5",0.036,0.089,0.069,0.054
"P08","6",0.015,0.014,0.011,0.003
"P08","7",0,0.016,0.023,0.007
"P08","8",0.017,0.003,0.026,0.009
"P08","9",0.282,0.257,0.253,0.039
"P11","A Alberto Fernández",0.816,0.091,0.082,0.056
"P11","A Sergio Massa",0.07,0.803,0.09,0.138
"P11","A algún candidato del peronismo",0.033,0.071,0.759,0.069
"P11","A algún candidato del kirchnerismo",0.081,0.035,0.069,0.737
"P16","A Leandro Santoro",0.431,0.625,0.69,0.636
"P16","A Matias Lammens",0.467,0.27,0.143,0.126
"P16","A Mariano Recalde",0.102,0.105,0.167,0.238
"P18","Lo votaría",0.131,0.158,0.122,0.058
"P18","Puede que lo vote",0.197,0.246,0.182,0.079
"P18","Nunca lo votaría",0.387,0.437,0.531,0.805
"P18","No sabe",0.285,0.159,0.165,0.058
"P19","Lo votaría",0.355,0.547,0.373,0.726
"P19","Puede que lo vote",0.2,0.213,0.167,0.135
"P19","Nunca lo votaría",0.239,0.181,0.336,0.106
"P19","No sabe",0.206,0.059,0.124,0.033
"P20","Lo votaría",0.127,0.098,0.115,0.07
"P20","Puede que lo vote",0.133,0.122,0.15,0.038
"P20","Nunca lo votaría",0.507,0.677,0.618,0.821
"P20","No sabe",0.233,0.103,0.117,0.071
"P21","Lo votaría",0.238,0.268,0.212,0.241
"P21","Puede que lo vote",0.253,0.367,0.229,0.468
"P21","Nunca lo votaría",0.247,0.25,0.45,0.22
"P21","No sabe",0.262,0.115,0.109,0.071
"P22","Lo votaría",0.212,0.098,0.122,0.038
"P22","Puede que lo vote",0.264,0.359,0.238,0.131
"P22","Nunca lo votaría",0.304,0.462,0.492,0.725
"P22","No sabe",0.22,0.081,0.148,0.106
"P23","Lo votaría",0.075,0.083,0.159,0.016
"P23","Puede que lo vote",0.152,0.08,0.115,0.027
"P23","Nunca lo votaría",0.628,0.808,0.649,0.94
"P23","No sabe",0.145,0.029,0.077,0.017
"P24","Lo votaría",0.082,0.052,0.074,0.009
"P24","Puede que lo vote",0.081,0.094,0.136,0.014
"P24","Nunca lo votaría",0.704,0.841,0.746,0.963
"P24","No sabe",0.133,0.013,0.044,0.014
"P25","Lo votaría",0.096,0.033,0.141,0.011
"P25","Puede que lo vote",0.149,0.108,0.12,0.002
"P25","Nunca lo votaría",0.581,0.847,0.659,0.968
"P25","No sabe",0.174,0.012,0.08,0.019
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.13,0.04,0.071,0.009
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.016,0.036,0.059,0.001
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0,0.023,0.038,0.004
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.024,0.012,0.066,0.014
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.038,0.049,0.075,0.016
