"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.521,0.668,0.739,0.694,0.604
"P05","Realizo changas o trabajos de vez en cuando",0.096,0.09,0.115,0.049,0.146
"P05","No tengo trabajo",0.074,0.063,0.051,0.163,0.069
"P05","Soy jubilado o pensionado",0.309,0.179,0.095,0.094,0.181
"P06","1",0.39,0.106,0.426,0.155,0.25
"P06","2",0.063,0.043,0.071,0.038,0.064
"P06","3",0.113,0.02,0.103,0.016,0.073
"P06","4",0.102,0.046,0.037,0.014,0.048
"P06","5",0.2,0.149,0.154,0.1,0.266
"P06","6",0.035,0.09,0.019,0.057,0.094
"P06","7",0.036,0.22,0.043,0.152,0.075
"P06","8",0.022,0.105,0.051,0.135,0.045
"P06","9",0.039,0.221,0.096,0.333,0.085
"P07","1",0.123,0.471,0.098,0.418,0.16
"P07","2",0.023,0.097,0.037,0.049,0.042
"P07","3",0.021,0.103,0.033,0.078,0.015
"P07","4",0.033,0.07,0.022,0.063,0.09
"P07","5",0.162,0.126,0.131,0.182,0.298
"P07","6",0.075,0.021,0.029,0.004,0.091
"P07","7",0.14,0.032,0.123,0.092,0.052
"P07","8",0.123,0.018,0.117,0.007,0.058
"P07","9",0.3,0.062,0.41,0.107,0.194
"P08","1",0.239,0.749,0.24,0.695,0.468
"P08","2",0.031,0.049,0.034,0.016,0.06
"P08","3",0.047,0.032,0.048,0.05,0.02
"P08","4",0.034,0.012,0.016,0.011,0.02
"P08","5",0.142,0.059,0.198,0.089,0.089
"P08","6",0.044,0.003,0.041,0.005,0.018
"P08","7",0.064,0.007,0.049,0.033,0.048
"P08","8",0.062,0.014,0.031,0.038,0.028
"P08","9",0.337,0.075,0.343,0.063,0.249
"P10","Del Frente de Todos y el peronismo",0.036,0.855,0.042,0.233,0.151
"P10","De Cambiemos",0.825,0.049,0.099,0.079,0.495
"P10","De los Liberales libertarios",0.091,0.012,0.779,0.089,0.134
"P10","De la Izquierda",0.006,0.023,0.006,0.48,0.038
"P10","No sabe",0.042,0.061,0.074,0.119,0.182
"P11","A Alberto Fernández",0.163,0.082,0,0.263,0.332
"P11","A Sergio Massa",0.369,0.187,0.365,0.027,0.151
"P11","A algún candidato del peronismo",0.442,0.11,0.292,0.073,0.155
"P11","A algún candidato del kirchnerismo",0.026,0.621,0.343,0.637,0.362
"P12","A Alberto Fernández",0.159,0.039,0,0.019,0.332
"P12","A Sergio Massa",0.323,0.098,0.177,0.027,0.131
"P12","A algún candidato del peronismo",0.492,0.067,0.292,0.054,0.106
"P12","A Cristina Fernández de Kirchner",0.026,0.796,0.531,0.9,0.431
"P13","A Horacio Rodriguez Larreta",0.179,0.298,0.214,0.146,0.424
"P13","A Mauricio Macri",0.352,0.03,0.333,0.412,0.155
"P13","A Patricia Bullrich",0.44,0.062,0.315,0.083,0.242
"P13","A Facundo Manes",0.016,0.518,0.107,0.197,0.09
"P13","A Gerardo Morales",0.013,0.092,0.031,0.162,0.089
"P14","Del Frente de Todos y el peronismo",0.021,0.808,0.032,0.201,0.108
"P14","A Juntos por el Cambio",0.878,0.05,0.152,0.066,0.518
"P14","De los Liberales libertarios",0.075,0.021,0.747,0.07,0.091
"P14","De la Izquierda",0.003,0.08,0.006,0.565,0.043
"P14","No sabe",0.023,0.041,0.063,0.098,0.24
"P16","A Leandro Santoro",0.476,0.705,0.267,0.512,0.585
"P16","A Matias Lammens",0.459,0.112,0.342,0.22,0.368
"P16","A Mariano Recalde",0.065,0.183,0.391,0.268,0.047
"P17","A Soledad Acuña",0.039,0.055,0.124,0.159,0.015
"P17","A Jorge Macri",0.336,0.115,0.151,0.178,0.138
"P17","A Martín Lousteau",0.211,0.334,0.37,0.432,0.475
"P17","A Fernan Quirós",0.198,0.317,0.187,0.175,0.244
"P17","A Ricardo López Murphy",0.216,0.179,0.168,0.056,0.128
"P18","Lo votaría",0.288,0.082,0.119,0.082,0.36
"P18","Puede que lo vote",0.337,0.11,0.156,0.117,0.204
"P18","Nunca lo votaría",0.299,0.725,0.633,0.706,0.252
"P18","No sabe",0.076,0.083,0.092,0.095,0.184
"P19","Lo votaría",0.04,0.716,0.046,0.169,0.082
"P19","Puede que lo vote",0.097,0.153,0.078,0.356,0.168
"P19","Nunca lo votaría",0.763,0.1,0.811,0.411,0.536
"P19","No sabe",0.1,0.031,0.065,0.064,0.214
"P20","Lo votaría",0.126,0.068,0.05,0.081,0.036
"P20","Puede que lo vote",0.408,0.062,0.162,0.089,0.134
"P20","Nunca lo votaría",0.347,0.807,0.637,0.718,0.616
"P20","No sabe",0.119,0.063,0.151,0.112,0.214
"P21","Lo votaría",0.021,0.273,0.031,0.093,0.076
"P21","Puede que lo vote",0.079,0.456,0.053,0.204,0.139
"P21","Nunca lo votaría",0.809,0.206,0.761,0.569,0.656
"P21","No sabe",0.091,0.065,0.155,0.134,0.129
"P22","Lo votaría",0.352,0.057,0.085,0.072,0.224
"P22","Puede que lo vote",0.373,0.169,0.221,0.109,0.225
"P22","Nunca lo votaría",0.199,0.685,0.579,0.663,0.36
"P22","No sabe",0.076,0.089,0.115,0.156,0.191
"P23","Lo votaría",0.533,0.011,0.095,0.071,0.155
"P23","Puede que lo vote",0.324,0.042,0.314,0.028,0.183
"P23","Nunca lo votaría",0.102,0.923,0.479,0.811,0.547
"P23","No sabe",0.041,0.024,0.112,0.09,0.115
"P24","Lo votaría",0.389,0.007,0.096,0.056,0.211
"P24","Puede que lo vote",0.36,0.031,0.158,0.059,0.239
"P24","Nunca lo votaría",0.212,0.949,0.668,0.823,0.447
"P24","No sabe",0.039,0.013,0.078,0.062,0.103
"P25","Lo votaría",0.414,0.017,0.268,0.096,0.134
"P25","Puede que lo vote",0.36,0.041,0.34,0.01,0.205
"P25","Nunca lo votaría",0.18,0.919,0.301,0.841,0.515
"P25","No sabe",0.046,0.023,0.091,0.053,0.146
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.369,0.007,0.057,0.028,0.096
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.31,0.007,0.117,0.005,0.114
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.049,0.005,0.013,0.029,0.054
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.105,0.025,0.023,0.032,0.107
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.148,0.021,0.068,0.033,0.349
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.67,0.034,0.086,0.093
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.261,0.011,0.118,0.09
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.004,0,0.674,0.101,0.063
"P26","A los candidatos de la izquierda",0.001,0.004,0.003,0.568,0.034
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.364,0.006,0.067,0.016,0.103
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.332,0.008,0.127,0.005,0.115
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.039,0.011,0,0.034,0.041
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.103,0.025,0.014,0.038,0.103
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.149,0.02,0.055,0.027,0.342
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.619,0.027,0.149,0.074
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.005,0.255,0.02,0.057,0.11
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.004,0.002,0.685,0.051,0.06
"P27","A los candidatos de la izquierda",0,0.054,0.005,0.623,0.052
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.449,0.004,0.051,0.017,0.104
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.108,0.004,0.006,0.018,0.058
"P28","A Martín Lousteau como Jefe de Gobierno",0.21,0.043,0.108,0.047,0.412
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.196,0.021,0.081,0.054,0.099
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.003,0.755,0.019,0.15,0.105
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.142,0.022,0.015,0.052
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.011,0.581,0.045,0.063
"P28","A los candidatos de izquierda",0.002,0.004,0.128,0.473,0.023
"P28","No sabe",0.011,0.016,0.004,0.181,0.084
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.428,0.002,0.054,0.005,0.063
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.144,0.018,0.048,0.037,0.22
"P29","A Martín Lousteau como Jefe de Gobierno",0.176,0.039,0.091,0.082,0.29
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.128,0.207,0.055,0.048,0.08
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.549,0.015,0.122,0.067
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.088,0.112,0.026,0.034,0.109
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.007,0.607,0.041,0.058
"P29","A los candidatos de izquierda",0.003,0.027,0.102,0.477,0.019
"P29","No sabe",0.015,0.039,0.002,0.154,0.094
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.2,0.015,0.021,0.026,0.102
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.542,0.006,0.112,0.026,0.129
