"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de la izquierda","No sabe"
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.64,0.5,0.697,0.704,0.659,0.14,0.058,0.012,0.025,0
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.068,0.047,0.2,0.119,0.082,0.788,0.872,0.007,0.14,0
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.178,0.317,0.013,0.057,0.077,0.015,0.005,0.919,0.005,0
"P44","A los candidatos de la izquierda",0.017,0.006,0.062,0.011,0.008,0.014,0.013,0.002,0.737,0
"P44","No sabe",0.097,0.13,0.028,0.109,0.174,0.043,0.052,0.06,0.093,0
"P46","Jorge Macri por Juntos por el Cambio",0.957,0.845,0.76,0.769,0.669,0.018,0.02,0.517,0.043,0
"P46","Leandro Santoro por el Frente de Todos",0.01,0.006,0.115,0.102,0.041,0.957,0.91,0.052,0.589,0
"P46","No sabe",0.033,0.149,0.125,0.129,0.29,0.025,0.07,0.431,0.368,0
"P47","Soledad Acuña por Juntos por el Cambio",0.76,0.717,0.686,0.738,0.654,0.03,0.027,0.437,0.005,0
"P47","Leandro Santoro por el Frente de Todos",0.007,0.025,0.137,0.113,0.027,0.947,0.92,0.087,0.608,0
"P47","No sabe",0.233,0.258,0.177,0.149,0.319,0.023,0.053,0.476,0.387,0
"P48","Fernán Quirós por Juntos por el Cambio",0.86,0.788,0.772,0.939,0.793,0.017,0.046,0.392,0.011,0
"P48","Leandro Santoro por el Frente de Todos",0.008,0.028,0.093,0.036,0.02,0.945,0.895,0.065,0.596,0
"P48","No sabe",0.132,0.184,0.135,0.025,0.187,0.038,0.059,0.543,0.393,0
"P49","Martín Lousteau por Juntos por el Cambio",0.777,0.679,0.657,0.812,0.943,0.045,0.06,0.381,0.011,0
"P49","Leandro Santoro por el Frente de Todos",0.006,0.022,0.175,0.075,0.003,0.929,0.91,0.063,0.618,0
"P49","No sabe",0.217,0.299,0.168,0.113,0.054,0.026,0.03,0.556,0.371,0
"P50","María Eugenia Vidal por Juntos por el Cambio",0.827,0.72,0.77,0.763,0.723,0.018,0.038,0.398,0.016,0
"P50","Leandro Santoro por el Frente de Todos",0.006,0.018,0.117,0.121,0.04,0.966,0.894,0.072,0.619,0
"P50","No sabe",0.167,0.262,0.113,0.116,0.237,0.016,0.068,0.53,0.365,0
"P51","Muy buena",0.366,0.211,0.552,0.441,0.368,0.068,0.137,0.084,0.011,0
"P51","Buena",0.398,0.41,0.274,0.408,0.407,0.088,0.093,0.199,0.011,0
"P51","Ni buena ni mala",0.139,0.223,0.101,0.115,0.157,0.106,0.116,0.279,0.15,0
"P51","Mala",0.068,0.103,0,0.012,0.019,0.265,0.251,0.226,0.31,0
"P51","Muy mala",0.023,0.037,0.073,0.014,0.033,0.47,0.395,0.2,0.509,0
"P51","No sabe",0.006,0.016,0,0.01,0.016,0.003,0.008,0.012,0.009,0
"P52","Muy buena",0.616,0.268,0.383,0.281,0.212,0.03,0.021,0.058,0,0
"P52","Buena",0.318,0.346,0.353,0.332,0.253,0.023,0.045,0.144,0,0
"P52","Ni buena ni mala",0.049,0.278,0.16,0.238,0.395,0.11,0.203,0.414,0.084,0
"P52","Mala",0.002,0.066,0.01,0.096,0.09,0.245,0.24,0.205,0.303,0
"P52","Muy mala",0.002,0.03,0.094,0.032,0.025,0.548,0.466,0.128,0.598,0
"P52","No sabe",0.013,0.012,0,0.021,0.025,0.044,0.025,0.051,0.015,0
"P53","Muy buena",0.063,0.025,0.051,0.07,0.027,0.668,0.499,0.021,0.192,0
"P53","Buena",0.057,0.057,0.181,0.089,0.099,0.183,0.242,0.06,0.157,0
"P53","Ni buena ni mala",0.243,0.209,0.261,0.308,0.278,0.02,0.094,0.213,0.116,0
"P53","Mala",0.267,0.303,0.118,0.262,0.286,0.025,0.044,0.238,0.178,0
"P53","Muy mala",0.326,0.375,0.27,0.237,0.254,0.077,0.113,0.41,0.303,0
"P53","No sabe",0.044,0.031,0.119,0.034,0.056,0.027,0.008,0.058,0.054,0
"P54","Muy buena",0.339,0.223,0.447,0.372,0.353,0.085,0.087,0.038,0.038,0
"P54","Buena",0.403,0.305,0.274,0.239,0.265,0.011,0.016,0.173,0.015,0
"P54","Ni buena ni mala",0.123,0.26,0.174,0.208,0.169,0.026,0.038,0.26,0.034,0
"P54","Mala",0.082,0.13,0.041,0.126,0.101,0.123,0.206,0.183,0.153,0
"P54","Muy mala",0.053,0.081,0.064,0.055,0.096,0.741,0.645,0.335,0.76,0
"P54","No sabe",0,0.001,0,0,0.016,0.014,0.008,0.011,0,0
"P55","Muy buena",0.264,0.193,0.334,0.275,0.186,0.02,0.021,0.071,0.006,0
"P55","Buena",0.363,0.346,0.359,0.263,0.295,0.018,0.012,0.12,0.006,0
"P55","Ni buena ni mala",0.255,0.325,0.131,0.228,0.33,0.046,0.078,0.295,0.062,0
"P55","Mala",0.053,0.084,0.076,0.139,0.077,0.109,0.137,0.205,0.111,0
"P55","Muy mala",0.038,0.027,0.025,0.06,0.033,0.787,0.735,0.134,0.754,0
"P55","No sabe",0.027,0.025,0.075,0.035,0.079,0.02,0.017,0.175,0.061,0
"P56","Muy buena",0.242,0.195,0.139,0.156,0.63,0.019,0.034,0.066,0.04,0
"P56","Buena",0.266,0.245,0.337,0.4,0.246,0.032,0.081,0.102,0.056,0
"P56","Ni buena ni mala",0.295,0.248,0.33,0.261,0.085,0.15,0.11,0.247,0.125,0
"P56","Mala",0.141,0.179,0.13,0.106,0.01,0.338,0.26,0.236,0.323,0
"P56","Muy mala",0.051,0.129,0.064,0.045,0.016,0.447,0.498,0.308,0.422,0
"P56","No sabe",0.005,0.004,0,0.032,0.013,0.014,0.017,0.041,0.034,0
"P57","Muy buena",0.022,0.04,0.06,0.069,0.084,0.162,0.39,0.034,0.069,0
"P57","Buena",0.043,0.048,0.193,0.045,0.055,0.406,0.304,0.019,0.152,0
"P57","Ni buena ni mala",0.223,0.176,0.12,0.245,0.25,0.253,0.132,0.2,0.235,0
"P57","Mala",0.308,0.27,0.22,0.338,0.336,0.058,0.01,0.201,0.255,0
"P57","Muy mala",0.37,0.447,0.302,0.285,0.206,0.101,0.139,0.428,0.246,0
"P57","No sabe",0.034,0.019,0.105,0.018,0.069,0.02,0.025,0.118,0.043,0
"P58","Muy buena",0.41,0.688,0.279,0.284,0.248,0.025,0.019,0.188,0.011,0
"P58","Buena",0.282,0.175,0.318,0.234,0.29,0.042,0.061,0.279,0.017,0
"P58","Ni buena ni mala",0.23,0.063,0.153,0.212,0.295,0.062,0.219,0.343,0.066,0
"P58","Mala",0.031,0.035,0.09,0.118,0.092,0.119,0.1,0.063,0.112,0
"P58","Muy mala",0.038,0.031,0.11,0.129,0.061,0.738,0.592,0.085,0.794,0
"P58","No sabe",0.009,0.008,0.05,0.023,0.014,0.014,0.009,0.042,0,0
"P59","Muy buena",0.599,0.478,0.514,0.763,0.497,0.044,0.046,0.133,0.031,0
"P59","Buena",0.225,0.309,0.211,0.135,0.219,0.123,0.151,0.116,0.046,0
"P59","Ni buena ni mala",0.15,0.157,0.092,0.062,0.201,0.246,0.375,0.383,0.204,0
"P59","Mala",0.01,0.034,0.069,0.019,0.021,0.205,0.117,0.156,0.272,0
"P59","Muy mala",0.006,0.015,0.025,0,0.022,0.357,0.273,0.123,0.432,0
"P59","No sabe",0.01,0.007,0.089,0.021,0.04,0.025,0.038,0.089,0.015,0
"P60","Muy buena",0.061,0.04,0.073,0.043,0.036,0.378,0.294,0.011,0.149,0
"P60","Buena",0.021,0.035,0.11,0.042,0.028,0.338,0.271,0.02,0.19,0
"P60","Ni buena ni mala",0.13,0.131,0.144,0.171,0.222,0.121,0.138,0.197,0.331,0
"P60","Mala",0.237,0.225,0.28,0.305,0.285,0.039,0.071,0.182,0.075,0
"P60","Muy mala",0.488,0.54,0.342,0.383,0.33,0.076,0.183,0.405,0.205,0
"P60","No sabe",0.063,0.029,0.051,0.056,0.099,0.048,0.043,0.185,0.05,0
"P61","Muy buena",0.009,0.009,0,0.016,0.003,0.216,0.148,0.011,0.079,0
"P61","Buena",0.004,0.013,0.134,0.009,0,0.142,0.128,0.003,0.082,0
"P61","Ni buena ni mala",0.152,0.178,0.149,0.229,0.202,0.283,0.382,0.189,0.345,0
"P61","Mala",0.172,0.165,0.154,0.147,0.2,0.042,0.003,0.119,0.116,0
"P61","Muy mala",0.328,0.321,0.321,0.256,0.29,0.061,0.12,0.385,0.227,0
"P61","No sabe",0.335,0.314,0.242,0.343,0.305,0.256,0.219,0.293,0.151,0
"P62","Muy buena",0.011,0.006,0,0.011,0.003,0.155,0.2,0.006,0,0
"P62","Buena",0.011,0.003,0.025,0,0.012,0.484,0.407,0.006,0.09,0
"P62","Ni buena ni mala",0.007,0.037,0.09,0.029,0.097,0.267,0.255,0.079,0.235,0
"P62","Mala",0.099,0.114,0.218,0.213,0.203,0.039,0.077,0.081,0.461,0
"P62","Muy mala",0.859,0.822,0.619,0.747,0.627,0.029,0.04,0.812,0.205,0
"P62","No sabe",0.013,0.018,0.048,0,0.058,0.026,0.021,0.016,0.009,0
"P63","Muy buena",0.009,0.005,0.025,0.017,0.003,0.115,0.219,0.006,0.008,0
"P63","Buena",0.005,0,0.025,0.005,0,0.457,0.375,0,0.13,0
"P63","Ni buena ni mala",0.012,0.016,0.064,0.047,0.083,0.308,0.23,0.03,0.214,0
"P63","Mala",0.079,0.111,0.25,0.181,0.195,0.091,0.094,0.141,0.358,0
"P63","Muy mala",0.894,0.868,0.636,0.75,0.712,0.027,0.061,0.804,0.281,0
"P63","No sabe",0.001,0,0,0,0.007,0.002,0.021,0.019,0.009,0
"P64","Muy buena",0.001,0.003,0.025,0.012,0.019,0.763,0.665,0.011,0.35,0
"P64","Buena",0.004,0.005,0.084,0.018,0.005,0.144,0.137,0.016,0.258,0
"P64","Ni buena ni mala",0.007,0.02,0.039,0.038,0.037,0.038,0.095,0.011,0.058,0
"P64","Mala",0.05,0.069,0.092,0.1,0.166,0.021,0.021,0.065,0.201,0
"P64","Muy mala",0.937,0.897,0.76,0.832,0.766,0.034,0.082,0.874,0.133,0
"P64","No sabe",0.001,0.006,0,0,0.007,0,0,0.023,0,0
"P65","Muy buena",0.493,0.456,0.492,0.272,0.174,0.084,0.124,0.04,0.033,0
"P65","Buena",0.283,0.282,0.181,0.224,0.234,0.018,0.029,0.223,0.04,0
"P65","Ni buena ni mala",0.092,0.129,0.112,0.184,0.297,0.013,0.055,0.199,0.02,0
"P65","Mala",0.047,0.058,0,0.125,0.133,0.072,0.103,0.235,0.151,0
"P65","Muy mala",0.084,0.075,0.215,0.195,0.162,0.811,0.689,0.292,0.756,0
"P65","No sabe",0.001,0,0,0,0,0.002,0,0.011,0,0
"P66","Muy buena",0.184,0.12,0.558,0.478,0.354,0.04,0.057,0.014,0.005,0
"P66","Buena",0.418,0.314,0.245,0.287,0.389,0.02,0.025,0.144,0,0
"P66","Ni buena ni mala",0.21,0.252,0.099,0.143,0.198,0.05,0.078,0.187,0.044,0
"P66","Mala",0.108,0.161,0.014,0.035,0.039,0.154,0.179,0.294,0.209,0
"P66","Muy mala",0.076,0.152,0.084,0.057,0.02,0.736,0.661,0.35,0.742,0
"P66","No sabe",0.004,0.001,0,0,0,0,0,0.011,0,0
"P67","Muy buena",0.007,0.022,0.036,0.067,0.023,0.157,0.152,0.011,0.094,0
"P67","Buena",0.036,0.026,0.025,0.067,0.113,0.437,0.424,0.033,0.151,0
"P67","Ni buena ni mala",0.038,0.052,0.185,0.127,0.171,0.24,0.187,0.056,0.156,0
"P67","Mala",0.142,0.183,0.31,0.265,0.302,0.052,0.051,0.25,0.331,0
"P67","Muy mala",0.773,0.712,0.444,0.468,0.378,0.11,0.178,0.612,0.262,0
"P67","No sabe",0.004,0.005,0,0.006,0.013,0.004,0.008,0.038,0.006,0
"P68","Muy buena",0.782,0.708,0.427,0.228,0.274,0.032,0.043,0.207,0.005,0
"P68","Buena",0.106,0.204,0.207,0.279,0.295,0.056,0.062,0.351,0.021,0
"P68","Ni buena ni mala",0.011,0.011,0.166,0.218,0.233,0.032,0.059,0.202,0.029,0
"P68","Mala",0,0.02,0.014,0.161,0.092,0.058,0.078,0.076,0.16,0
"P68","Muy mala",0.1,0.055,0.186,0.096,0.1,0.82,0.752,0.123,0.785,0
"P68","No sabe",0.001,0.002,0,0.018,0.006,0.002,0.006,0.041,0,0
"P69","Muy buena",0.138,0.192,0.151,0.091,0.054,0.034,0.05,0.702,0.006,0
"P69","Buena",0.193,0.202,0.077,0.123,0.125,0.01,0.003,0.214,0,0
"P69","Ni buena ni mala",0.383,0.312,0.295,0.292,0.354,0.026,0.067,0.07,0.015,0
"P69","Mala",0.162,0.189,0.209,0.21,0.24,0.047,0.039,0.012,0.059,0
"P69","Muy mala",0.109,0.091,0.199,0.267,0.189,0.864,0.838,0.002,0.92,0
"P69","No sabe",0.015,0.014,0.069,0.017,0.038,0.019,0.003,0,0,0
"P70","Muy buena",0.043,0.053,0.087,0.149,0.146,0.047,0.064,0.117,0.012,0
"P70","Buena",0.139,0.112,0.134,0.213,0.275,0.099,0.122,0.082,0.074,0
"P70","Ni buena ni mala",0.415,0.376,0.23,0.388,0.397,0.324,0.323,0.31,0.263,0
"P70","Mala",0.223,0.209,0.27,0.122,0.1,0.173,0.163,0.189,0.14,0
"P70","Muy mala",0.165,0.231,0.152,0.112,0.047,0.325,0.273,0.194,0.448,0
"P70","No sabe",0.015,0.019,0.127,0.016,0.035,0.032,0.055,0.108,0.063,0
"P71","Siempre",0.392,0.321,0.346,0.274,0.286,0.288,0.329,0.212,0.376,0
"P71","Casi siempre",0.427,0.409,0.482,0.517,0.39,0.429,0.418,0.386,0.381,0
"P71","Casi nunca",0.151,0.19,0.036,0.168,0.198,0.194,0.126,0.272,0.157,0
"P71","Nunca, pero esta es una excepción",0.03,0.08,0.136,0.041,0.126,0.089,0.127,0.13,0.086,0
"P72","Si",0.676,0.607,0.568,0.595,0.458,0.563,0.521,0.558,0.536,0
"P72","No",0.324,0.393,0.432,0.405,0.542,0.437,0.479,0.442,0.464,0
