"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de la izquierda","No sabe"
"P07","1",0.14,0.094,0.181,0.114,0.157,0.474,0.471,0.118,0.423,0.253
"P07","2",0.021,0.026,0.107,0.03,0.027,0.103,0.069,0.059,0.088,0.041
"P07","3",0.025,0.032,0.007,0.018,0.015,0.111,0.111,0.009,0.083,0.064
"P07","4",0.029,0.028,0.026,0.063,0.037,0.065,0.069,0.028,0.091,0.061
"P07","5",0.177,0.134,0.15,0.263,0.294,0.104,0.168,0.09,0.191,0.203
"P07","6",0.055,0.073,0.031,0.065,0.124,0.021,0.015,0.045,0.014,0.056
"P07","7",0.104,0.167,0.091,0.136,0.092,0.04,0.031,0.113,0.014,0.09
"P07","8",0.091,0.154,0.069,0.108,0.06,0.022,0.007,0.135,0.01,0.079
"P07","9",0.358,0.292,0.338,0.203,0.194,0.06,0.059,0.403,0.086,0.153
"P08","1",0.253,0.218,0.338,0.351,0.386,0.763,0.701,0.19,0.825,0.429
"P08","2",0.021,0.038,0.024,0.041,0.044,0.044,0.026,0.047,0.042,0.06
"P08","3",0.046,0.045,0.014,0.054,0.047,0.036,0.015,0.051,0.038,0.048
"P08","4",0.019,0.028,0.02,0.043,0.046,0.016,0.004,0.019,0.008,0.039
"P08","5",0.135,0.161,0.109,0.109,0.14,0.061,0.085,0.172,0.04,0.103
