"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Fernán Quirós","Positiva",0.533,0.494,0.567,0.266,0.452,0.64,0.678,0.498,0.525,0.546,0.218,0.735,0.605
"Fernán Quirós","Neutra",0.211,0.257,0.173,0.267,0.23,0.199,0.169,0.241,0.202,0.211,0.253,0.175,0.301
"Fernán Quirós","Negativa",0.227,0.214,0.237,0.4,0.294,0.144,0.125,0.194,0.235,0.229,0.498,0.074,0.094
"Fernán Quirós","No sabe",0.029,0.035,0.023,0.067,0.024,0.017,0.028,0.067,0.038,0.014,0.031,0.016,0
"Jorge Macri","Positiva",0.432,0.389,0.468,0.255,0.33,0.512,0.595,0.442,0.464,0.41,0.083,0.661,0.384
"Jorge Macri","Neutra",0.206,0.24,0.177,0.192,0.232,0.227,0.15,0.193,0.192,0.218,0.139,0.224,0.31
"Jorge Macri","Negativa",0.337,0.347,0.328,0.489,0.424,0.247,0.22,0.315,0.321,0.351,0.759,0.1,0.306
"Jorge Macri","No sabe",0.025,0.024,0.027,0.064,0.014,0.014,0.035,0.05,0.023,0.021,0.019,0.015,0
"Ricardo López Murphy","Positiva",0.467,0.471,0.465,0.334,0.39,0.535,0.582,0.39,0.453,0.492,0.094,0.693,0.408
"Ricardo López Murphy","Neutra",0.167,0.175,0.16,0.222,0.176,0.147,0.149,0.223,0.193,0.139,0.088,0.178,0.304
"Ricardo López Murphy","Negativa",0.351,0.342,0.358,0.422,0.418,0.306,0.256,0.339,0.332,0.365,0.801,0.12,0.288
"Ricardo López Murphy","No sabe",0.015,0.012,0.017,0.022,0.016,0.012,0.013,0.048,0.022,0.004,0.017,0.009,0
"Lucía Cámpora","Positiva",0.117,0.095,0.135,0.089,0.141,0.1,0.11,0.103,0.137,0.107,0.32,0.03,0.039
"Lucía Cámpora","Neutra",0.225,0.239,0.214,0.133,0.258,0.213,0.231,0.227,0.211,0.233,0.292,0.178,0.268
"Lucía Cámpora","Negativa",0.37,0.389,0.354,0.422,0.362,0.39,0.337,0.481,0.33,0.37,0.136,0.488,0.348
"Lucía Cámpora","No sabe",0.288,0.277,0.297,0.356,0.239,0.297,0.322,0.189,0.322,0.29,0.252,0.304,0.345
"Patricia Bullrich","Positiva",0.529,0.519,0.538,0.4,0.446,0.607,0.641,0.515,0.548,0.521,0.126,0.76,0.437
"Patricia Bullrich","Neutra",0.079,0.088,0.071,0.089,0.104,0.061,0.054,0.087,0.077,0.078,0.046,0.081,0.133
"Patricia Bullrich","Negativa",0.385,0.381,0.388,0.489,0.444,0.329,0.3,0.376,0.372,0.394,0.825,0.156,0.43
"Patricia Bullrich","No sabe",0.007,0.012,0.003,0.022,0.006,0.003,0.005,0.022,0.003,0.007,0.003,0.003,0
"Soledad Acuña","Positiva",0.352,0.305,0.392,0.2,0.258,0.447,0.464,0.361,0.358,0.346,0.05,0.56,0.226
"Soledad Acuña","Neutra",0.21,0.274,0.156,0.178,0.218,0.204,0.216,0.273,0.184,0.211,0.091,0.253,0.355
"Soledad Acuña","Negativa",0.391,0.372,0.406,0.555,0.475,0.313,0.272,0.265,0.395,0.417,0.824,0.156,0.374
"Soledad Acuña","No sabe",0.047,0.049,0.046,0.067,0.049,0.036,0.048,0.101,0.063,0.026,0.035,0.031,0.045
"Facundo Manes","Positiva",0.206,0.217,0.196,0.155,0.202,0.206,0.235,0.225,0.206,0.201,0.108,0.241,0.446
"Facundo Manes","Neutra",0.355,0.372,0.342,0.4,0.293,0.371,0.415,0.421,0.354,0.342,0.362,0.371,0.34
"Facundo Manes","Negativa",0.4,0.369,0.426,0.334,0.48,0.403,0.306,0.255,0.391,0.439,0.497,0.364,0.192
"Facundo Manes","No sabe",0.039,0.042,0.036,0.111,0.025,0.02,0.044,0.099,0.049,0.018,0.033,0.024,0.022
