"var","categoria","1","2","3","4","5","6","7","8","9"
"P05","Tengo trabajo estable",0.608,0.609,0.683,0.655,0.603,0.613,0.643,0.602,0.458
"P05","Realizo changas o trabajos de vez en cuando",0.133,0.162,0.106,0.097,0.106,0.064,0.104,0.126,0.173
"P05","No tengo trabajo",0.096,0.096,0.065,0.101,0.098,0.103,0.04,0.045,0.139
"P05","Soy jubilado o pensionado",0.163,0.133,0.146,0.147,0.193,0.22,0.213,0.227,0.23
"P06","1",0.223,0.19,0.193,0.173,0.237,0.199,0.308,0.25,0.446
"P06","2",0.055,0.104,0.063,0.057,0.059,0.052,0.112,0.131,0.082
"P06","3",0.035,0.043,0.2,0.134,0.095,0.12,0.075,0.159,0.051
"P06","4",0.043,0.15,0.095,0.245,0.088,0.18,0.142,0.122,0.055
"P06","5",0.168,0.198,0.182,0.209,0.303,0.238,0.195,0.195,0.129
"P06","6",0.066,0.118,0.054,0.082,0.042,0.082,0.054,0.016,0.026
"P06","7",0.141,0.105,0.125,0.087,0.068,0.049,0.075,0.056,0.02
"P06","8",0.084,0.066,0.025,0.006,0.049,0.024,0.01,0.017,0.037
"P06","9",0.185,0.026,0.063,0.007,0.059,0.056,0.029,0.054,0.154
"P07","1",0.387,0.108,0.182,0.077,0.115,0.067,0.026,0.041,0.225
"P07","2",0.062,0.209,0.024,0.012,0.025,0.021,0.014,0.041,0.052
"P07","3",0.064,0.076,0.164,0.07,0.031,0.019,0.008,0.022,0.024
"P07","4",0.044,0.06,0.074,0.221,0.039,0.072,0.052,0.025,0.035
"P07","5",0.155,0.153,0.155,0.14,0.364,0.196,0.215,0.127,0.125
"P07","6",0.041,0.093,0.075,0.097,0.055,0.169,0.068,0.067,0.038
"P07","7",0.054,0.123,0.138,0.144,0.109,0.187,0.287,0.241,0.05
"P07","8",0.039,0.111,0.078,0.113,0.098,0.119,0.097,0.303,0.057
"P07","9",0.154,0.067,0.11,0.126,0.164,0.15,0.233,0.133,0.394
"P10","Del Frente de Todos y el peronismo",0.471,0.316,0.231,0.127,0.169,0.107,0.075,0.114,0.136
"P10","De Cambiemos",0.244,0.344,0.375,0.476,0.437,0.534,0.631,0.588,0.474
"P10","De los Liberales libertarios",0.076,0.162,0.226,0.295,0.217,0.156,0.173,0.248,0.23
"P10","De la Izquierda",0.072,0.047,0.037,0.008,0.03,0.004,0.027,0,0.014
"P10","No sabe",0.137,0.131,0.131,0.094,0.147,0.199,0.094,0.05,0.146
"P11","A Alberto Fernández",0.111,0.15,0.18,0.169,0.155,0.14,0.113,0.245,0.258
"P11","A Sergio Massa",0.2,0.185,0.131,0.132,0.316,0.17,0.227,0.073,0.294
"P11","A algún candidato del peronismo",0.109,0.199,0.123,0.2,0.155,0.562,0.266,0.235,0.238
"P11","A algún candidato del kirchnerismo",0.58,0.466,0.566,0.499,0.374,0.128,0.394,0.447,0.21
"P12","A Alberto Fernández",0.078,0.028,0.038,0.124,0.057,0.229,0,0.141,0.233
"P12","A Sergio Massa",0.096,0.143,0.122,0.182,0.198,0.302,0.227,0.04,0.3
"P12","A algún candidato del peronismo",0.073,0.178,0.06,0.106,0.121,0.187,0.267,0.247,0.233
"P12","A Cristina Fernández de Kirchner",0.753,0.651,0.78,0.588,0.624,0.282,0.506,0.572,0.234
"P13","A Horacio Rodriguez Larreta",0.324,0.266,0.258,0.273,0.219,0.181,0.228,0.301,0.207
"P13","A Mauricio Macri",0.281,0.265,0.323,0.31,0.31,0.344,0.329,0.317,0.324
"P13","A Patricia Bullrich",0.291,0.335,0.372,0.282,0.403,0.37,0.396,0.355,0.419
"P13","A Facundo Manes",0.072,0.102,0.024,0.096,0.027,0.053,0.021,0.013,0.024
"P13","A Gerardo Morales",0.032,0.032,0.023,0.039,0.041,0.052,0.026,0.014,0.026
"P14","Del Frente de Todos y el peronismo",0.453,0.255,0.199,0.113,0.144,0.062,0.091,0.067,0.112
"P14","A Juntos por el Cambio",0.269,0.384,0.418,0.457,0.477,0.66,0.596,0.619,0.491
"P14","De los Liberales libertarios",0.057,0.16,0.217,0.244,0.205,0.171,0.179,0.27,0.231
"P14","De la Izquierda",0.108,0.083,0.059,0.022,0.053,0.012,0.033,0.004,0.017
"P14","No sabe",0.113,0.118,0.107,0.164,0.121,0.095,0.101,0.04,0.149
"P16","A Leandro Santoro",0.608,0.624,0.876,0.735,0.583,0.59,0.6,0.446,0.589
"P16","A Matias Lammens",0.18,0.128,0.025,0.101,0.266,0.319,0.332,0.554,0.219
"P16","A Mariano Recalde",0.212,0.248,0.099,0.164,0.151,0.091,0.068,0,0.192
"P17","A Soledad Acuña",0.038,0.078,0.009,0.013,0.056,0.01,0.017,0.061,0.063
"P17","A Jorge Macri",0.234,0.21,0.315,0.239,0.246,0.275,0.27,0.218,0.392
"P17","A Martín Lousteau",0.334,0.325,0.285,0.28,0.223,0.23,0.227,0.239,0.167
