"var","categoria","Fernán Quirós por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P05","Tengo trabajo estable",0.568,0.696,0.63
"P05","Realizo changas o trabajos de vez en cuando",0.095,0.063,0.127
"P05","No tengo trabajo",0.064,0.065,0.095
"P05","Soy jubilado o pensionado",0.273,0.176,0.148
"P06","1",0.338,0.132,0.367
"P06","2",0.057,0.04,0.091
"P06","3",0.117,0.023,0.057
"P06","4",0.099,0.052,0.047
"P06","5",0.219,0.155,0.121
"P06","6",0.051,0.07,0.03
"P06","7",0.044,0.213,0.07
"P06","8",0.034,0.114,0.05
"P06","9",0.041,0.201,0.167
"P07","1",0.079,0.47,0.16
"P07","2",0.029,0.109,0.024
"P07","3",0.02,0.109,0.035
"P07","4",0.037,0.062,0.04
"P07","5",0.193,0.114,0.155
"P07","6",0.072,0.016,0.043
"P07","7",0.153,0.05,0.108
"P07","8",0.127,0.021,0.063
"P07","9",0.29,0.049,0.372
"P08","1",0.248,0.731,0.295
"P08","2",0.034,0.049,0.024
"P08","3",0.052,0.049,0.025
"P08","4",0.032,0.01,0.017
"P08","5",0.159,0.075,0.15
"P08","6",0.048,0.003,0.034
"P08","7",0.065,0.013,0.067
"P08","8",0.062,0.016,0.025
"P08","9",0.3,0.054,0.363
"P10","Del Frente de Todos y el peronismo",0.039,0.815,0.06
"P10","De Cambiemos",0.749,0.059,0.283
"P10","De los Liberales libertarios",0.166,0.027,0.461
"P10","De la Izquierda",0.002,0.044,0.093
"P10","No sabe",0.044,0.055,0.103
"P11","A Alberto Fernández",0.266,0.099,0.251
"P11","A Sergio Massa",0.419,0.193,0.397
"P11","A algún candidato del peronismo",0.291,0.096,0.268
"P11","A algún candidato del kirchnerismo",0.024,0.612,0.084
"P12","A Alberto Fernández",0.195,0.041,0.077
"P12","A Sergio Massa",0.375,0.09,0.329
"P12","A algún candidato del peronismo",0.359,0.064,0.406
"P12","A Cristina Fernández de Kirchner",0.071,0.805,0.188
"P13","A Horacio Rodriguez Larreta",0.209,0.148,0.139
"P13","A Mauricio Macri",0.336,0.069,0.28
"P13","A Patricia Bullrich",0.413,0.295,0.447
"P13","A Facundo Manes",0.027,0.488,0.082
"P13","A Gerardo Morales",0.015,0,0.052
"P14","Del Frente de Todos y el peronismo",0.031,0.758,0.026
"P14","A Juntos por el Cambio",0.792,0.036,0.34
"P14","De los Liberales libertarios",0.144,0.048,0.417
"P14","De la Izquierda",0.002,0.112,0.102
"P14","No sabe",0.031,0.046,0.115
"P16","A Leandro Santoro",0.507,0.715,0.331
"P16","A Matias Lammens",0.365,0.118,0.612
"P16","A Mariano Recalde",0.128,0.167,0.057
"P17","A Soledad Acuña",0.05,0.163,0.009
"P17","A Jorge Macri",0.307,0.031,0.334
"P17","A Martín Lousteau",0.198,0.574,0.308
"P17","A Fernan Quirós",0.222,0.089,0.104
"P17","A Ricardo López Murphy",0.223,0.143,0.245
"P18","Lo votaría",0.279,0.07,0.177
"P18","Puede que lo vote",0.354,0.091,0.144
"P18","Nunca lo votaría",0.276,0.778,0.571
"P18","No sabe",0.091,0.061,0.108
"P19","Lo votaría",0.042,0.672,0.033
"P19","Puede que lo vote",0.09,0.173,0.092
"P19","Nunca lo votaría",0.768,0.127,0.766
"P19","No sabe",0.1,0.028,0.109
"P20","Lo votaría",0.134,0.071,0.047
"P20","Puede que lo vote",0.388,0.062,0.111
"P20","Nunca lo votaría",0.357,0.815,0.67
"P20","No sabe",0.121,0.052,0.172
"P21","Lo votaría",0.027,0.281,0.022
"P21","Puede que lo vote",0.081,0.407,0.041
"P21","Nunca lo votaría",0.806,0.244,0.793
"P21","No sabe",0.086,0.068,0.144
"P22","Lo votaría",0.386,0.07,0.068
"P22","Puede que lo vote",0.372,0.135,0.155
"P22","Nunca lo votaría",0.169,0.739,0.605
"P22","No sabe",0.073,0.056,0.172
"P23","Lo votaría",0.455,0.023,0.206
"P23","Puede que lo vote",0.347,0.052,0.207
"P23","Nunca lo votaría",0.143,0.916,0.462
"P23","No sabe",0.055,0.009,0.125
"P24","Lo votaría",0.364,0.019,0.161
"P24","Puede que lo vote",0.357,0.027,0.178
"P24","Nunca lo votaría",0.236,0.943,0.597
"P24","No sabe",0.043,0.011,0.064
"P25","Lo votaría",0.424,0.028,0.251
"P25","Puede que lo vote",0.334,0.054,0.255
"P25","Nunca lo votaría",0.187,0.901,0.397
"P25","No sabe",0.055,0.017,0.097
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.292,0.013,0.147
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.276,0.016,0.2
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.05,0.004,0.021
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.14,0.01,0.016
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.141,0.017,0.123
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.637,0.054
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.235,0.021
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.077,0.028,0.314
"P26","A los candidatos de la izquierda",0.001,0.04,0.104
