"var","categoria","Soledad Acuña por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P05","Tengo trabajo estable",0.562,0.715,0.594
"P05","Realizo changas o trabajos de vez en cuando",0.099,0.064,0.121
"P05","No tengo trabajo",0.073,0.052,0.085
"P05","Soy jubilado o pensionado",0.266,0.169,0.2
"P06","1",0.333,0.127,0.383
"P06","2",0.062,0.048,0.059
"P06","3",0.124,0.02,0.074
"P06","4",0.099,0.052,0.057
"P06","5",0.205,0.161,0.16
"P06","6",0.043,0.082,0.035
"P06","7",0.048,0.206,0.063
"P06","8",0.038,0.106,0.045
"P06","9",0.048,0.198,0.124
"P07","1",0.086,0.445,0.139
"P07","2",0.026,0.112,0.021
"P07","3",0.016,0.107,0.038
"P07","4",0.031,0.064,0.046
"P07","5",0.177,0.118,0.191
"P07","6",0.072,0.017,0.05
"P07","7",0.155,0.066,0.102
"P07","8",0.13,0.017,0.078
"P07","9",0.307,0.054,0.335
"P08","1",0.234,0.732,0.281
"P08","2",0.036,0.049,0.025
"P08","3",0.056,0.05,0.035
"P08","4",0.025,0.014,0.032
"P08","5",0.175,0.066,0.13
"P08","6",0.046,0.003,0.049
"P08","7",0.067,0.013,0.061
"P08","8",0.066,0.019,0.021
"P08","9",0.295,0.054,0.366
"P10","Del Frente de Todos y el peronismo",0.035,0.796,0.051
"P10","De Cambiemos",0.751,0.058,0.409
"P10","De los Liberales libertarios",0.186,0.046,0.346
"P10","De la Izquierda",0,0.042,0.077
"P10","No sabe",0.028,0.058,0.117
"P11","A Alberto Fernández",0.376,0.095,0.193
"P11","A Sergio Massa",0.331,0.204,0.299
"P11","A algún candidato del peronismo",0.293,0.093,0.464
"P11","A algún candidato del kirchnerismo",0,0.608,0.044
"P12","A Alberto Fernández",0.198,0.042,0.068
"P12","A Sergio Massa",0.234,0.101,0.325
"P12","A algún candidato del peronismo",0.42,0.06,0.484
"P12","A Cristina Fernández de Kirchner",0.148,0.797,0.123
"P13","A Horacio Rodriguez Larreta",0.206,0.216,0.172
"P13","A Mauricio Macri",0.357,0.062,0.223
"P13","A Patricia Bullrich",0.404,0.261,0.477
"P13","A Facundo Manes",0.018,0.461,0.095
"P13","A Gerardo Morales",0.015,0,0.033
"P14","Del Frente de Todos y el peronismo",0.023,0.753,0.011
"P14","A Juntos por el Cambio",0.797,0.041,0.449
"P14","De los Liberales libertarios",0.155,0.055,0.341
"P14","De la Izquierda",0.007,0.101,0.078
"P14","No sabe",0.018,0.05,0.121
"P16","A Leandro Santoro",0.433,0.708,0.356
"P16","A Matias Lammens",0.432,0.127,0.644
"P16","A Mariano Recalde",0.135,0.165,0
"P17","A Soledad Acuña",0.056,0.082,0.008
"P17","A Jorge Macri",0.324,0,0.273
"P17","A Martín Lousteau",0.186,0.506,0.313
"P17","A Fernan Quirós",0.216,0.243,0.155
"P17","A Ricardo López Murphy",0.218,0.169,0.251
"P18","Lo votaría",0.277,0.066,0.217
"P18","Puede que lo vote",0.341,0.089,0.225
"P18","Nunca lo votaría",0.294,0.779,0.451
"P18","No sabe",0.088,0.066,0.107
"P19","Lo votaría",0.044,0.652,0.027
"P19","Puede que lo vote",0.077,0.188,0.091
"P19","Nunca lo votaría",0.79,0.128,0.757
"P19","No sabe",0.089,0.032,0.125
"P20","Lo votaría",0.166,0.06,0.013
"P20","Puede que lo vote",0.418,0.064,0.124
"P20","Nunca lo votaría",0.301,0.817,0.699
"P20","No sabe",0.115,0.059,0.164
"P21","Lo votaría",0.032,0.265,0.024
"P21","Puede que lo vote",0.067,0.42,0.045
"P21","Nunca lo votaría",0.809,0.245,0.816
"P21","No sabe",0.092,0.07,0.115
"P22","Lo votaría",0.381,0.077,0.154
"P22","Puede que lo vote",0.359,0.153,0.216
"P22","Nunca lo votaría",0.182,0.716,0.492
"P22","No sabe",0.078,0.054,0.138
"P23","Lo votaría",0.477,0.018,0.239
"P23","Puede que lo vote",0.348,0.047,0.269
"P23","Nunca lo votaría",0.122,0.923,0.382
"P23","No sabe",0.053,0.012,0.11
"P24","Lo votaría",0.386,0.016,0.177
"P24","Puede que lo vote",0.354,0.023,0.247
"P24","Nunca lo votaría",0.215,0.948,0.523
"P24","No sabe",0.045,0.013,0.053
"P25","Lo votaría",0.444,0.022,0.279
"P25","Puede que lo vote",0.345,0.058,0.259
"P25","Nunca lo votaría",0.162,0.903,0.359
"P25","No sabe",0.049,0.017,0.103
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.294,0.008,0.192
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.283,0.012,0.217
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.049,0.008,0.026
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.128,0.02,0.057
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.126,0.021,0.163
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.631,0.026
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.233,0.016
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.103,0.029,0.221
"P26","A los candidatos de la izquierda",0,0.038,0.082
"P26","No sabe",0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.293,0.004,0.195
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.302,0.015,0.236
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.038,0.011,0.021
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.115,0.025,0.051
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.136,0.008,0.144
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.014,0.605,0.022
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.221,0.02
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.097,0.027,0.229
"P27","A los candidatos de la izquierda",0.001,0.084,0.082
"P27","No sabe",0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.38,0.019,0.206
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.104,0.001,0.048
"P28","A Martín Lousteau como Jefe de Gobierno",0.188,0.042,0.232
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.198,0.014,0.125
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.699,0.024
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.116,0.019
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.089,0.047,0.202
"P28","A los candidatos de izquierda",0.016,0.04,0.093
"P28","No sabe",0.011,0.022,0.051
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.365,0.008,0.216
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.153,0.012,0.07
"P29","A Martín Lousteau como Jefe de Gobierno",0.167,0.042,0.209
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.132,0.16,0.086
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.542,0.012
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.064,0.108,0.057
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.091,0.032,0.233
"P29","A los candidatos de izquierda",0.013,0.054,0.063
