"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.52,0.679,0.707,0.714,0.495
"P05","Realizo changas o trabajos de vez en cuando",0.099,0.072,0.12,0.069,0.162
"P05","No tengo trabajo",0.066,0.073,0.052,0.114,0.107
"P05","Soy jubilado o pensionado",0.315,0.176,0.121,0.103,0.236
"P06","1",0.343,0.121,0.43,0.133,0.275
"P06","2",0.051,0.045,0.087,0.007,0.107
"P06","3",0.098,0.018,0.127,0.018,0.127
"P06","4",0.103,0.059,0.036,0.014,0.082
"P06","5",0.234,0.142,0.127,0.115,0.191
"P06","6",0.047,0.083,0.016,0.036,0.059
"P06","7",0.045,0.208,0.043,0.261,0.075
"P06","8",0.029,0.106,0.054,0.12,0.036
"P06","9",0.05,0.218,0.08,0.296,0.048
"P07","1",0.125,0.475,0.07,0.368,0.2
"P07","2",0.021,0.097,0.034,0.13,0.036
"P07","3",0.022,0.111,0.029,0.057,0.011
"P07","4",0.037,0.067,0.024,0.058,0.058
"P07","5",0.204,0.119,0.103,0.175,0.212
"P07","6",0.084,0.012,0.032,0.021,0.049
"P07","7",0.146,0.032,0.128,0.059,0.12
"P07","8",0.103,0.026,0.144,0.034,0.117
"P07","9",0.258,0.061,0.436,0.098,0.197
"P08","1",0.277,0.742,0.179,0.809,0.344
"P08","2",0.032,0.048,0.033,0.027,0.029
"P08","3",0.049,0.037,0.051,0.057,0.023
"P08","4",0.034,0.014,0.013,0,0.034
"P08","5",0.153,0.063,0.188,0.031,0.094
"P08","6",0.045,0,0.054,0.007,0.019
"P08","7",0.053,0.002,0.075,0.033,0.061
"P08","8",0.061,0.014,0.05,0,0.043
"P08","9",0.296,0.08,0.357,0.036,0.353
"P10","Del Frente de Todos y el peronismo",0.042,0.886,0.027,0.237,0.056
"P10","De Cambiemos",0.852,0.042,0.215,0.064,0.624
"P10","De los Liberales libertarios",0.058,0.01,0.688,0.021,0.099
"P10","De la Izquierda",0.004,0.025,0,0.559,0.03
"P10","No sabe",0.044,0.037,0.07,0.119,0.191
"P11","A Alberto Fernández",0.316,0.104,0,0,0
"P11","A Sergio Massa",0.342,0.196,0.244,0.151,0.221
"P11","A algún candidato del peronismo",0.297,0.11,0.479,0.043,0.2
"P11","A algún candidato del kirchnerismo",0.045,0.59,0.277,0.806,0.579
"P12","A Alberto Fernández",0.178,0.049,0,0,0
"P12","A Sergio Massa",0.292,0.102,0,0.123,0.163
"P12","A algún candidato del peronismo",0.367,0.068,0.364,0,0.156
"P12","A Cristina Fernández de Kirchner",0.163,0.781,0.636,0.877,0.681
"P13","A Horacio Rodriguez Larreta",0.234,0.27,0.052,0,0.122
"P13","A Mauricio Macri",0.325,0.049,0.329,0,0.374
"P13","A Patricia Bullrich",0.386,0.077,0.587,0.759,0.443
"P13","A Facundo Manes",0.029,0.437,0.032,0.241,0.045
"P13","A Gerardo Morales",0.026,0.167,0,0,0.016
"P14","Del Frente de Todos y el peronismo",0.02,0.828,0.023,0.235,0.071
"P14","A Juntos por el Cambio",0.889,0.059,0.263,0.076,0.6
"P14","De los Liberales libertarios",0.053,0.022,0.643,0.009,0.067
"P14","De la Izquierda",0.01,0.059,0.004,0.616,0.057
"P14","No sabe",0.028,0.032,0.067,0.064,0.205
"P16","A Leandro Santoro",0.612,0.684,0.798,0.722,0.66
"P16","A Matias Lammens",0.388,0.13,0.202,0.02,0.34
"P16","A Mariano Recalde",0,0.186,0,0.258,0
"P17","A Soledad Acuña",0.045,0.045,0.041,0,0.044
"P17","A Jorge Macri",0.299,0.114,0.328,0.085,0.339
"P17","A Martín Lousteau",0.287,0.298,0.059,0.458,0.134
"P17","A Fernan Quirós",0.214,0.47,0.137,0.457,0.125
"P17","A Ricardo López Murphy",0.155,0.073,0.435,0,0.358
"P18","Lo votaría",0.384,0.07,0.053,0.041,0.16
"P18","Puede que lo vote",0.358,0.092,0.185,0.1,0.242
"P18","Nunca lo votaría",0.191,0.752,0.667,0.816,0.404
"P18","No sabe",0.067,0.086,0.095,0.043,0.194
"P19","Lo votaría",0.046,0.718,0.027,0.166,0.081
"P19","Puede que lo vote",0.117,0.143,0.062,0.32,0.181
"P19","Nunca lo votaría",0.728,0.106,0.846,0.451,0.604
"P19","No sabe",0.109,0.033,0.065,0.063,0.134
"P20","Lo votaría",0.15,0.065,0.043,0.039,0.057
"P20","Puede que lo vote",0.39,0.068,0.21,0.113,0.231
"P20","Nunca lo votaría",0.337,0.796,0.608,0.764,0.585
"P20","No sabe",0.123,0.071,0.139,0.084,0.127
"P21","Lo votaría",0.027,0.28,0.013,0.036,0.062
"P21","Puede que lo vote",0.08,0.452,0.053,0.178,0.12
"P21","Nunca lo votaría",0.8,0.202,0.807,0.611,0.735
"P21","No sabe",0.093,0.066,0.127,0.175,0.083
"P22","Lo votaría",0.394,0.053,0.115,0.048,0.209
"P22","Puede que lo vote",0.359,0.169,0.264,0.076,0.285
"P22","Nunca lo votaría",0.174,0.693,0.516,0.792,0.385
"P22","No sabe",0.073,0.085,0.105,0.084,0.121
"P23","Lo votaría",0.47,0.017,0.226,0.032,0.392
"P23","Puede que lo vote",0.324,0.039,0.336,0.019,0.218
"P23","Nunca lo votaría",0.152,0.924,0.352,0.94,0.327
"P23","No sabe",0.054,0.02,0.086,0.009,0.063
"P24","Lo votaría",0.414,0.012,0.116,0.049,0.226
"P24","Puede que lo vote",0.352,0.031,0.225,0.01,0.254
"P24","Nunca lo votaría",0.197,0.949,0.591,0.889,0.465
"P24","No sabe",0.037,0.008,0.068,0.052,0.055
"P25","Lo votaría",0.363,0.015,0.373,0.062,0.31
"P25","Puede que lo vote",0.357,0.038,0.328,0.005,0.271
"P25","Nunca lo votaría",0.22,0.935,0.22,0.847,0.366
"P25","No sabe",0.06,0.012,0.079,0.086,0.053
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.297,0.011,0.162,0.032,0.344
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.242,0.003,0.244,0.034,0.265
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.054,0.003,0.021,0.036,0.03
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.138,0.024,0.021,0,0.06
