"var","categoria","Del Frente de Todos y el peronismo","A Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Tengo trabajo estable",0.661,0.54,0.672,0.684,0.432
"P05","Realizo changas o trabajos de vez en cuando",0.109,0.105,0.126,0.129,0.256
"P05","No tengo trabajo",0.078,0.081,0.102,0.083,0.16
"P05","Soy jubilado o pensionado",0.152,0.274,0.1,0.104,0.152
"P06","1",0.141,0.352,0.424,0.133,0.255
"P06","2",0.055,0.078,0.1,0.033,0.035
"P06","3",0.022,0.097,0.113,0.013,0.02
"P06","4",0.045,0.107,0.063,0.019,0.057
"P06","5",0.141,0.203,0.107,0.091,0.339
"P06","6",0.09,0.039,0.02,0.07,0.062
"P06","7",0.198,0.045,0.043,0.135,0.055
"P06","8",0.106,0.02,0.027,0.151,0.052
"P06","9",0.202,0.059,0.103,0.355,0.125
"P07","1",0.466,0.138,0.138,0.43,0.241
"P07","2",0.09,0.031,0.048,0.056,0.047
"P07","3",0.104,0.019,0.044,0.062,0.03
"P07","4",0.067,0.041,0.026,0.034,0.054
"P07","5",0.119,0.193,0.09,0.155,0.315
"P07","6",0.023,0.077,0.046,0.025,0.067
"P07","7",0.038,0.132,0.112,0.061,0.042
"P07","8",0.019,0.096,0.123,0.064,0.047
"P07","9",0.074,0.273,0.373,0.113,0.157
"P08","1",0.739,0.303,0.173,0.73,0.413
"P08","2",0.038,0.04,0.045,0.052,0.04
"P08","3",0.027,0.039,0.055,0.033,0.033
"P08","4",0.012,0.034,0.049,0.01,0.039
"P08","5",0.056,0.128,0.149,0.087,0.106
"P08","6",0.006,0.044,0.031,0.005,0.021
"P08","7",0.012,0.055,0.045,0.018,0.031
"P08","8",0.008,0.048,0.058,0.002,0.01
"P08","9",0.102,0.309,0.395,0.063,0.307
"P10","Del Frente de Todos y el peronismo",0.852,0.055,0.039,0.322,0.069
"P10","De Cambiemos",0.068,0.819,0.115,0.058,0.095
"P10","De los Liberales libertarios",0.015,0.065,0.806,0.025,0.087
"P10","De la Izquierda",0.015,0.007,0.009,0.502,0.023
"P10","No sabe",0.05,0.054,0.031,0.093,0.726
"P18","Lo votaría",0.076,0.346,0.086,0.061,0.086
"P18","Puede que lo vote",0.131,0.308,0.203,0.152,0.185
"P18","Nunca lo votaría",0.712,0.255,0.61,0.636,0.369
"P18","No sabe",0.081,0.091,0.101,0.151,0.36
"P19","Lo votaría",0.657,0.066,0.051,0.209,0.076
"P19","Puede que lo vote",0.166,0.111,0.098,0.283,0.17
"P19","Nunca lo votaría",0.127,0.704,0.727,0.414,0.382
"P19","No sabe",0.05,0.119,0.124,0.094,0.372
"P20","Lo votaría",0.074,0.132,0.063,0.071,0.022
"P20","Puede que lo vote",0.057,0.363,0.144,0.092,0.102
