"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P68","Mala",0.031,0.073,0.04,0.124,0.133
"P68","Muy mala",0.074,0.807,0.115,0.804,0.171
"P68","No sabe",0.004,0.003,0.008,0,0.033
"P69","Muy buena",0.101,0.013,0.552,0.066,0.061
"P69","Buena",0.121,0.009,0.294,0.01,0.141
"P69","Ni buena ni mala",0.376,0.033,0.122,0.013,0.322
"P69","Mala",0.228,0.054,0.014,0.031,0.196
"P69","Muy mala",0.148,0.885,0.017,0.88,0.233
"P69","No sabe",0.026,0.006,0.001,0,0.047
"P70","Muy buena",0.083,0.033,0.092,0.014,0.121
"P70","Buena",0.169,0.093,0.113,0.056,0.182
"P70","Ni buena ni mala",0.394,0.349,0.375,0.179,0.254
"P70","Mala",0.19,0.173,0.17,0.155,0.191
"P70","Muy mala",0.136,0.322,0.206,0.52,0.17
"P70","No sabe",0.028,0.03,0.044,0.076,0.082
"P71","Siempre",0.345,0.29,0.28,0.312,0.32
"P71","Casi siempre",0.464,0.423,0.377,0.401,0.343
"P71","Casi nunca",0.138,0.194,0.226,0.155,0.229
"P71","Nunca, pero esta es una excepción",0.053,0.093,0.117,0.132,0.108
"P72","Si",0.6,0.559,0.589,0.632,0.514
"P72","No",0.4,0.441,0.411,0.368,0.486
