"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P22","Lo votaría",0.392,0.056,0.129,0.03,0.211
"P22","Puede que lo vote",0.372,0.16,0.272,0.111,0.278
"P22","Nunca lo votaría",0.155,0.702,0.492,0.74,0.368
"P22","No sabe",0.081,0.082,0.107,0.119,0.143
"P23","Lo votaría",0.505,0.015,0.227,0.023,0.317
"P23","Puede que lo vote",0.321,0.045,0.329,0.011,0.228
"P23","Nunca lo votaría",0.124,0.92,0.357,0.884,0.377
"P23","No sabe",0.05,0.02,0.087,0.082,0.078
"P24","Lo votaría",0.442,0.001,0.138,0,0.169
"P24","Puede que lo vote",0.355,0.033,0.216,0.033,0.287
"P24","Nunca lo votaría",0.168,0.954,0.565,0.92,0.476
"P24","No sabe",0.035,0.012,0.081,0.047,0.068
"P25","Lo votaría",0.397,0.01,0.387,0.034,0.219
"P25","Puede que lo vote",0.351,0.043,0.306,0.02,0.325
"P25","Nunca lo votaría",0.2,0.93,0.219,0.875,0.369
"P25","No sabe",0.052,0.017,0.088,0.071,0.087
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.31,0.01,0.165,0.017,0.305
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.27,0.002,0.233,0.024,0.21
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.062,0.011,0.018,0.009,0.01
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.135,0.018,0.038,0.013,0.044
