"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.53,0.656,0.699,0.764,0.553
"P05","Realizo changas o trabajos de vez en cuando",0.09,0.065,0.127,0.073,0.11
"P05","No tengo trabajo",0.066,0.087,0.057,0.092,0.079
"P05","Soy jubilado o pensionado",0.314,0.192,0.117,0.071,0.258
"P06","1",0.332,0.14,0.431,0.182,0.231
"P06","2",0.051,0.039,0.083,0.054,0.069
"P06","3",0.097,0.044,0.127,0.004,0.103
"P06","4",0.102,0.076,0.039,0.022,0.07
"P06","5",0.212,0.162,0.117,0.089,0.269
"P06","6",0.049,0.073,0.014,0.022,0.096
"P06","7",0.061,0.18,0.047,0.254,0.05
"P06","8",0.037,0.104,0.048,0.087,0.033
"P06","9",0.059,0.182,0.094,0.286,0.079
"P07","1",0.144,0.413,0.071,0.422,0.157
"P07","2",0.039,0.092,0.031,0.099,0.033
"P07","3",0.033,0.099,0.025,0.044,0.006
"P07","4",0.036,0.069,0.015,0.055,0.062
"P07","5",0.166,0.133,0.11,0.179,0.303
"P07","6",0.073,0.023,0.03,0.028,0.08
"P07","7",0.147,0.056,0.143,0.058,0.094
"P07","8",0.11,0.031,0.14,0.022,0.075
"P07","9",0.252,0.084,0.435,0.093,0.19
"P08","1",0.294,0.657,0.165,0.744,0.433
"P08","2",0.044,0.04,0.033,0.014,0.022
"P08","3",0.062,0.04,0.048,0.066,0.02
"P08","4",0.035,0.015,0.017,0,0.033
"P08","5",0.143,0.082,0.195,0.073,0.115
"P08","6",0.043,0.009,0.055,0.006,0.014
"P08","7",0.042,0.02,0.083,0.038,0.06
"P08","8",0.052,0.033,0.055,0.014,0.027
"P08","9",0.285,0.104,0.349,0.045,0.276
"P10","Del Frente de Todos y el peronismo",0.118,0.763,0.016,0.223,0.095
"P10","De Cambiemos",0.8,0.181,0.217,0.102,0.517
"P10","De los Liberales libertarios",0.043,0.02,0.705,0.022,0.097
"P10","De la Izquierda",0.003,0.007,0.002,0.546,0.035
"P10","No sabe",0.036,0.029,0.06,0.107,0.256
"P11","A Alberto Fernández",0.143,0.12,0,0.024,0.094
"P11","A Sergio Massa",0.192,0.212,0.284,0.068,0.314
"P11","A algún candidato del peronismo",0.128,0.108,0.593,0.061,0.263
"P11","A algún candidato del kirchnerismo",0.537,0.56,0.123,0.847,0.329
"P12","A Alberto Fernández",0.074,0.052,0,0.025,0.094
"P12","A Sergio Massa",0.126,0.107,0.284,0.043,0.28
"P12","A algún candidato del peronismo",0.215,0.059,0.471,0.061,0.129
"P12","A Cristina Fernández de Kirchner",0.585,0.782,0.245,0.871,0.497
"P13","A Horacio Rodriguez Larreta",0.209,0.291,0.053,0.158,0.176
"P13","A Mauricio Macri",0.332,0.335,0.312,0.116,0.256
"P13","A Patricia Bullrich",0.412,0.233,0.578,0.317,0.454
"P13","A Facundo Manes",0.029,0.102,0.057,0.132,0.099
"P13","A Gerardo Morales",0.018,0.039,0,0.277,0.015
"P14","Del Frente de Todos y el peronismo",0.102,0.71,0.013,0.216,0.061
"P14","A Juntos por el Cambio",0.842,0.183,0.266,0.117,0.519
"P14","De los Liberales libertarios",0.042,0.025,0.66,0,0.088
"P14","De la Izquierda",0.007,0.055,0.003,0.585,0.062
"P14","No sabe",0.007,0.027,0.058,0.082,0.27
"P16","A Leandro Santoro",0.637,0.686,0.549,0.813,0.749
"P16","A Matias Lammens",0.171,0.152,0.451,0.019,0.051
"P16","A Mariano Recalde",0.192,0.162,0,0.168,0.2
"P17","A Soledad Acuña",0.04,0.079,0.039,0,0.045
"P17","A Jorge Macri",0.329,0.233,0.262,0.041,0.2
"P17","A Martín Lousteau",0.234,0.28,0.096,0.541,0.372
"P17","A Fernan Quirós",0.216,0.307,0.19,0.219,0.131
"P17","A Ricardo López Murphy",0.181,0.101,0.413,0.199,0.252
"P18","Lo votaría",0.3,0.134,0.074,0.082,0.279
"P18","Puede que lo vote",0.353,0.124,0.194,0.093,0.22
"P18","Nunca lo votaría",0.267,0.671,0.634,0.787,0.31
"P18","No sabe",0.08,0.071,0.098,0.038,0.191
"P19","Lo votaría",0.095,0.638,0.023,0.184,0.096
"P19","Puede que lo vote",0.097,0.143,0.067,0.268,0.179
"P19","Nunca lo votaría",0.713,0.171,0.845,0.515,0.557
"P19","No sabe",0.095,0.048,0.065,0.033,0.168
"P20","Lo votaría",0.13,0.102,0.057,0.036,0.042
"P20","Puede que lo vote",0.411,0.101,0.194,0.152,0.151
"P20","Nunca lo votaría",0.349,0.727,0.609,0.759,0.637
"P20","No sabe",0.11,0.07,0.14,0.053,0.17
"P21","Lo votaría",0.038,0.267,0.014,0.044,0.051
