"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.222,0.195,0.245,0.149,0.216,0.216,0.274,0.269,0.212,0.218,0.06,0.327,0.184,6
"Buena",0.274,0.258,0.287,0.149,0.235,0.324,0.339,0.23,0.287,0.275,0.099,0.385,0.258,6
"Ni buena ni mala",0.16,0.213,0.116,0.213,0.153,0.18,0.125,0.248,0.148,0.148,0.132,0.138,0.327,6
"Mala",0.146,0.143,0.149,0.17,0.162,0.132,0.125,0.104,0.157,0.149,0.266,0.079,0.105,6
"Muy mala",0.189,0.182,0.194,0.298,0.23,0.144,0.119,0.149,0.184,0.201,0.439,0.061,0.126,6
"No sabe",0.009,0.009,0.009,0.021,0.004,0.004,0.018,0,0.012,0.009,0.004,0.01,0,6
"Positiva",0.496,0.453,0.532,0.298,0.451,0.54,0.613,0.499,0.499,0.493,0.159,0.712,0.442,4
"Neutra",0.16,0.213,0.116,0.213,0.153,0.18,0.125,0.248,0.148,0.148,0.132,0.138,0.327,4
"Negativa",0.335,0.325,0.343,0.468,0.392,0.276,0.244,0.253,0.341,0.35,0.705,0.14,0.231,4
"No sabe",0.009,0.009,0.009,0.021,0.004,0.004,0.018,0,0.012,0.009,0.004,0.01,0,4
