"var","categoria","A Soledad Acuña","A Jorge Macri","A Martín Lousteau","A Fernan Quirós","A Ricardo López Murphy"
"P05","Tengo trabajo estable",0.562,0.491,0.604,0.601,0.6
"P05","Realizo changas o trabajos de vez en cuando",0.136,0.095,0.105,0.078,0.11
"P05","No tengo trabajo",0.145,0.101,0.059,0.074,0.06
"P05","Soy jubilado o pensionado",0.157,0.313,0.232,0.247,0.23
"P06","1",0.437,0.439,0.264,0.32,0.375
"P06","2",0.075,0.069,0.084,0.051,0.113
"P06","3",0.102,0.092,0.103,0.102,0.124
"P06","4",0.15,0.068,0.089,0.136,0.117
"P06","5",0.115,0.177,0.268,0.214,0.152
"P06","6",0.012,0.035,0.065,0.043,0.023
"P06","7",0.019,0.045,0.049,0.057,0.033
"P06","8",0.012,0.021,0.017,0.014,0.03
"P06","9",0.078,0.054,0.061,0.063,0.033
"P07","1",0.14,0.133,0.138,0.155,0.088
"P07","2",0.038,0.02,0.039,0.022,0.023
"P07","3",0.023,0.023,0.008,0.019,0.027
"P07","4",0.043,0.036,0.032,0.055,0.04
"P07","5",0.124,0.161,0.27,0.246,0.108
"P07","6",0.026,0.068,0.117,0.045,0.086
"P07","7",0.158,0.133,0.127,0.121,0.158
"P07","8",0.071,0.083,0.061,0.117,0.17
"P07","9",0.377,0.343,0.208,0.22,0.3
"P08","1",0.24,0.237,0.396,0.312,0.239
"P08","2",0.062,0.027,0.048,0.025,0.046
"P08","3",0.008,0.046,0.049,0.028,0.055
"P08","4",0.009,0.026,0.036,0.037,0.035
"P08","5",0.168,0.118,0.125,0.157,0.162
"P08","6",0.009,0.038,0.038,0.035,0.061
"P08","7",0.02,0.052,0.051,0.057,0.074
"P08","8",0.066,0.038,0.048,0.054,0.062
"P08","9",0.418,0.418,0.209,0.295,0.266
"P13","A Horacio Rodriguez Larreta",0.233,0.132,0.34,0.417,0.164
"P13","A Mauricio Macri",0.328,0.403,0.236,0.223,0.423
"P13","A Patricia Bullrich",0.415,0.449,0.301,0.301,0.402
"P13","A Facundo Manes",0.017,0.001,0.07,0.024,0.009
