"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.052,0.057,0.049,0.089,0.053,0.049,0.037,0.106,0.035,0.051,0.112,0.023,0.039,6
"Buena",0.141,0.11,0.167,0.067,0.169,0.124,0.15,0.079,0.168,0.138,0.416,0.025,0.045,6
"Ni buena ni mala",0.116,0.13,0.104,0.178,0.13,0.103,0.078,0.163,0.106,0.112,0.252,0.044,0.136,6
"Mala",0.124,0.13,0.119,0.155,0.106,0.121,0.142,0.151,0.127,0.117,0.095,0.112,0.389,6
"Muy mala",0.545,0.554,0.537,0.511,0.52,0.58,0.563,0.456,0.544,0.565,0.1,0.775,0.391,6
"No sabe",0.022,0.019,0.024,0,0.022,0.023,0.03,0.045,0.02,0.017,0.025,0.021,0,6
"Positiva",0.193,0.167,0.216,0.156,0.222,0.173,0.187,0.185,0.203,0.189,0.528,0.048,0.084,4
"Neutra",0.116,0.13,0.104,0.178,0.13,0.103,0.078,0.163,0.106,0.112,0.252,0.044,0.136,4
"Negativa",0.669,0.684,0.656,0.666,0.626,0.701,0.705,0.607,0.671,0.682,0.195,0.887,0.78,4
"No sabe",0.022,0.019,0.024,0,0.022,0.023,0.03,0.045,0.02,0.017,0.025,0.021,0,4
