"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.056,0.146,0.245,0.17
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.059,0.169,0.297,0.09
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.019,0.024,0.031,0.021
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.023,0.077,0.094,0.061
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.024,0.137,0.115,0.146
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.573,0.159,0.045,0.152
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.173,0.069,0.039,0.051
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.012,0.122,0.109,0.274
"P27","A los candidatos de la izquierda",0.061,0.097,0.025,0.035
"P27","No sabe",0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.077,0.186,0.321,0.176
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.018,0.084,0.073,0.041
"P28","A Martín Lousteau como Jefe de Gobierno",0.048,0.176,0.183,0.211
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.036,0.075,0.192,0.033
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.648,0.211,0.049,0.157
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.098,0.049,0.02,0.068
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.116,0.11,0.188
"P28","A los candidatos de izquierda",0.015,0.084,0.03,0.114
"P28","No sabe",0.031,0.019,0.022,0.012
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.076,0.184,0.306,0.16
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.031,0.146,0.106,0.057
"P29","A Martín Lousteau como Jefe de Gobierno",0.055,0.111,0.176,0.179
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.179,0.074,0.136,0.067
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.5,0.159,0.039,0.142
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.082,0.087,0.075,0.065
