"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P11","A Alberto Fernández",0.233,0.095,0.07,0.265,0
"P11","A Sergio Massa",0.364,0.199,0.28,0.031,0.226
"P11","A algún candidato del peronismo",0.382,0.113,0.322,0,0.419
"P11","A algún candidato del kirchnerismo",0.021,0.593,0.328,0.704,0.355
"P12","A Alberto Fernández",0.184,0.045,0.139,0.024,0
"P12","A Sergio Massa",0.345,0.101,0.141,0,0.137
"P12","A algún candidato del peronismo",0.45,0.07,0.322,0,0.419
"P12","A Cristina Fernández de Kirchner",0.021,0.784,0.398,0.976,0.444
"P13","A Horacio Rodriguez Larreta",0.231,0.216,0.023,0.393,0.106
"P13","A Mauricio Macri",0.326,0.065,0.339,0.125,0.399
"P13","A Patricia Bullrich",0.383,0.131,0.62,0.352,0.465
"P13","A Facundo Manes",0.029,0.588,0.018,0.085,0.01
"P13","A Gerardo Morales",0.031,0,0,0.045,0.02
"P14","Del Frente de Todos y el peronismo",0.023,0.828,0.016,0.195,0.046
"P14","A Juntos por el Cambio",0.898,0.045,0.289,0.106,0.621
"P14","De los Liberales libertarios",0.053,0.021,0.624,0.009,0.065
"P14","De la Izquierda",0.004,0.073,0.009,0.61,0.03
"P14","No sabe",0.022,0.033,0.062,0.08,0.238
"P16","A Leandro Santoro",0.466,0.693,0.592,0.846,0.405
"P16","A Matias Lammens",0.341,0.124,0.408,0,0.538
"P16","A Mariano Recalde",0.193,0.183,0,0.154,0.057
"P17","A Soledad Acuña",0.045,0.066,0.015,0.335,0.034
"P17","A Jorge Macri",0.29,0.128,0.353,0.059,0.331
"P17","A Martín Lousteau",0.283,0.363,0.047,0.309,0.153
"P17","A Fernan Quirós",0.219,0.311,0.169,0.173,0.17
"P17","A Ricardo López Murphy",0.163,0.132,0.416,0.124,0.312
"P18","Lo votaría",0.371,0.071,0.066,0.075,0.211
"P18","Puede que lo vote",0.366,0.101,0.188,0.052,0.221
"P18","Nunca lo votaría",0.194,0.751,0.653,0.783,0.381
"P18","No sabe",0.069,0.077,0.093,0.09,0.187
"P19","Lo votaría",0.042,0.737,0.017,0.172,0.05
"P19","Puede que lo vote",0.124,0.14,0.072,0.306,0.104
"P19","Nunca lo votaría",0.723,0.095,0.847,0.41,0.7
"P19","No sabe",0.111,0.028,0.064,0.112,0.146
"P20","Lo votaría",0.147,0.061,0.052,0.077,0.052
"P20","Puede que lo vote",0.389,0.052,0.233,0.097,0.277
"P20","Nunca lo votaría",0.343,0.819,0.58,0.699,0.537
"P20","No sabe",0.121,0.068,0.135,0.127,0.134
"P21","Lo votaría",0.023,0.286,0.011,0.079,0.065
"P21","Puede que lo vote",0.088,0.445,0.061,0.191,0.056
