"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P69","Mala",0.222,0.058,0.019,0.071,0.218
"P69","Muy mala",0.141,0.882,0.024,0.745,0.27
"P69","No sabe",0.025,0.006,0.001,0,0.067
"P70","Muy buena",0.081,0.031,0.089,0.086,0.128
"P70","Buena",0.194,0.093,0.107,0.07,0.086
"P70","Ni buena ni mala",0.402,0.355,0.339,0.187,0.249
"P70","Mala",0.187,0.172,0.187,0.169,0.164
"P70","Muy mala",0.111,0.32,0.228,0.402,0.279
"P70","No sabe",0.025,0.029,0.05,0.086,0.094
"P71","Siempre",0.329,0.303,0.318,0.308,0.256
"P71","Casi siempre",0.458,0.424,0.371,0.369,0.383
"P71","Casi nunca",0.155,0.184,0.206,0.118,0.268
"P71","Nunca, pero esta es una excepción",0.058,0.089,0.105,0.205,0.093
"P72","Si",0.574,0.563,0.641,0.552,0.519
"P72","No",0.426,0.437,0.359,0.448,0.481
