"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P25","Lo votaría",0.4,0.432,0.298,0.107,0.061,0.228
"P25","Puede que lo vote",0.381,0.339,0.235,0.12,0.03,0.221
"P25","Nunca lo votaría",0.178,0.184,0.388,0.746,0.884,0.295
"P25","No sabe",0.041,0.045,0.079,0.027,0.025,0.256
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.469,0.281,0.053,0.009,0,0.162
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.21,0.308,0.266,0.081,0.029,0.027
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.059,0.046,0.028,0.006,0.009,0
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.106,0.122,0.092,0.053,0.009,0.084
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.087,0.126,0.183,0.07,0.019,0.093
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.03,0.024,0.108,0.412,0.582,0.32
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.026,0.077,0.139,0.188,0.103
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.028,0.067,0.189,0.149,0.074,0.194
"P26","A los candidatos de la izquierda",0,0,0.004,0.081,0.09,0.017
"P26","No sabe",0,0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.484,0.277,0.042,0.002,0.002,0.094
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.233,0.333,0.267,0.098,0.029,0.094
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.044,0.045,0.02,0.002,0.012,0
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.09,0.118,0.085,0.053,0.011,0.06
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.09,0.118,0.184,0.065,0.012,0.093
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.027,0.024,0.111,0.385,0.561,0.36
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.017,0.076,0.14,0.177,0.078
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.025,0.068,0.196,0.15,0.061,0.194
"P27","A los candidatos de la izquierda",0,0,0.019,0.105,0.135,0.027
"P27","No sabe",0,0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.567,0.332,0.131,0.016,0.003,0.063
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.085,0.089,0.06,0.012,0.021,0.098
"P28","A Martín Lousteau como Jefe de Gobierno",0.124,0.245,0.226,0.096,0.033,0.264
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.144,0.206,0.157,0.068,0.025,0.117
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.031,0.015,0.141,0.439,0.646,0.188
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.014,0.037,0.096,0.098,0.058
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.026,0.07,0.175,0.134,0.076,0.174
"P28","A los candidatos de izquierda",0.012,0.012,0.045,0.1,0.061,0.021
"P28","No sabe",0.003,0.017,0.028,0.039,0.037,0.017
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.5,0.344,0.148,0.007,0.004,0.137
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.132,0.117,0.097,0.041,0.022,0.204
"P29","A Martín Lousteau como Jefe de Gobierno",0.123,0.219,0.202,0.098,0.023,0.16
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.078,0.133,0.128,0.13,0.202,0.098
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.037,0.118,0.368,0.467,0.165
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.108,0.057,0.056,0.101,0.08,0
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.029,0.071,0.184,0.135,0.073,0.188
"P29","A los candidatos de izquierda",0.01,0.014,0.043,0.094,0.053,0.031
"P29","No sabe",0.012,0.008,0.024,0.026,0.076,0.017
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.248,0.147,0.085,0.022,0.009,0
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.514,0.504,0.263,0.084,0.018,0.156
"P30","A Martín Lousteau como Jefe de Gobierno",0.114,0.206,0.196,0.078,0.041,0.193
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.038,0.034,0.136,0.445,0.589,0.285
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0,0.047,0.115,0.14,0.053
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.05,0.058,0.203,0.109,0.074,0.153
"P30","A los candidatos de la izquierda",0.006,0.017,0.021,0.097,0.096,0
"P30","No sabe",0.017,0.034,0.049,0.05,0.033,0.16
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.234,0.142,0.077,0.021,0.017,0.07
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.579,0.531,0.262,0.093,0.034,0.178
"P31","A Martín Lousteau como Jefe de Gobierno",0.081,0.196,0.191,0.075,0.023,0.083
