"var","categoria","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.532,0.659,0.686,0.755,0.581
"P05","Realizo changas o trabajos de vez en cuando",0.093,0.068,0.133,0.06,0.091
"P05","No tengo trabajo",0.068,0.082,0.073,0.117,0.056
"P05","Soy jubilado o pensionado",0.307,0.191,0.108,0.068,0.272
"P06","1",0.337,0.129,0.416,0.223,0.224
"P06","2",0.053,0.047,0.095,0,0.041
"P06","3",0.105,0.03,0.129,0.013,0.12
"P06","4",0.103,0.06,0.05,0.02,0.084
"P06","5",0.215,0.16,0.118,0.116,0.269
"P06","6",0.044,0.074,0.011,0.006,0.115
"P06","7",0.049,0.201,0.05,0.222,0.046
"P06","8",0.04,0.102,0.045,0.07,0.03
"P06","9",0.054,0.197,0.086,0.33,0.071
"P07","1",0.119,0.47,0.072,0.411,0.122
"P07","2",0.047,0.087,0.027,0.05,0.034
"P07","3",0.026,0.093,0.027,0.048,0.045
"P07","4",0.039,0.067,0.023,0.066,0.02
"P07","5",0.174,0.135,0.12,0.201,0.295
"P07","6",0.082,0.024,0.023,0.016,0.087
"P07","7",0.154,0.037,0.129,0.108,0.115
"P07","8",0.104,0.02,0.15,0,0.088
"P07","9",0.255,0.067,0.429,0.1,0.194
"P08","1",0.263,0.728,0.166,0.826,0.376
"P08","2",0.035,0.051,0.031,0.02,0.028
"P08","3",0.062,0.037,0.042,0.042,0.052
"P08","4",0.033,0.013,0.015,0.006,0.036
"P08","5",0.155,0.074,0.185,0.044,0.116
"P08","6",0.047,0.005,0.055,0.009,0.01
"P08","7",0.051,0.009,0.08,0.04,0.071
"P08","8",0.063,0.008,0.067,0,0.039
"P08","9",0.291,0.075,0.359,0.013,0.272
"P10","Del Frente de Todos y el peronismo",0.098,0.814,0.023,0.105,0.072
"P10","De Cambiemos",0.808,0.116,0.231,0.09,0.603
"P10","De los Liberales libertarios",0.051,0.013,0.688,0.051,0.088
"P10","De la Izquierda",0.007,0.007,0,0.645,0.022
