"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P12","A Sergio Massa",0.251,0.212,0.382,0.08,0.158,0.053,0.084,0.158
"P12","A algún candidato del peronismo",0.151,0.734,0.217,0.061,0.126,0.109,0.108,0.066
"P12","A Cristina Fernández de Kirchner",0.221,0.028,0.29,0.816,0.633,0.67,0.808,0.712
"P13","A Horacio Rodriguez Larreta",0.366,0.06,0.345,0.315,0.36,0.437,0,0.238
"P13","A Mauricio Macri",0.373,0.38,0.21,0.124,0.088,0.199,0.716,0.366
"P13","A Patricia Bullrich",0.216,0.545,0.288,0.133,0.213,0.334,0,0.37
"P13","A Facundo Manes",0.017,0.006,0.085,0.395,0.339,0.03,0.284,0.026
"P13","A Gerardo Morales",0.028,0.009,0.072,0.033,0,0,0,0
"P14","Del Frente de Todos y el peronismo",0.053,0.014,0.05,0.793,0.792,0.069,0.143,0.198
"P14","A Juntos por el Cambio",0.856,0.825,0.747,0.066,0.057,0.187,0.02,0.227
"P14","De los Liberales libertarios",0.042,0.122,0.097,0.022,0.025,0.64,0.29,0.383
"P14","De la Izquierda",0.009,0.003,0.026,0.081,0.067,0.004,0.45,0.117
"P14","No sabe",0.04,0.036,0.08,0.038,0.059,0.1,0.097,0.075
"P16","A Leandro Santoro",0.378,0.422,0.723,0.752,0.39,0.774,0.596,0.559
"P16","A Matias Lammens",0.542,0.578,0.243,0.055,0.399,0.191,0.153,0.237
"P16","A Mariano Recalde",0.08,0,0.034,0.193,0.211,0.035,0.251,0.204
"P17","A Soledad Acuña",0.038,0.045,0.016,0.038,0,0.102,0.137,0.109
"P17","A Jorge Macri",0.41,0.348,0.128,0.142,0.298,0.229,0,0.258
"P17","A Martín Lousteau",0.187,0.113,0.629,0.255,0.204,0.194,0.322,0.187
"P17","A Fernan Quirós",0.294,0.152,0.185,0.406,0.373,0.268,0.218,0.319
"P17","A Ricardo López Murphy",0.071,0.342,0.042,0.159,0.125,0.207,0.323,0.127
"P18","Lo votaría",0.329,0.173,0.631,0.066,0.057,0.095,0.085,0.096
"P18","Puede que lo vote",0.347,0.347,0.234,0.095,0.172,0.148,0.086,0.209
"P18","Nunca lo votaría",0.219,0.391,0.082,0.751,0.649,0.636,0.712,0.598
"P18","No sabe",0.105,0.089,0.053,0.088,0.122,0.121,0.117,0.097
"P19","Lo votaría",0.08,0.03,0.077,0.736,0.502,0.061,0.142,0.14
"P19","Puede que lo vote",0.117,0.068,0.134,0.127,0.301,0.104,0.241,0.135
"P19","Nunca lo votaría",0.651,0.825,0.653,0.098,0.143,0.735,0.556,0.618
"P19","No sabe",0.152,0.077,0.136,0.039,0.054,0.1,0.061,0.107
"P20","Lo votaría",0.152,0.121,0.114,0.06,0.037,0.053,0.062,0.058
"P20","Puede que lo vote",0.345,0.403,0.262,0.075,0.064,0.158,0.063,0.18
"P20","Nunca lo votaría",0.334,0.367,0.49,0.791,0.819,0.622,0.746,0.67
"P20","No sabe",0.169,0.109,0.134,0.074,0.08,0.167,0.129,0.092
"P21","Lo votaría",0.047,0.014,0.05,0.22,0.397,0.03,0.086,0.041
"P21","Puede que lo vote",0.073,0.071,0.117,0.473,0.364,0.095,0.15,0.193
"P21","Nunca lo votaría",0.758,0.831,0.744,0.231,0.173,0.739,0.563,0.621
"P21","No sabe",0.122,0.084,0.089,0.076,0.066,0.136,0.201,0.145
"P22","Lo votaría",0.414,0.308,0.301,0.062,0.06,0.1,0.061,0.123
"P22","Puede que lo vote",0.304,0.407,0.362,0.162,0.146,0.164,0.141,0.199
"P22","Nunca lo votaría",0.188,0.202,0.247,0.68,0.681,0.608,0.614,0.599
"P22","No sabe",0.094,0.083,0.09,0.096,0.113,0.128,0.184,0.079
"P23","Lo votaría",0.557,0.52,0.249,0.026,0.04,0.119,0.048,0.141
"P23","Puede que lo vote",0.298,0.34,0.3,0.046,0.035,0.261,0.114,0.184
"P23","Nunca lo votaría",0.109,0.109,0.364,0.907,0.884,0.528,0.699,0.595
"P23","No sabe",0.036,0.031,0.087,0.021,0.041,0.092,0.139,0.08
"P24","Lo votaría",0.427,0.354,0.325,0.014,0.02,0.103,0.065,0.105
"P24","Puede que lo vote",0.362,0.331,0.318,0.037,0.016,0.162,0.05,0.205
"P24","Nunca lo votaría",0.167,0.266,0.32,0.935,0.941,0.635,0.793,0.63
"P24","No sabe",0.044,0.049,0.037,0.014,0.023,0.1,0.092,0.06
"P25","Lo votaría",0.225,0.559,0.2,0.017,0.006,0.195,0.064,0.173
"P25","Puede que lo vote",0.375,0.309,0.339,0.05,0.045,0.352,0.102,0.198
"P25","Nunca lo votaría",0.302,0.098,0.381,0.911,0.906,0.349,0.748,0.551
"P25","No sabe",0.098,0.034,0.08,0.022,0.043,0.104,0.086,0.078
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.257,0.384,0.195,0.008,0.034,0.099,0.015,0.14
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.089,0.472,0.119,0.01,0.009,0.069,0.038,0.031
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.113,0.029,0.049,0.005,0.015,0.011,0.016,0.015
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.214,0.046,0.102,0.032,0.025,0.034,0.009,0.051
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.275,0.045,0.428,0.012,0.02,0.045,0.036,0.045
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.005,0.049,0.699,0.442,0.053,0.034,0.184
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.037,0.003,0.015,0.227,0.44,0.024,0.076,0.066
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.007,0.016,0.035,0.001,0.004,0.663,0.275,0.369
"P26","A los candidatos de la izquierda",0.002,0,0.008,0.006,0.011,0.002,0.501,0.099
"P26","No sabe",0,0,0,0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.314,0.366,0.196,0.005,0.04,0.1,0.005,0.148
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.097,0.502,0.127,0.015,0.007,0.075,0.041,0.031
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.085,0.022,0.043,0.007,0.005,0.015,0.011,0.026
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.196,0.051,0.101,0.033,0.014,0.018,0.017,0.086
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.252,0.045,0.415,0.013,0.022,0.049,0.035,0.035
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.003,0.04,0.675,0.385,0.029,0.087,0.101
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.034,0.003,0.021,0.203,0.445,0.038,0.054,0.033
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.008,0.043,0.002,0.008,0.664,0.242,0.395
"P27","A los candidatos de la izquierda",0,0,0.014,0.047,0.074,0.012,0.508,0.145
"P27","No sabe",0,0,0,0,0,0,0,0
