"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P53","Mala",0.254,0.275,0.275,0.019,0.098,0.282,0.239,0.135
"P53","Muy mala",0.234,0.407,0.239,0.093,0.091,0.3,0.344,0.341
"P53","No sabe",0.057,0.035,0.067,0.018,0.041,0.038,0.043,0.048
"P54","Muy buena",0.474,0.274,0.279,0.075,0.079,0.09,0.074,0.122
"P54","Buena",0.265,0.351,0.289,0.017,0.022,0.202,0.024,0.197
"P54","Ni buena ni mala",0.153,0.201,0.178,0.03,0.006,0.229,0.206,0.183
"P54","Mala",0.074,0.105,0.144,0.139,0.164,0.185,0.113,0.116
"P54","Muy mala",0.034,0.068,0.11,0.731,0.676,0.294,0.583,0.354
"P54","No sabe",0,0.001,0,0.008,0.053,0,0,0.028
"P55","Muy buena",0.326,0.244,0.122,0.015,0.048,0.063,0.116,0.118
"P55","Buena",0.341,0.364,0.267,0.02,0.022,0.143,0.054,0.151
"P55","Ni buena ni mala",0.19,0.275,0.378,0.058,0.036,0.313,0.119,0.175
"P55","Mala",0.059,0.068,0.078,0.115,0.153,0.213,0.107,0.177
"P55","Muy mala",0.034,0.028,0.11,0.775,0.675,0.155,0.508,0.205
"P55","No sabe",0.05,0.021,0.045,0.017,0.066,0.113,0.096,0.174
"P56","Muy buena",0.356,0.153,0.543,0.029,0.037,0.045,0.058,0.038
"P56","Buena",0.304,0.278,0.265,0.049,0.05,0.112,0.022,0.19
"P56","Ni buena ni mala",0.191,0.284,0.103,0.153,0.063,0.28,0.262,0.314
"P56","Mala",0.091,0.182,0.033,0.297,0.387,0.237,0.281,0.197
"P56","Muy mala",0.045,0.098,0.051,0.468,0.41,0.296,0.339,0.191
"P56","No sabe",0.013,0.005,0.005,0.004,0.053,0.03,0.038,0.07
"P57","Muy buena",0.081,0.018,0.095,0.162,0.361,0.035,0.142,0.067
"P57","Buena",0.057,0.044,0.11,0.381,0.317,0.023,0.037,0.108
"P57","Ni buena ni mala",0.251,0.161,0.258,0.265,0.124,0.197,0.195,0.219
"P57","Mala",0.28,0.296,0.248,0.05,0.049,0.294,0.285,0.258
"P57","Muy mala",0.264,0.458,0.241,0.129,0.095,0.374,0.226,0.309
"P57","No sabe",0.067,0.023,0.048,0.013,0.054,0.077,0.115,0.039
"P58","Muy buena",0.367,0.63,0.198,0.017,0.053,0.222,0.102,0.108
"P58","Buena",0.287,0.213,0.292,0.035,0.051,0.306,0.029,0.117
"P58","Ni buena ni mala",0.228,0.099,0.315,0.073,0.127,0.228,0.231,0.402
"P58","Mala",0.041,0.024,0.098,0.118,0.155,0.078,0.094,0.091
"P58","Muy mala",0.05,0.031,0.079,0.755,0.56,0.139,0.544,0.21
"P58","No sabe",0.027,0.003,0.018,0.002,0.054,0.027,0,0.072
"P59","Muy buena",0.665,0.555,0.447,0.053,0.088,0.176,0.085,0.311
"P59","Buena",0.207,0.27,0.216,0.119,0.18,0.156,0.061,0.08
"P59","Ni buena ni mala",0.089,0.145,0.194,0.275,0.289,0.37,0.212,0.219
"P59","Mala",0.004,0.015,0.073,0.179,0.165,0.128,0.179,0.2
"P59","Muy mala",0,0.012,0.03,0.355,0.207,0.118,0.401,0.128
"P59","No sabe",0.035,0.003,0.04,0.019,0.071,0.052,0.062,0.062
"P60","Muy buena",0.106,0.045,0.032,0.346,0.318,0.034,0.101,0.054
"P60","Buena",0.036,0.029,0.041,0.326,0.281,0.043,0.082,0.13
"P60","Ni buena ni mala",0.205,0.09,0.186,0.125,0.17,0.221,0.311,0.266
"P60","Mala",0.26,0.233,0.286,0.043,0.058,0.181,0.119,0.208
"P60","Muy mala",0.335,0.568,0.381,0.105,0.113,0.395,0.272,0.187
"P60","No sabe",0.058,0.035,0.074,0.055,0.06,0.126,0.115,0.155
"P61","Muy buena",0.038,0.003,0.008,0.162,0.216,0.023,0.127,0.06
"P61","Buena",0.033,0.006,0.017,0.128,0.157,0,0.082,0.039
"P61","Ni buena ni mala",0.204,0.13,0.245,0.312,0.342,0.198,0.255,0.289
"P61","Mala",0.189,0.163,0.154,0.033,0.014,0.164,0.151,0.088
"P61","Muy mala",0.257,0.366,0.282,0.09,0.067,0.37,0.188,0.141
"P61","No sabe",0.279,0.332,0.294,0.275,0.204,0.245,0.197,0.383
"P62","Muy buena",0.019,0.005,0.004,0.149,0.103,0.017,0.134,0.022
"P62","Buena",0.035,0.004,0.039,0.459,0.332,0.017,0.046,0.08
"P62","Ni buena ni mala",0.048,0.019,0.047,0.25,0.396,0.084,0.109,0.161
"P62","Mala",0.155,0.093,0.179,0.071,0.09,0.132,0.371,0.164
"P62","Muy mala",0.715,0.861,0.711,0.051,0.036,0.726,0.34,0.537
"P62","No sabe",0.028,0.018,0.02,0.02,0.043,0.024,0,0.036
"P63","Muy buena",0.029,0.005,0.004,0.117,0.126,0.025,0.107,0.017
"P63","Buena",0.026,0,0.029,0.43,0.337,0.022,0.054,0.069
"P63","Ni buena ni mala",0.039,0.003,0.05,0.297,0.316,0.036,0.161,0.123
"P63","Mala",0.163,0.078,0.163,0.087,0.188,0.197,0.264,0.183
"P63","Muy mala",0.743,0.913,0.749,0.063,0.022,0.712,0.414,0.568
"P63","No sabe",0,0.001,0.005,0.006,0.011,0.008,0,0.04
"P64","Muy buena",0.026,0.004,0.024,0.745,0.606,0.036,0.205,0.167
"P64","Buena",0,0,0.032,0.138,0.185,0.045,0.14,0.07
"P64","Ni buena ni mala",0.019,0.009,0.016,0.059,0.101,0.003,0.087,0.041
"P64","Mala",0.105,0.052,0.113,0.01,0.023,0.112,0.223,0.1
"P64","Muy mala",0.85,0.933,0.807,0.046,0.085,0.796,0.333,0.593
"P64","No sabe",0,0.002,0.008,0.002,0,0.008,0.012,0.029
"P65","Muy buena",0.446,0.484,0.203,0.09,0.114,0.068,0.098,0.134
"P65","Buena",0.249,0.279,0.24,0.02,0.042,0.194,0.098,0.231
"P65","Ni buena ni mala",0.104,0.121,0.227,0.016,0.033,0.253,0.07,0.113
"P65","Mala",0.061,0.048,0.138,0.077,0.096,0.201,0.077,0.243
"P65","Muy mala",0.14,0.067,0.192,0.796,0.715,0.284,0.657,0.25
"P65","No sabe",0,0.001,0,0.001,0,0,0,0.029
"P66","Muy buena",0.494,0.142,0.241,0.046,0.042,0.037,0.106,0.144
"P66","Buena",0.324,0.373,0.368,0.025,0.024,0.126,0.04,0.187
"P66","Ni buena ni mala",0.088,0.225,0.206,0.065,0.102,0.256,0.077,0.115
"P66","Mala",0.018,0.146,0.093,0.156,0.183,0.243,0.124,0.255
"P66","Muy mala",0.07,0.113,0.092,0.708,0.649,0.338,0.653,0.27
"P66","No sabe",0.006,0.001,0,0,0,0,0,0.029
"P67","Muy buena",0.042,0.009,0.028,0.136,0.204,0.026,0.11,0.057
"P67","Buena",0.037,0.026,0.099,0.436,0.391,0.067,0.113,0.075
"P67","Ni buena ni mala",0.122,0.045,0.123,0.219,0.278,0.042,0.148,0.129
"P67","Mala",0.269,0.133,0.271,0.064,0.041,0.313,0.3,0.193
"P67","Muy mala",0.518,0.785,0.469,0.141,0.07,0.525,0.329,0.517
"P67","No sabe",0.012,0.002,0.01,0.004,0.016,0.027,0,0.029
"P68","Muy buena",0.446,0.734,0.372,0.041,0.064,0.236,0.118,0.292
"P68","Buena",0.223,0.163,0.241,0.068,0.015,0.338,0.126,0.165
"P68","Ni buena ni mala",0.161,0.011,0.174,0.032,0.059,0.157,0.068,0.149
"P68","Mala",0.074,0.013,0.066,0.089,0.058,0.081,0.077,0.059
"P68","Muy mala",0.096,0.078,0.137,0.766,0.804,0.159,0.611,0.283
"P68","No sabe",0,0.001,0.01,0.004,0,0.029,0,0.052
"P69","Muy buena",0.09,0.148,0.127,0.014,0.069,0.636,0.236,0.204
"P69","Buena",0.157,0.213,0.125,0.013,0,0.187,0.006,0.079
"P69","Ni buena ni mala",0.354,0.34,0.32,0.039,0.022,0.084,0.093,0.222
"P69","Mala",0.202,0.168,0.205,0.07,0.051,0.033,0,0.173
"P69","Muy mala",0.177,0.114,0.188,0.861,0.794,0.055,0.665,0.322
"P69","No sabe",0.02,0.017,0.035,0.003,0.064,0.005,0,0
"P70","Muy buena",0.119,0.035,0.16,0.038,0.041,0.089,0.108,0.072
"P70","Buena",0.166,0.128,0.255,0.103,0.056,0.098,0.043,0.168
"P70","Ni buena ni mala",0.438,0.34,0.389,0.344,0.376,0.35,0.184,0.366
"P70","Mala",0.146,0.254,0.09,0.157,0.219,0.2,0.092,0.152
"P70","Muy mala",0.098,0.225,0.072,0.334,0.233,0.222,0.396,0.141
"P70","No sabe",0.033,0.018,0.034,0.024,0.075,0.041,0.177,0.101
"P71","Siempre",0.438,0.35,0.25,0.293,0.22,0.254,0.353,0.268
"P71","Casi siempre",0.409,0.421,0.445,0.401,0.586,0.371,0.334,0.463
"P71","Casi nunca",0.117,0.16,0.207,0.209,0.119,0.263,0.174,0.144
"P71","Nunca, pero esta es una excepción",0.036,0.069,0.098,0.097,0.075,0.112,0.139,0.125
"P72","Si",0.615,0.631,0.545,0.53,0.56,0.576,0.585,0.518
"P72","No",0.385,0.369,0.455,0.47,0.44,0.424,0.415,0.482
