"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.352,0.371,0.333,0.38,0.349,0.301,0.388,0.455,0.348,0.27,0.816,0.692,0.189,0.374,0.257,0.358,0.46,0.156,0.356,0.297,0.558,0.377,0.33,0.349,0.362,0.372,0.315,0.328
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.384,0.353,0.413,0.368,0.33,0.42,0.468,0.275,0.35,0.511,0.136,0.17,0.754,0.549,0.32,0.285,0.204,0.689,0.484,0.352,0.222,0.36,0.404,0.433,0.385,0.393,0.242,0.23
"En blanco",0.129,0.155,0.105,0.184,0.159,0.08,0.07,0.137,0.146,0.105,0.015,0.047,0.053,0.053,0.247,0.102,0.142,0.091,0.096,0.275,0.102,0.149,0.113,0.093,0.115,0.174,0.167,0.222
"No sabe",0.135,0.121,0.149,0.068,0.162,0.199,0.074,0.133,0.156,0.114,0.033,0.091,0.004,0.024,0.176,0.255,0.194,0.064,0.064,0.076,0.118,0.114,0.153,0.125,0.138,0.061,0.276,0.22
