"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Juntos Avancemos",0.302,0.281,0.322,0.174,0.249,0.401,0.429,0.289,0.31,0.305,0.152,0.095,0.817,0.586,0.096,0.192,0.161,0.495,0.542,0.337,0.144,0.299,0.305,0.315,0.35,0.369,0.174,0.146
"Unidos para Cambiar cordoba",0.153,0.157,0.149,0.213,0.13,0.155,0.132,0.145,0.141,0.173,0.56,0.59,0.04,0.176,0.081,0.137,0.256,0.075,0.111,0.036,0.089,0.138,0.166,0.163,0.146,0.127,0.082,0.164
"De los liberales libertarios",0.265,0.328,0.207,0.327,0.342,0.15,0.18,0.232,0.241,0.319,0.151,0.127,0.076,0.118,0.639,0.086,0.197,0.325,0.2,0.526,0.535,0.253,0.275,0.246,0.278,0.303,0.353,0.259
"Hacemos por nuestro país",0.097,0.096,0.099,0.052,0.104,0.127,0.097,0.095,0.1,0.097,0.097,0.08,0.033,0.041,0.041,0.25,0.16,0.048,0.061,0.02,0.03,0.113,0.085,0.118,0.079,0.061,0.186,0.086
"De la Izquierda",0.033,0.032,0.033,0.037,0.048,0.019,0.014,0.061,0.024,0.019,0.017,0.038,0.011,0,0.048,0.016,0.026,0.025,0.034,0,0.132,0.022,0.042,0.03,0.034,0.03,0.048,0.041
"En blanco",0.031,0.033,0.028,0.07,0.017,0.033,0.014,0.042,0.032,0.019,0.009,0.009,0.014,0.019,0.026,0.017,0.02,0.007,0.002,0.05,0.011,0.029,0.031,0.022,0.021,0.032,0.02,0.07
"No sabe",0.119,0.073,0.162,0.127,0.11,0.115,0.134,0.136,0.152,0.068,0.014,0.061,0.009,0.06,0.069,0.302,0.18,0.025,0.05,0.031,0.059,0.146,0.096,0.106,0.092,0.078,0.137,0.234
