"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.352,0.34,0.364,0.316,0.253,0.434,0.498,0.355,0.323,0.383,0.341,0.255,0.74,0.625,0.134,0.289,0.277,0.518,0.445,0.353,0.162,0.372,0.337,0.398,0.373,0.357,0.245,0.182
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.374,0.425,0.326,0.473,0.445,0.245,0.278,0.341,0.383,0.391,0.106,0.198,0.178,0.216,0.761,0.247,0.284,0.421,0.477,0.579,0.631,0.334,0.406,0.327,0.378,0.386,0.4,0.506
"En blanco",0.149,0.148,0.15,0.162,0.157,0.141,0.13,0.152,0.143,0.153,0.369,0.388,0.064,0.117,0.063,0.189,0.235,0.038,0.051,0.055,0.117,0.16,0.14,0.142,0.145,0.18,0.108,0.152
"No sabe",0.125,0.087,0.16,0.049,0.145,0.18,0.094,0.152,0.151,0.073,0.184,0.159,0.018,0.042,0.042,0.275,0.204,0.023,0.027,0.013,0.09,0.134,0.117,0.133,0.104,0.077,0.247,0.16
