"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.401,0.379,0.508,0.416,0.463,0.414
"P05","Bastante",0.369,0.418,0.375,0.282,0.317,0.287
"P05","Poco",0.162,0.126,0.083,0.181,0.208,0.158
"P05","Nada",0.064,0.063,0.016,0.072,0.012,0.105
"P05","No sabe",0.004,0.014,0.018,0.049,0,0.036
"P06","Siempre",0.242,0.199,0.262,0.196,0.247,0.165
"P06","Casi siempre",0.322,0.467,0.401,0.297,0.299,0.232
"P06","Casi nunca",0.31,0.257,0.259,0.32,0.275,0.394
"P06","Nunca, pero esta es una excepción",0.126,0.077,0.078,0.187,0.179,0.209
"P10","Unidos para Cambiar cordoba",0.052,0.137,0.381,0.276,0.385,0.039
"P10","Juntos Avancemos",0.28,0.45,0.238,0.187,0.043,0.217
"P10","De los liberales libertarios",0.431,0.226,0.113,0.159,0.216,0.079
"P10","Hacemos por nuestro país",0.077,0.09,0.117,0.196,0.059,0.092
"P10","De la Izquierda",0.038,0.012,0.028,0.091,0.18,0.006
"P10","En blanco",0.022,0.02,0.011,0.009,0.004,0.113
"P10","No sabe",0.1,0.065,0.112,0.082,0.113,0.454
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.07,0.132,0.361,0.331,0.235,0.1
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.367,0.213,0.226,0.088,0.166
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.471,0.256,0.143,0.165,0.333,0.106
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.159,0.18,0.236,0.246,0.208,0.273
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.01,0.01,0.006,0.132,0.006
"P14","En blanco",0.01,0.021,0.004,0.022,0,0.095
"P14","No sabe",0.04,0.034,0.033,0.004,0.004,0.254
"P19","Totalmente seguro.",0.785,0.561,0.58,0.546,0.62,0.339
"P19","Bastante seguro",0.084,0.318,0.131,0.204,0.206,0.151
"P19","Algo seguro",0.07,0.081,0.192,0.078,0.084,0.16
"P19","Para nada seguro",0.061,0.04,0.097,0.172,0.09,0.35
"P20","Tiene Decidido que va a ir a votar.",0.948,0.885,0.925,0.904,0.869,0.86
"P20","Tiene dudas sobre si va a ir a  votar",0.027,0.071,0.04,0.084,0.125,0.07
"P20","Tiene Decidido que no va a ir a votar",0.025,0.044,0.035,0.012,0.006,0.07
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.257,0.298,0.581,0.606,0.404,0.243
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.418,0.516,0.224,0.212,0.262,0.277
"P21","En blanco",0.176,0.085,0.109,0.05,0.073,0.167
"P21","No sabe",0.149,0.101,0.086,0.132,0.261,0.313
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.323,0.481,0.288,0.279,0.167,0.337
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.535,0.33,0.194,0.215,0.263,0.145
"P22","En blanco",0.06,0.09,0.349,0.342,0.347,0.17
"P22","No sabe",0.082,0.099,0.169,0.164,0.223,0.348
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.124,0.253,0.502,0.527,0.434,0.142
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.671,0.416,0.216,0.299,0.258,0.241
"P23","En blanco",0.098,0.195,0.166,0.067,0.138,0.223
"P23","No sabe",0.107,0.136,0.116,0.107,0.17,0.394
"P24","Si",0.452,0.439,0.504,0.488,0.4,0.194
"P24","No",0.548,0.561,0.496,0.512,0.6,0.806
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.075,0.135,0.369,0.335,0.239,0.175
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.246,0.37,0.215,0.226,0.088,0.187
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.477,0.268,0.158,0.165,0.333,0.16
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.178,0.197,0.244,0.246,0.208,0.317
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.01,0.01,0.006,0.132,0.006
"P14_imputada","En blanco",0.01,0.02,0.004,0.022,0,0.155
