"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.511,0.421,0.402,0.309
"P05","Bastante",0.345,0.383,0.429,0.405
"P05","Poco",0.098,0.144,0.108,0.2
"P05","Nada",0.04,0.049,0.052,0.043
"P05","No sabe",0.006,0.003,0.009,0.043
"P06","Siempre",0.291,0.171,0.269,0.224
"P06","Casi siempre",0.357,0.377,0.402,0.445
"P06","Casi nunca",0.259,0.316,0.23,0.254
"P06","Nunca, pero esta es una excepción",0.093,0.136,0.099,0.077
"P10","Unidos para Cambiar cordoba",0.401,0.053,0.098,0.053
"P10","Juntos Avancemos",0.317,0.213,0.559,0.35
"P10","De los liberales libertarios",0.059,0.552,0.03,0.037
"P10","Hacemos por nuestro país",0.126,0.066,0.096,0.203
"P10","De la Izquierda",0.042,0.031,0.059,0.024
"P10","En blanco",0.006,0.005,0.082,0.016
"P10","No sabe",0.049,0.08,0.076,0.317
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.468,0.05,0.095,0.077
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.227,0.485,0.264
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.585,0.044,0.107
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.194,0.111,0.216,0.366
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.013,0.032,0.009
"P14","En blanco",0.001,0,0.083,0.014
"P14","No sabe",0.02,0.014,0.045,0.163
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.198,0.599,0.289,0.339
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.26,0.239,0.37,0.276
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.342,0.082,0.21,0.156
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.135,0.043,0.032,0.055
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.038,0.012,0.022,0.029
"P18","No sabe",0.027,0.025,0.077,0.145
"P19","Totalmente seguro.",0.654,0.7,0.617,0.476
"P19","Bastante seguro",0.189,0.159,0.178,0.182
"P19","Algo seguro",0.114,0.083,0.111,0.1
"P19","Para nada seguro",0.043,0.058,0.094,0.242
"P20","Tiene Decidido que va a ir a votar.",0.958,0.931,0.882,0.849
"P20","Tiene dudas sobre si va a ir a  votar",0.026,0.041,0.038,0.13
"P20","Tiene Decidido que no va a ir a votar",0.016,0.028,0.08,0.021
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.815,0.18,0.246,0.197
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.138,0.487,0.559,0.319
"P21","En blanco",0.033,0.181,0.135,0.098
"P21","No sabe",0.014,0.152,0.06,0.386
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.529,0.194,0.551,0.331
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.733,0.133,0.039
"P22","En blanco",0.315,0.04,0.275,0.064
"P22","No sabe",0.097,0.033,0.041,0.566
"P24","Si",0.585,0.403,0.421,0.353
"P24","No",0.415,0.597,0.579,0.647
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.474,0.05,0.095,0.111
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.233,0.228,0.485,0.279
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.086,0.592,0.044,0.146
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.194,0.117,0.24,0.432
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.013,0.032,0.008
"P14_imputada","En blanco",0.001,0,0.104,0.024
