"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.161,0.164,0.159,0.132,0.187,0.164,0.137,0.17,0.147,0.169,0.603,0.482,0.091,0.168,0.054,0.159,0.235,0.043,0.162,0.117,0.148,0.165,0.158,0.17,0.196,0.143,0.106,0.111
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.258,0.244,0.271,0.171,0.191,0.331,0.401,0.237,0.24,0.296,0.173,0.125,0.698,0.483,0.104,0.117,0.113,0.497,0.328,0.268,0.185,0.256,0.259,0.283,0.286,0.314,0.12,0.103
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.304,0.344,0.267,0.361,0.38,0.216,0.195,0.277,0.305,0.327,0.096,0.208,0.085,0.154,0.703,0.142,0.256,0.364,0.286,0.522,0.315,0.261,0.34,0.28,0.301,0.291,0.227,0.406
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.19,0.176,0.202,0.215,0.175,0.185,0.198,0.199,0.215,0.153,0.113,0.111,0.104,0.138,0.101,0.454,0.316,0.072,0.122,0.069,0.205,0.214,0.169,0.184,0.148,0.156,0.499,0.26
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.017,0.022,0.032,0.023,0.011,0.008,0.026,0.016,0.018,0.005,0.038,0.01,0.013,0.014,0.001,0.004,0.012,0.049,0.006,0.079,0.021,0.019,0.021,0.011,0.031,0.004,0.018
"En blanco",0.02,0.025,0.015,0.033,0.005,0.033,0.019,0.042,0.013,0.008,0,0.017,0.004,0.038,0.001,0.029,0.015,0.007,0.043,0.01,0.006,0.014,0.025,0.015,0.023,0.034,0.029,0.016
"No sabe",0.048,0.03,0.064,0.056,0.039,0.06,0.042,0.049,0.064,0.029,0.01,0.019,0.008,0.006,0.023,0.098,0.061,0.005,0.01,0.008,0.062,0.069,0.03,0.047,0.035,0.031,0.015,0.086
