"var","categoria","Jorge Macri por Juntos por el Cambio","Martín Lousteau  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P29","Puede que lo vote",0.113,0.322,0.11,0.284,0.246,0.138,0.2
"P29","Nunca lo votaría",0.048,0.295,0.818,0.457,0.518,0.645,0.487
"P29","No sabe",0.018,0.093,0.017,0.095,0.061,0.14,0.203
"P30","Lo votaría",0.233,0.628,0.053,0.16,0.064,0.131,0.063
"P30","Puede que lo vote",0.311,0.261,0.177,0.132,0.26,0.142,0.256
"P30","Nunca lo votaría",0.357,0.059,0.722,0.63,0.619,0.592,0.44
"P30","No sabe",0.099,0.052,0.048,0.078,0.057,0.135,0.241
"P31","Lo votaría",0.493,0.364,0.028,0.319,0.094,0.237,0.234
"P31","Puede que lo vote",0.294,0.259,0.062,0.215,0.136,0.098,0.136
"P31","Nunca lo votaría",0.152,0.275,0.889,0.392,0.756,0.483,0.414
"P31","No sabe",0.061,0.102,0.021,0.074,0.014,0.182,0.216
"P32","Lo votaría",0.058,0.113,0.795,0.127,0.286,0.139,0.153
"P32","Puede que lo vote",0.044,0.144,0.084,0.049,0.305,0.155,0.199
"P32","Nunca lo votaría",0.848,0.671,0.114,0.77,0.327,0.516,0.417
"P32","No sabe",0.05,0.072,0.007,0.054,0.082,0.19,0.231
"P33","Lo votaría",0.03,0.049,0.52,0.087,0.249,0.134,0.131
"P33","Puede que lo vote",0.025,0.105,0.31,0.047,0.226,0.142,0.149
"P33","Nunca lo votaría",0.894,0.781,0.142,0.794,0.449,0.547,0.424
"P33","No sabe",0.051,0.065,0.028,0.072,0.076,0.177,0.296
"P34","Lo votaría",0.025,0.054,0.334,0.069,0.219,0.147,0.133
"P34","Puede que lo vote",0.019,0.07,0.227,0.043,0.192,0.09,0.074
"P34","Nunca lo votaría",0.782,0.679,0.333,0.753,0.481,0.567,0.438
"P34","No sabe",0.174,0.197,0.106,0.135,0.108,0.196,0.355
"P35","Lo votaría",0.055,0.034,0.054,0.592,0.049,0.097,0.045
"P35","Puede que lo vote",0.188,0.128,0.064,0.117,0.086,0.137,0.067
"P35","Nunca lo votaría",0.648,0.721,0.823,0.226,0.73,0.629,0.562
"P35","No sabe",0.109,0.117,0.059,0.065,0.135,0.137,0.326
"P36","Si",0.624,0.657,0.6,0.58,0.732,0.536,0.479
"P36","No",0.376,0.343,0.4,0.42,0.268,0.464,0.521
