"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"A Leandro Santoro",0.65,0.642,0.656,0.514,0.62,0.722,0.789,0.631,0.619,0.68,0.488,0.693,0.715,0.509
"A Matias Lammens",0.115,0.121,0.109,0.154,0.138,0.073,0.07,0.142,0.128,0.095,0.214,0.081,0.105,0.066
"A Mariano Recalde",0.235,0.237,0.235,0.332,0.242,0.205,0.141,0.227,0.253,0.225,0.298,0.226,0.18,0.425
