"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Siempre",0.283,0.27,0.25,0.225,0.166
"P05","Casi siempre",0.383,0.431,0.299,0.305,0.242
"P05","Casi nunca",0.236,0.238,0.31,0.308,0.408
"P05","Nunca, pero esta es una excepción",0.098,0.061,0.141,0.162,0.184
"P06","Mucho",0.596,0.333,0.374,0.275,0.185
"P06","Bastante",0.249,0.462,0.277,0.311,0.208
"P06","Poco",0.098,0.171,0.222,0.152,0.241
"P06","Nada",0.046,0.022,0.116,0.201,0.252
"P06","No sabe",0.011,0.012,0.011,0.061,0.114
"P10","Jorge Macri por Juntos por el Cambio",0.03,0.506,0.098,0.01,0.071
"P10","Martín Lousteau  por Juntos por el Cambio",0.032,0.231,0.071,0.046,0.145
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.017,0.196,0.117,0.028,0.056
"P10","Leandro Santoro por el Frente de Todos",0.487,0.014,0.028,0.158,0.053
"P10","Mariano Recalde por el Frente de Todos",0.137,0.007,0.012,0.017,0.011
"P10","Pedro Rosemblat por el Frente de Todos",0.17,0.01,0.014,0.077,0.027
"P10","Ramiro Marra por la Libertad Avanza",0.037,0.015,0.583,0.046,0.039
"P10","Al candidato del Frente de Izquierda",0.013,0.001,0.007,0.498,0.026
"P10","En blanco",0.025,0.003,0.015,0.077,0.164
"P10","No sabe",0.052,0.017,0.055,0.043,0.408
"P13","Jorge Macri por Juntos por el Cambio",0.034,0.555,0.125,0.074,0.087
"P13","Martín Lousteau  por Juntos por el Cambio",0.056,0.274,0.114,0.085,0.126
"P13","Leandro Santoro por el Frente de Todos",0.698,0.028,0.066,0.116,0.082
"P13","Ramiro Marra por la Libertad Avanza",0.053,0.053,0.594,0.054,0.08
"P13","Al candidato del Frente de Izquierda",0.039,0.021,0.014,0.494,0.038
"P13","En blanco",0.044,0.023,0.021,0.093,0.127
"P13","No sabe",0.076,0.046,0.066,0.084,0.46
"P16","Jorge Macri por Juntos por el Cambio",0.063,0.493,0.131,0.026,0.108
"P16","Martín Lousteau  por Juntos por el Cambio",0.045,0.242,0.11,0.06,0.11
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.027,0.186,0.088,0.087,0.039
"P16","Leandro Santoro por el Frente de Todos",0.724,0.021,0.04,0.149,0.073
"P16","Ramiro Marra por la Libertad Avanza",0.038,0.028,0.563,0.071,0.088
"P16","Al candidato del Frente de Izquierda",0.022,0.006,0.012,0.458,0.032
"P16","En blanco",0.038,0.009,0.032,0.091,0.147
"P16","No sabe",0.043,0.015,0.024,0.058,0.403
"P19","Jorge Macri por Juntos por el Cambio",0.066,0.788,0.136,0.031,0.152
"P19","Leandro Santoro por el Frente de Todos",0.817,0.037,0.078,0.177,0.115
"P19","Ramiro Marra por la Libertad Avanza",0.019,0.04,0.7,0.028,0.088
"P19","Al candidato del Frente de Izquierda",0.025,0.013,0.009,0.514,0.057
"P19","En blanco",0.029,0.037,0.036,0.156,0.172
"P19","No sabe",0.044,0.085,0.041,0.094,0.416
"P22","Martín Lousteau  por Juntos por el Cambio",0.093,0.511,0.115,0.111,0.237
"P22","Leandro Santoro por el Frente de Todos",0.763,0.072,0.088,0.155,0.118
"P22","Ramiro Marra por la Libertad Avanza",0.055,0.129,0.688,0.043,0.079
"P22","Al candidato del Frente de Izquierda",0.021,0.004,0.012,0.509,0.056
"P22","En blanco",0.036,0.103,0.047,0.096,0.143
"P22","No sabe",0.032,0.181,0.05,0.086,0.367
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.077,0.65,0.199,0.083,0.127
"P25","Leandro Santoro por el Frente de Todos",0.79,0.053,0.088,0.172,0.146
"P25","Ramiro Marra por la Libertad Avanza",0.033,0.069,0.627,0.006,0.053
"P25","Al candidato del Frente de Izquierda",0.023,0.009,0.01,0.56,0.056
"P25","En blanco",0.037,0.074,0.039,0.128,0.212
"P25","No sabe",0.04,0.145,0.037,0.051,0.406
"P26","Jorge Macri por Juntos por el Cambio",0.064,0.839,0.387,0.05,0.189
"P26","Leandro Santoro por el Frente de Todos",0.869,0.059,0.075,0.531,0.202
"P26","En blanco",0.024,0.048,0.325,0.275,0.241
"P26","No sabe",0.043,0.054,0.213,0.144,0.368
"P27","Martín Lousteau por Juntos por el Cambio",0.074,0.678,0.282,0.114,0.223
"P27","Leandro Santoro por el Frente de Todos",0.861,0.044,0.08,0.492,0.156
"P27","En blanco",0.041,0.154,0.462,0.247,0.225
"P27","No sabe",0.024,0.124,0.176,0.147,0.396
"P28","Ricardo López Murphy por Juntos por el Cambio",0.059,0.783,0.407,0.078,0.22
"P28","Leandro Santoro por el Frente de Todos",0.869,0.054,0.111,0.492,0.197
"P28","En blanco",0.03,0.071,0.325,0.31,0.193
"P28","No sabe",0.042,0.092,0.157,0.12,0.39
"P29","Lo votaría",0.054,0.666,0.156,0.031,0.114
"P29","Puede que lo vote",0.116,0.192,0.305,0.151,0.171
"P29","Nunca lo votaría",0.808,0.096,0.442,0.756,0.502
"P29","No sabe",0.022,0.046,0.097,0.062,0.213
"P30","Lo votaría",0.059,0.366,0.163,0.069,0.205
"P30","Puede que lo vote",0.185,0.286,0.161,0.233,0.23
"P30","Nunca lo votaría",0.702,0.268,0.61,0.573,0.318
"P30","No sabe",0.054,0.08,0.066,0.125,0.247
"P31","Lo votaría",0.038,0.494,0.281,0.048,0.152
"P31","Puede que lo vote",0.041,0.285,0.248,0.059,0.201
"P31","Nunca lo votaría",0.889,0.151,0.401,0.838,0.388
"P31","No sabe",0.032,0.07,0.07,0.055,0.259
"P32","Lo votaría",0.76,0.066,0.105,0.25,0.099
"P32","Puede que lo vote",0.09,0.063,0.089,0.366,0.213
"P32","Nunca lo votaría",0.129,0.816,0.746,0.291,0.434
"P32","No sabe",0.021,0.055,0.06,0.093,0.254
"P33","Lo votaría",0.531,0.028,0.044,0.205,0.047
"P33","Puede que lo vote",0.293,0.034,0.051,0.239,0.25
"P33","Nunca lo votaría",0.133,0.88,0.826,0.403,0.484
"P33","No sabe",0.043,0.058,0.079,0.153,0.219
"P34","Lo votaría",0.366,0.024,0.041,0.175,0.047
"P34","Puede que lo vote",0.214,0.026,0.05,0.259,0.088
"P34","Nunca lo votaría",0.319,0.774,0.743,0.439,0.476
"P34","No sabe",0.101,0.176,0.166,0.127,0.389
"P35","Lo votaría",0.048,0.039,0.581,0.034,0.019
