"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Jorge Macri por Juntos por el Cambio",0.374,0.335,0.407,0.24,0.298,0.423,0.539,0.33,0.375,0.386,0.661,0.067,0.29,0.07
"Leandro Santoro por el Frente de Todos",0.293,0.268,0.315,0.256,0.339,0.292,0.245,0.232,0.291,0.311,0.041,0.802,0.394,0.34
"Ramiro Marra por la Libertad Avanza",0.147,0.213,0.091,0.271,0.175,0.105,0.06,0.159,0.153,0.14,0.162,0.042,0.119,0.123
"Al candidato del Frente de Izquierda",0.04,0.046,0.035,0.054,0.047,0.04,0.02,0.068,0.031,0.039,0.012,0.032,0.054,0.398
"En blanco",0.051,0.062,0.041,0.078,0.055,0.044,0.032,0.064,0.052,0.046,0.042,0.02,0.063,0.013
"No sabe",0.095,0.076,0.111,0.101,0.086,0.096,0.104,0.147,0.098,0.078,0.082,0.037,0.08,0.056
