"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Ricardo López Murphy  por Juntos por el Cambio",0.333,0.306,0.356,0.234,0.27,0.378,0.454,0.287,0.334,0.345,0.553,0.075,0.313,0.147
"Leandro Santoro por el Frente de Todos",0.296,0.273,0.316,0.225,0.34,0.311,0.258,0.25,0.278,0.321,0.062,0.772,0.359,0.257
"Ramiro Marra por la Libertad Avanza",0.146,0.21,0.091,0.253,0.175,0.108,0.07,0.166,0.163,0.13,0.167,0.059,0.119,0.097
"Al candidato del Frente de Izquierda",0.039,0.04,0.038,0.063,0.043,0.037,0.018,0.066,0.033,0.035,0.014,0.028,0.027,0.411
"En blanco",0.071,0.08,0.063,0.117,0.067,0.061,0.055,0.099,0.065,0.067,0.066,0.036,0.075,0.048
"No sabe",0.115,0.091,0.136,0.108,0.105,0.105,0.145,0.132,0.127,0.102,0.138,0.03,0.107,0.04
