"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Del Frente de Todos y el peronismo",0.318,0.307,0.327,0.336,0.359,0.281,0.263,0.351,0.311,0.311,0.106,0.763,0.361,0.298
"De Juntos por el Cambio",0.368,0.332,0.399,0.197,0.306,0.477,0.561,0.247,0.369,0.409,0.648,0.115,0.338,0.084
"De los Liberales libertarios",0.154,0.206,0.111,0.22,0.177,0.124,0.072,0.168,0.15,0.153,0.166,0.051,0.173,0.174
"De la Izquierda",0.049,0.048,0.049,0.069,0.058,0.036,0.023,0.073,0.046,0.043,0.021,0.034,0.038,0.413
"No sabe",0.111,0.107,0.114,0.178,0.1,0.082,0.081,0.161,0.124,0.084,0.059,0.037,0.09,0.031
