"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Siempre",0.253,0.248,0.258,0.215,0.252,0.251,0.303,0.331,0.234,0.242,0.317,0.212,0.163,0.193
"Casi siempre",0.366,0.33,0.397,0.266,0.359,0.424,0.435,0.228,0.36,0.417,0.371,0.481,0.378,0.375
"Casi nunca",0.272,0.307,0.242,0.308,0.298,0.257,0.2,0.271,0.264,0.278,0.238,0.249,0.384,0.23
"Nunca, pero esta es una excepción",0.109,0.115,0.103,0.211,0.091,0.068,0.062,0.17,0.142,0.063,0.074,0.058,0.075,0.202
