"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Mucho",0.403,0.446,0.367,0.403,0.407,0.395,0.404,0.367,0.358,0.449,0.368,0.554,0.355,0.518
"Bastante",0.327,0.304,0.346,0.219,0.33,0.365,0.407,0.177,0.348,0.362,0.396,0.323,0.384,0.272
"Poco",0.162,0.135,0.186,0.172,0.178,0.172,0.116,0.205,0.183,0.133,0.171,0.076,0.217,0.132
"Nada",0.081,0.097,0.067,0.151,0.067,0.054,0.051,0.197,0.084,0.039,0.049,0.032,0.021,0.078
"No sabe",0.027,0.018,0.034,0.055,0.018,0.014,0.022,0.054,0.027,0.017,0.016,0.015,0.023,0
