"var","categoria","Martín Lousteau por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","En blanco","No sabe"
"P05","Siempre",0.306,0.215,0.265,0.314
"P05","Casi siempre",0.429,0.49,0.352,0.351
"P05","Casi nunca",0.219,0.235,0.272,0.244
"P05","Nunca, pero esta es una excepción",0.046,0.06,0.111,0.091
"P06","Mucho",0.345,0.555,0.45,0.296
"P06","Bastante",0.448,0.309,0.293,0.348
"P06","Poco",0.168,0.104,0.158,0.193
"P06","Nada",0.033,0.018,0.089,0.136
"P06","No sabe",0.006,0.014,0.01,0.027
"P07","Del Frente de Todos y el peronismo",0.061,0.81,0.069,0.06
"P07","De Juntos por el Cambio",0.753,0.055,0.354,0.409
"P07","De los Liberales libertarios",0.127,0.041,0.427,0.235
"P07","De la Izquierda",0.011,0.056,0.051,0.043
"P07","No sabe",0.048,0.038,0.099,0.253
"P08","A Leandro Santoro",0.447,0.737,0.398,0.674
"P08","A Matias Lammens",0.254,0.061,0.164,0.203
"P08","A Mariano Recalde",0.299,0.202,0.438,0.123
"P09","A Jorge Macri",0.418,0.319,0.613,0.629
"P09","A Martín Lousteau",0.417,0.548,0.091,0.151
"P09","A Ricardo López Murphy",0.165,0.133,0.296,0.22
"P10","Jorge Macri por Juntos por el Cambio",0.389,0.027,0.265,0.349
"P10","Martín Lousteau  por Juntos por el Cambio",0.309,0.028,0.018,0.05
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.167,0.01,0.185,0.138
"P10","Leandro Santoro por el Frente de Todos",0.015,0.54,0.013,0.034
"P10","Mariano Recalde por el Frente de Todos",0.014,0.139,0.006,0.013
"P10","Pedro Rosemblat por el Frente de Todos",0.012,0.163,0.019,0.024
"P10","Ramiro Marra por la Libertad Avanza",0.068,0.021,0.347,0.189
"P10","Al candidato del Frente de Izquierda",0.006,0.039,0.047,0.013
"P10","En blanco",0.002,0.003,0.061,0.017
"P10","No sabe",0.018,0.03,0.039,0.173
"P13","Jorge Macri por Juntos por el Cambio",0.418,0.023,0.336,0.385
"P13","Martín Lousteau  por Juntos por el Cambio",0.359,0.046,0.042,0.051
"P13","Leandro Santoro por el Frente de Todos",0.037,0.749,0.032,0.028
"P13","Ramiro Marra por la Libertad Avanza",0.111,0.042,0.374,0.204
"P13","Al candidato del Frente de Izquierda",0.023,0.071,0.049,0.027
"P13","En blanco",0.013,0.024,0.097,0.04
"P13","No sabe",0.039,0.045,0.07,0.265
"P16","Jorge Macri por Juntos por el Cambio",0.387,0.04,0.285,0.343
"P16","Martín Lousteau  por Juntos por el Cambio",0.315,0.039,0.043,0.078
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.159,0.022,0.155,0.123
"P16","Leandro Santoro por el Frente de Todos",0.031,0.765,0.015,0.027
"P16","Ramiro Marra por la Libertad Avanza",0.084,0.043,0.347,0.198
"P16","Al candidato del Frente de Izquierda",0.008,0.047,0.057,0.018
"P16","En blanco",0.008,0.023,0.075,0.033
"P16","No sabe",0.008,0.021,0.023,0.18
"P19","Jorge Macri por Juntos por el Cambio",0.689,0.038,0.365,0.403
"P19","Leandro Santoro por el Frente de Todos",0.05,0.84,0.043,0.02
"P19","Ramiro Marra por la Libertad Avanza",0.113,0.029,0.391,0.233
"P19","Al candidato del Frente de Izquierda",0.026,0.051,0.041,0.04
"P19","En blanco",0.043,0.007,0.124,0.037
"P19","No sabe",0.079,0.035,0.036,0.267
"P22","Martín Lousteau  por Juntos por el Cambio",0.612,0.08,0.061,0.133
"P22","Leandro Santoro por el Frente de Todos",0.082,0.757,0.081,0.038
"P22","Ramiro Marra por la Libertad Avanza",0.169,0.08,0.448,0.251
"P22","Al candidato del Frente de Izquierda",0.01,0.044,0.055,0.042
"P22","En blanco",0.036,0.018,0.281,0.045
"P22","No sabe",0.091,0.021,0.074,0.491
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.604,0.062,0.342,0.291
"P25","Leandro Santoro por el Frente de Todos",0.083,0.8,0.042,0.014
"P25","Ramiro Marra por la Libertad Avanza",0.119,0.048,0.34,0.219
"P25","Al candidato del Frente de Izquierda",0.019,0.049,0.046,0.052
"P25","En blanco",0.058,0.023,0.178,0.062
"P25","No sabe",0.117,0.018,0.052,0.362
"P26","Jorge Macri por Juntos por el Cambio",0.787,0.032,0.461,0.482
"P26","Leandro Santoro por el Frente de Todos",0.069,0.947,0.018,0.022
"P26","En blanco",0.068,0.01,0.442,0.022
"P26","No sabe",0.076,0.011,0.079,0.474
"P28","Ricardo López Murphy por Juntos por el Cambio",0.778,0.037,0.437,0.397
"P28","Leandro Santoro por el Frente de Todos",0.08,0.937,0.018,0.019
"P28","En blanco",0.057,0.012,0.51,0.024
"P28","No sabe",0.085,0.014,0.035,0.56
"P29","Lo votaría",0.575,0.029,0.33,0.372
"P29","Puede que lo vote",0.232,0.141,0.156,0.194
"P29","Nunca lo votaría",0.146,0.808,0.446,0.239
"P29","No sabe",0.047,0.022,0.068,0.195
"P30","Lo votaría",0.501,0.037,0.055,0.048
"P30","Puede que lo vote",0.331,0.201,0.091,0.189
"P30","Nunca lo votaría",0.118,0.71,0.78,0.471
"P30","No sabe",0.05,0.052,0.074,0.292
"P31","Lo votaría",0.463,0.028,0.335,0.288
"P31","Puede que lo vote",0.291,0.06,0.203,0.206
"P31","Nunca lo votaría",0.174,0.887,0.4,0.292
"P31","No sabe",0.072,0.025,0.062,0.214
"P32","Lo votaría",0.086,0.762,0.047,0.037
"P32","Puede que lo vote",0.084,0.138,0.059,0.087
"P32","Nunca lo votaría",0.776,0.086,0.824,0.668
"P32","No sabe",0.054,0.014,0.07,0.208
"P33","Lo votaría",0.038,0.517,0.036,0.024
"P33","Puede que lo vote",0.052,0.311,0.046,0.082
"P33","Nunca lo votaría",0.846,0.129,0.844,0.717
"P33","No sabe",0.064,0.043,0.074,0.177
"P34","Lo votaría",0.034,0.355,0.034,0.041
"P34","Puede que lo vote",0.042,0.235,0.019,0.043
"P34","Nunca lo votaría",0.746,0.297,0.79,0.646
"P34","No sabe",0.178,0.113,0.157,0.27
"P35","Lo votaría",0.085,0.049,0.307,0.175
"P35","Puede que lo vote",0.155,0.067,0.151,0.113
"P35","Nunca lo votaría",0.641,0.816,0.474,0.476
"P35","No sabe",0.119,0.068,0.068,0.236
"P36","Si",0.646,0.596,0.598,0.524
"P36","No",0.354,0.404,0.402,0.476
