"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Si",0.609,0.595,0.621,0.519,0.631,0.624,0.609,0.583,0.604,0.619,0.628,0.608,0.694,0.541
"No",0.391,0.405,0.379,0.481,0.369,0.376,0.391,0.417,0.396,0.381,0.372,0.392,0.306,0.459
