"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P33","Puede que lo vote",0.155,0.12,0.168,0.054,0.201
"P33","Nunca lo votaría",0.52,0.651,0.64,0.721,0.371
"P33","No sabe",0.056,0.06,0.129,0.106,0.187
"P34","Lo votaría",0.198,0.109,0.062,0.096,0.185
"P34","Puede que lo vote",0.117,0.09,0.102,0.06,0.035
"P34","Nunca lo votaría",0.554,0.638,0.584,0.713,0.394
"P34","No sabe",0.131,0.163,0.252,0.131,0.386
"P35","Lo votaría",0.121,0.1,0.15,0.208,0.121
"P35","Puede que lo vote",0.114,0.132,0.121,0.076,0.169
"P35","Nunca lo votaría",0.704,0.65,0.544,0.563,0.359
"P35","No sabe",0.061,0.118,0.185,0.153,0.351
"P36","Si",0.662,0.628,0.465,0.387,0.516
"P36","No",0.338,0.372,0.535,0.613,0.484
