"var","categoria","Martín Lousteau  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Siempre",0.278,0.26,0.284,0.196,0.216,0.266
"P05","Casi siempre",0.434,0.456,0.334,0.405,0.381,0.4
"P05","Casi nunca",0.234,0.228,0.284,0.302,0.286,0.236
"P05","Nunca, pero esta es una excepción",0.054,0.056,0.098,0.097,0.117,0.098
"P06","Mucho",0.336,0.554,0.424,0.443,0.442,0.295
"P06","Bastante",0.431,0.313,0.35,0.239,0.263,0.383
"P06","Poco",0.185,0.096,0.161,0.128,0.183,0.187
"P06","Nada",0.036,0.032,0.061,0.112,0.08,0.1
"P06","No sabe",0.012,0.005,0.004,0.078,0.032,0.035
"P07","Del Frente de Todos y el peronismo",0.102,0.793,0.086,0.177,0.143,0.077
"P07","De Juntos por el Cambio",0.739,0.1,0.271,0.046,0.541,0.577
"P07","De los Liberales libertarios",0.069,0.051,0.599,0.057,0.103,0.067
"P07","De la Izquierda",0.016,0.021,0.009,0.582,0.051,0.027
"P07","No sabe",0.074,0.035,0.035,0.138,0.162,0.252
"P08","A Leandro Santoro",0.588,0.711,0.74,0.161,0.355,0.641
"P08","A Matias Lammens",0.135,0.061,0.096,0.514,0.276,0.133
"P08","A Mariano Recalde",0.277,0.228,0.164,0.325,0.369,0.226
"P09","A Jorge Macri",0.37,0.433,0.542,0.44,0.59,0.683
"P09","A Martín Lousteau",0.482,0.402,0.168,0.495,0.137,0.138
"P09","A Ricardo López Murphy",0.148,0.165,0.29,0.065,0.273,0.179
"P10","Jorge Macri por Juntos por el Cambio",0.351,0.065,0.173,0.03,0.382,0.482
"P10","Martín Lousteau  por Juntos por el Cambio",0.381,0.029,0.031,0.094,0.039,0.048
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.121,0.034,0.162,0.012,0.206,0.132
"P10","Leandro Santoro por el Frente de Todos",0.05,0.525,0.053,0.035,0.019,0.02
"P10","Mariano Recalde por el Frente de Todos",0.017,0.132,0.019,0.063,0.011,0.015
"P10","Pedro Rosemblat por el Frente de Todos",0.019,0.145,0.034,0.112,0.051,0.015
"P10","Ramiro Marra por la Libertad Avanza",0.02,0.035,0.502,0.058,0.045,0.02
"P10","Al candidato del Frente de Izquierda",0.005,0.008,0.006,0.549,0.017,0.016
"P10","En blanco",0.008,0.002,0.005,0.008,0.171,0.015
"P10","No sabe",0.028,0.025,0.015,0.039,0.059,0.237
"P13","Jorge Macri por Juntos por el Cambio",0.379,0.071,0.196,0.026,0.494,0.509
"P13","Martín Lousteau  por Juntos por el Cambio",0.43,0.051,0.051,0.13,0.06,0.049
"P13","Leandro Santoro por el Frente de Todos",0.064,0.738,0.094,0.046,0.024,0.032
"P13","Ramiro Marra por la Libertad Avanza",0.043,0.052,0.568,0.071,0.054,0.031
"P13","Al candidato del Frente de Izquierda",0.024,0.03,0.027,0.643,0.014,0.027
"P13","En blanco",0.029,0.013,0.007,0.026,0.281,0.023
"P13","No sabe",0.031,0.045,0.057,0.058,0.073,0.329
"P16","Jorge Macri por Juntos por el Cambio",0.347,0.079,0.209,0.058,0.376,0.465
"P16","Martín Lousteau  por Juntos por el Cambio",0.396,0.05,0.043,0.101,0.051,0.049
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.128,0.028,0.126,0.049,0.216,0.131
"P16","Leandro Santoro por el Frente de Todos",0.061,0.751,0.07,0.048,0.033,0.034
"P16","Ramiro Marra por la Libertad Avanza",0.03,0.041,0.518,0.085,0.026,0.032
"P16","Al candidato del Frente de Izquierda",0.003,0.014,0.012,0.605,0.039,0.014
"P16","En blanco",0.023,0.018,0.011,0.031,0.191,0.039
"P16","No sabe",0.012,0.019,0.011,0.023,0.068,0.236
"P19","Jorge Macri por Juntos por el Cambio",0.653,0.109,0.263,0.035,0.529,0.553
"P19","Leandro Santoro por el Frente de Todos",0.099,0.825,0.103,0.038,0.014,0.019
"P19","Ramiro Marra por la Libertad Avanza",0.053,0.031,0.619,0.061,0.02,0.022
"P19","Al candidato del Frente de Izquierda",0.024,0.007,0.006,0.787,0.026,0.005
"P19","En blanco",0.06,0.012,0.001,0.049,0.334,0.018
"P19","No sabe",0.111,0.016,0.008,0.03,0.077,0.383
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.581,0.107,0.285,0.034,0.447,0.398
"P25","Leandro Santoro por el Frente de Todos",0.124,0.784,0.119,0.092,0.028,0.028
"P25","Ramiro Marra por la Libertad Avanza",0.07,0.056,0.544,0.028,0.017,0.009
"P25","Al candidato del Frente de Izquierda",0.018,0.011,0.006,0.786,0.008,0.015
"P25","En blanco",0.078,0.023,0.009,0.037,0.454,0.041
"P25","No sabe",0.129,0.019,0.037,0.023,0.046,0.509
"P26","Jorge Macri por Juntos por el Cambio",0.683,0.111,0.513,0.058,0.541,0.65
"P26","Leandro Santoro por el Frente de Todos",0.144,0.838,0.111,0.467,0.066,0.068
"P26","En blanco",0.085,0.037,0.212,0.316,0.26,0.029
"P26","No sabe",0.088,0.014,0.164,0.159,0.133,0.253
"P27","Martín Lousteau por Juntos por el Cambio",0.809,0.104,0.312,0.117,0.176,0.292
"P27","Leandro Santoro por el Frente de Todos",0.093,0.831,0.129,0.433,0.079,0.06
"P27","En blanco",0.039,0.049,0.403,0.295,0.67,0.116
"P27","No sabe",0.059,0.016,0.156,0.155,0.075,0.532
"P28","Ricardo López Murphy por Juntos por el Cambio",0.669,0.102,0.524,0.139,0.516,0.559
"P28","Leandro Santoro por el Frente de Todos",0.126,0.845,0.146,0.41,0.062,0.058
"P28","En blanco",0.082,0.037,0.213,0.321,0.353,0.04
"P28","No sabe",0.123,0.016,0.117,0.13,0.069,0.343
"P29","Lo votaría",0.494,0.099,0.319,0.07,0.429,0.552
"P29","Puede que lo vote",0.238,0.105,0.275,0.078,0.139,0.161
"P29","Nunca lo votaría",0.205,0.777,0.342,0.721,0.358,0.163
"P29","No sabe",0.063,0.019,0.064,0.131,0.074,0.124
"P30","Lo votaría",0.518,0.077,0.133,0.132,0.078,0.095
"P30","Puede que lo vote",0.301,0.212,0.179,0.183,0.159,0.239
"P30","Nunca lo votaría",0.123,0.657,0.618,0.567,0.665,0.437
"P30","No sabe",0.058,0.054,0.07,0.118,0.098,0.229
"P31","Lo votaría",0.412,0.078,0.323,0.146,0.378,0.353
"P31","Puede que lo vote",0.27,0.068,0.264,0.037,0.2,0.218
"P31","Nunca lo votaría",0.236,0.826,0.356,0.795,0.325,0.246
"P31","No sabe",0.082,0.028,0.057,0.022,0.097,0.183
"P32","Lo votaría",0.101,0.756,0.128,0.101,0.058,0.069
"P32","Puede que lo vote",0.11,0.078,0.075,0.453,0.067,0.082
"P32","Nunca lo votaría",0.731,0.155,0.745,0.38,0.738,0.683
"P32","No sabe",0.058,0.011,0.052,0.066,0.137,0.166
"P33","Lo votaría",0.06,0.497,0.09,0.086,0.052,0.042
"P33","Puede que lo vote",0.08,0.273,0.053,0.383,0.082,0.057
"P33","Nunca lo votaría",0.8,0.201,0.781,0.396,0.755,0.739
"P33","No sabe",0.06,0.029,0.076,0.135,0.111,0.162
"P34","Lo votaría",0.047,0.337,0.075,0.196,0.039,0.022
"P34","Puede que lo vote",0.059,0.191,0.052,0.247,0.046,0.056
"P34","Nunca lo votaría",0.709,0.364,0.71,0.444,0.729,0.667
"P34","No sabe",0.185,0.108,0.163,0.113,0.186,0.255
"P35","Lo votaría",0.042,0.06,0.46,0.04,0.033,0.018
"P35","Puede que lo vote",0.144,0.066,0.195,0.049,0.122,0.101
"P35","Nunca lo votaría",0.692,0.809,0.261,0.809,0.755,0.656
"P35","No sabe",0.122,0.065,0.084,0.102,0.09,0.225
"P36","Si",0.637,0.623,0.563,0.678,0.605,0.551
"P36","No",0.363,0.377,0.437,0.322,0.395,0.449
