"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Martín Lousteau  por Juntos por el Cambio",0.278,0.248,0.305,0.164,0.261,0.312,0.35,0.262,0.26,0.295,0.419,0.13,0.266,0.104
"Leandro Santoro por el Frente de Todos",0.291,0.269,0.311,0.23,0.34,0.283,0.265,0.251,0.294,0.301,0.091,0.709,0.362,0.259
"Ramiro Marra por la Libertad Avanza",0.193,0.259,0.135,0.344,0.204,0.162,0.1,0.212,0.199,0.183,0.228,0.09,0.143,0.129
"Al candidato del Frente de Izquierda",0.035,0.041,0.03,0.057,0.043,0.03,0.013,0.071,0.026,0.031,0.007,0.016,0.05,0.403
"En blanco",0.077,0.08,0.073,0.107,0.061,0.075,0.082,0.068,0.078,0.078,0.093,0.021,0.101,0.009
"No sabe",0.126,0.103,0.146,0.098,0.091,0.138,0.19,0.136,0.143,0.112,0.162,0.034,0.078,0.096
