"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Jorge Macri por Juntos por el Cambio",0.256,0.227,0.28,0.155,0.197,0.307,0.404,0.215,0.254,0.271,0.449,0.051,0.204,0.049
"Martín Lousteau  por Juntos por el Cambio",0.158,0.151,0.164,0.114,0.17,0.179,0.158,0.122,0.157,0.169,0.223,0.084,0.218,0.12
"Leandro Santoro por el Frente de Todos",0.247,0.226,0.265,0.198,0.286,0.254,0.221,0.189,0.229,0.278,0.057,0.668,0.304,0.222
"Ramiro Marra por la Libertad Avanza",0.145,0.195,0.104,0.253,0.162,0.096,0.063,0.193,0.147,0.13,0.152,0.071,0.107,0.211
"Al candidato del Frente de Izquierda",0.048,0.041,0.053,0.055,0.054,0.046,0.032,0.052,0.053,0.042,0.02,0.044,0.06,0.354
"En blanco",0.043,0.058,0.03,0.062,0.038,0.039,0.036,0.074,0.05,0.028,0.026,0.033,0.056,0.014
"No sabe",0.103,0.102,0.104,0.163,0.093,0.079,0.086,0.155,0.11,0.082,0.073,0.049,0.051,0.03
