"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Martín Lousteau por Juntos por el Cambio",0.371,0.364,0.376,0.25,0.336,0.41,0.464,0.345,0.372,0.377,0.598,0.106,0.457,0.144
"Leandro Santoro por el Frente de Todos",0.325,0.29,0.355,0.28,0.382,0.313,0.275,0.266,0.315,0.348,0.058,0.835,0.342,0.49
"En blanco",0.18,0.225,0.141,0.32,0.178,0.16,0.112,0.218,0.177,0.171,0.199,0.042,0.148,0.293
"No sabe",0.124,0.121,0.128,0.15,0.104,0.117,0.149,0.171,0.136,0.104,0.145,0.017,0.053,0.073
