"var","categoria","Ricardo López Murphy por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","En blanco","No sabe"
"P05","Siempre",0.308,0.218,0.267,0.294
"P05","Casi siempre",0.431,0.493,0.339,0.325
"P05","Casi nunca",0.22,0.236,0.26,0.269
"P05","Nunca, pero esta es una excepción",0.041,0.053,0.134,0.112
"P06","Mucho",0.383,0.547,0.444,0.237
"P06","Bastante",0.423,0.317,0.307,0.318
"P06","Poco",0.154,0.105,0.152,0.252
"P06","Nada",0.029,0.022,0.091,0.166
"P06","No sabe",0.011,0.009,0.006,0.027
"P07","Del Frente de Todos y el peronismo",0.042,0.783,0.078,0.118
"P07","De Juntos por el Cambio",0.755,0.066,0.247,0.344
"P07","De los Liberales libertarios",0.158,0.054,0.456,0.236
"P07","De la Izquierda",0.007,0.054,0.097,0.04
"P07","No sabe",0.038,0.043,0.122,0.262
"P08","A Leandro Santoro",0.482,0.729,0.346,0.677
"P08","A Matias Lammens",0.25,0.065,0.141,0.186
"P08","A Mariano Recalde",0.268,0.206,0.513,0.137
"P09","A Jorge Macri",0.481,0.222,0.483,0.517
"P09","A Martín Lousteau",0.289,0.661,0.487,0.446
"P09","A Ricardo López Murphy",0.23,0.117,0.03,0.037
"P10","Jorge Macri por Juntos por el Cambio",0.436,0.027,0.175,0.25
"P10","Martín Lousteau  por Juntos por el Cambio",0.18,0.048,0.127,0.216
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.233,0.018,0.051,0.038
"P10","Leandro Santoro por el Frente de Todos",0.013,0.523,0.01,0.037
"P10","Mariano Recalde por el Frente de Todos",0.007,0.139,0.008,0.02
"P10","Pedro Rosemblat por el Frente de Todos",0.007,0.161,0.033,0.029
"P10","Ramiro Marra por la Libertad Avanza",0.099,0.026,0.375,0.173
"P10","Al candidato del Frente de Izquierda",0.004,0.034,0.094,0.007
"P10","En blanco",0.003,0.003,0.09,0.019
"P10","No sabe",0.018,0.021,0.037,0.211
"P13","Jorge Macri por Juntos por el Cambio",0.5,0.021,0.197,0.243
"P13","Martín Lousteau  por Juntos por el Cambio",0.233,0.074,0.157,0.167
"P13","Leandro Santoro por el Frente de Todos",0.032,0.724,0.035,0.03
"P13","Ramiro Marra por la Libertad Avanza",0.145,0.051,0.345,0.233
"P13","Al candidato del Frente de Izquierda",0.02,0.069,0.089,0.018
"P13","En blanco",0.023,0.015,0.108,0.066
"P13","No sabe",0.047,0.046,0.069,0.243
"P16","Jorge Macri por Juntos por el Cambio",0.431,0.047,0.185,0.253
"P16","Martín Lousteau  por Juntos por el Cambio",0.187,0.067,0.168,0.221
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.223,0.024,0.039,0.019
"P16","Leandro Santoro por el Frente de Todos",0.022,0.744,0.013,0.036
"P16","Ramiro Marra por la Libertad Avanza",0.117,0.041,0.362,0.208
"P16","Al candidato del Frente de Izquierda",0.005,0.045,0.103,0.015
"P16","En blanco",0.011,0.014,0.1,0.047
"P16","No sabe",0.004,0.018,0.03,0.201
"P19","Jorge Macri por Juntos por el Cambio",0.714,0.047,0.238,0.29
"P19","Leandro Santoro por el Frente de Todos",0.023,0.834,0.042,0.048
"P19","Ramiro Marra por la Libertad Avanza",0.157,0.034,0.387,0.221
"P19","Al candidato del Frente de Izquierda",0.012,0.049,0.107,0.038
"P19","En blanco",0.035,0.011,0.191,0.038
"P19","No sabe",0.059,0.025,0.035,0.365
"P22","Martín Lousteau  por Juntos por el Cambio",0.438,0.103,0.195,0.31
"P22","Leandro Santoro por el Frente de Todos",0.07,0.738,0.093,0.044
"P22","Ramiro Marra por la Libertad Avanza",0.242,0.085,0.357,0.209
"P22","Al candidato del Frente de Izquierda",0.011,0.041,0.092,0.04
"P22","En blanco",0.091,0.014,0.224,0.047
"P22","No sabe",0.148,0.019,0.039,0.35
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.694,0.06,0.102,0.123
"P25","Leandro Santoro por el Frente de Todos",0.04,0.804,0.036,0.053
"P25","Ramiro Marra por la Libertad Avanza",0.15,0.043,0.39,0.202
"P25","Al candidato del Frente de Izquierda",0.007,0.053,0.105,0.042
"P25","En blanco",0.032,0.023,0.307,0.084
"P25","No sabe",0.077,0.017,0.06,0.496
"P26","Jorge Macri por Juntos por el Cambio",0.828,0.05,0.282,0.38
"P26","Leandro Santoro por el Frente de Todos",0.041,0.923,0.028,0.044
"P26","En blanco",0.066,0.017,0.595,0.041
"P26","No sabe",0.065,0.01,0.095,0.535
"P27","Martín Lousteau por Juntos por el Cambio",0.678,0.088,0.179,0.285
"P27","Leandro Santoro por el Frente de Todos",0.028,0.896,0.034,0.04
"P27","En blanco",0.18,0.009,0.762,0.056
"P27","No sabe",0.114,0.007,0.025,0.619
"P29","Lo votaría",0.616,0.036,0.195,0.257
"P29","Puede que lo vote",0.242,0.153,0.106,0.138
"P29","Nunca lo votaría",0.106,0.788,0.63,0.344
"P29","No sabe",0.036,0.023,0.069,0.261
